categorie,date,annee,mois,quart,pdq,localisation_disponible,access_date
Introduction,2015-01-01,2015,2015-01,jour,3,TRUE,2026-09-05
Introduction,2015-02-05,2015,2015-02,jour,30,TRUE,2026-09-05
Vol dans / sur véhicule à moteur,2015-03-11,2015,2015-03,jour,49,TRUE,2026-09-05
Vol de véhicule à moteur,2015-04-12,2015,2015-04,jour,30,FALSE,2026-09-05
Introduction,2015-05-14,2015,2015-05,jour,11,TRUE,2026-09-05
Vol dans / sur véhicule à moteur,2015-06-12,2015,2015-06,jour,46,TRUE,2026-09-05
Vol dans / sur véhicule à moteur,2015-07-14,2015,2015-07,soir,15,TRUE,2026-09-05
Méfait,2015-08-15,2015,2015-08,soir,10,TRUE,2026-09-05
Vol dans / sur véhicule à moteur,2015-09-13,2015,2015-09,nuit,48,TRUE,2026-09-05
Méfait,2015-10-12,2015,2015-10,jour,31,TRUE,2026-09-05
Méfait,2015-11-08,2015,2015-11,jour,44,TRUE,2026-09-05
Vol dans / sur véhicule à moteur,2015-12-07,2015,2015-12,jour,45,FALSE,2026-09-05
Vol dans / sur véhicule à moteur,2016-01-07,2016,2016-01,soir,48,TRUE,2026-09-05
Méfait,2016-02-12,2016,2016-02,nuit,20,TRUE,2026-09-05
Introduction,2016-03-21,2016,2016-03,nuit,38,TRUE,2026-09-05
Vol dans / sur véhicule à moteur,2016-04-23,2016,2016-04,jour,48,TRUE,2026-09-05
Méfait,2016-05-27,2016,2016-05,nuit,38,FALSE,2026-09-05
Méfait,2016-06-28,2016,2016-06,soir,23,TRUE,2026-09-05
Méfait,2016-07-28,2016,2016-07,soir,39,TRUE,2026-09-05
Introduction,2016-08-28,2016,2016-08,jour,8,TRUE,2026-09-05
Méfait,2016-09-27,2016,2016-09,jour,16,TRUE,2026-09-05
Vol dans / sur véhicule à moteur,2016-10-26,2016,2016-10,soir,48,TRUE,2026-09-05
Méfait,2016-11-27,2016,2016-11,soir,26,FALSE,2026-09-05
Méfait,2016-12-30,2016,2016-12,jour,10,FALSE,2026-09-05
Méfait,2017-02-04,2017,2017-02,jour,45,TRUE,2026-09-05
Vol dans / sur véhicule à moteur,2017-03-13,2017,2017-03,soir,15,TRUE,2026-09-05
Vol de véhicule à moteur,2017-04-16,2017,2017-04,soir,11,TRUE,2026-09-05
Vol de véhicule à moteur,2017-05-21,2017,2017-05,jour,48,FALSE,2026-09-05
