species,species_latin,diameter_cm,height_m,age_years,basal_area_m2,ecological_region,survey_year
Bouleau à papier (blanc),Betula papyrifera,18.8,15.3,54,0.027759112687119412,Coteaux du réservoir Gouin,2017
Bouleau à papier (blanc),Betula papyrifera,17.8,17.5,88,0.024884555409084755,Coteaux du réservoir Cabonga,2017
Bouleau à papier (blanc),Betula papyrifera,30.9,22,83,0.07499060203935176,Coteaux du réservoir Cabonga,2017
Bouleau à papier (blanc),Betula papyrifera,15,13.2,58,0.017671458676442587,Massif du lac Jacques-Cartier,2017
Bouleau à papier (blanc),Betula papyrifera,17.8,12.2,58,0.024884555409084755,Massif du lac Jacques-Cartier,2017
Bouleau à papier (blanc),Betula papyrifera,13.9,14.4,39,0.015174677915002103,Collines du lac Nominingue,2017
Bouleau à papier (blanc),Betula papyrifera,9.4,11.6,53,0.006939778171779853,Côte gaspésienne,2019
Bouleau à papier (blanc),Betula papyrifera,9.1,9.5,25,0.00650388219109427,Collines des moyennes Appalaches,2019
Bouleau à papier (blanc),Betula papyrifera,21.7,16.7,67,0.03698361411622244,Collines des moyennes Appalaches,2019
Bouleau à papier (blanc),Betula papyrifera,25.3,20.4,65,0.05027255104090726,Collines des moyennes Appalaches,2019
Bouleau à papier (blanc),Betula papyrifera,30.7,21,71,0.07402299150204611,Collines de l'Outaouais et du Témiscamingue,2020
Bouleau à papier (blanc),Betula papyrifera,9.4,14.2,34,0.006939778171779853,Collines de l'Outaouais et du Témiscamingue,2020
Bouleau à papier (blanc),Betula papyrifera,22.5,20.9,79,0.03976078202199582,Coteaux du réservoir Cabonga,2020
Bouleau à papier (blanc),Betula papyrifera,13.6,10.1,63,0.014526724430199206,Coteaux du réservoir Gouin,2020
Bouleau à papier (blanc),Betula papyrifera,9.7,10.8,28,0.0073898113194065885,Coteaux du réservoir Gouin,2020
Bouleau à papier (blanc),Betula papyrifera,10.1,10.9,33,0.008011846664817369,Hautes collines du bas Saint-Maurice,2021
Bouleau à papier (blanc),Betula papyrifera,13.2,11.9,28,0.01368477759903714,Collines du haut Saint-Maurice,2021
Bouleau à papier (blanc),Betula papyrifera,14.5,12,54,0.01651299638543135,Collines du moyen Saint-Maurice,2021
Bouleau à papier (blanc),Betula papyrifera,11.8,13.2,20,0.010935884027146072,Collines du moyen Saint-Maurice,2021
Bouleau à papier (blanc),Betula papyrifera,11.2,11.8,66,0.00985203456165759,Collines du moyen Saint-Maurice,2021
Bouleau à papier (blanc),Betula papyrifera,14.2,15.4,44,0.015836768566746144,Collines du lac Nominingue,2021
Bouleau à papier (blanc),Betula papyrifera,15.1,15.3,65,0.017907863523625216,Collines du haut Saint-Maurice,2022
Bouleau à papier (blanc),Betula papyrifera,26.8,15.9,100,0.056410437687858334,Collines du moyen Saint-Maurice,2023
Bouleau à papier (blanc),Betula papyrifera,12,13,38,0.011309733552923255,Massif du mont Valin,2023
Bouleau à papier (blanc),Betula papyrifera,13.6,8.6,64,0.014526724430199206,Massif du lac Jacques-Cartier,2023
Bouleau à papier (blanc),Betula papyrifera,11.6,10.9,34,0.010568317686676062,Collines du lac Péribonka,2024
Bouleau à papier (blanc),Betula papyrifera,18.7,16.1,105,0.02746458837584537,Collines qui ceinturent le lac Saint-Jean,2024
Bouleau à papier (blanc),Betula papyrifera,9.8,12.4,39,0.0075429639612690945,Plaine du lac Matagami,2025
Bouleau à papier (blanc),Betula papyrifera,23.4,14.1,35,0.04300526183499067,Haut massif gaspésien,2017
Bouleau à papier (blanc),Betula papyrifera,11.5,12.8,34,0.010386890710931254,Collines qui ceinturent le lac Saint-Jean,2023
Épinette noire,Picea mariana,18.5,20.1,112,0.026880252142277666,Collines de l'Outaouais et du Témiscamingue,2017
Épinette noire,Picea mariana,14.2,11.2,35,0.015836768566746144,Hautes collines de Charlevoix et du Saguenay,2017
Épinette noire,Picea mariana,16.5,12.1,48,0.021382464998495533,Hautes collines de Charlevoix et du Saguenay,2017
Épinette noire,Picea mariana,10,3.9,25,0.007853981633974483,Massif du lac Jacques-Cartier,2017
Épinette noire,Picea mariana,18.5,12.1,94,0.026880252142277666,Côte gaspésienne,2019
Épinette noire,Picea mariana,25.1,16,68,0.04948086969220264,Coteaux des basses Appalaches,2019
Épinette noire,Picea mariana,11.8,7.6,68,0.010935884027146072,Haut massif gaspésien,2019
Épinette noire,Picea mariana,12,10.4,40,0.011309733552923255,Collines de l'Outaouais et du Témiscamingue,2020
Épinette noire,Picea mariana,9.6,11.4,35,0.007238229473870883,Coteaux du réservoir Cabonga,2020
