station_id,name,short_name,capacity,groupe_capacite,num_bikes_available,num_bikes_classic_available,num_ebikes_available,num_bikes_disabled,num_docks_available
319,10e avenue / Masson,6383,27,"Grande station, 26 à 35 bornes",5,2,3,1,21
366,1ère avenue / Rosemont,6362,23,"Station moyenne, 16 à 25 bornes",8,7,1,1,13
129,2e avenue / St-Joseph,6916,19,"Station moyenne, 16 à 25 bornes",11,6,5,4,3
375,5e avenue / Masson,6371,27,"Grande station, 26 à 35 bornes",15,13,2,3,9
377,7e avenue / St-Joseph,6373,27,"Grande station, 26 à 35 bornes",5,4,1,1,21
1026,André / de Rotterdam,9543,31,"Grande station, 26 à 35 bornes",9,3,6,2,20
280,Augustin-Cantin / Shearer,6921,31,"Grande station, 26 à 35 bornes",9,9,0,3,19
77,Bassin Peel (Smith / de la Commune),6085,27,"Grande station, 26 à 35 bornes",4,4,0,4,19
530,Bennett / Ste-Catherine,7017,21,"Station moyenne, 16 à 25 bornes",0,0,0,1,20
545,Berri / Rachel,7031,19,"Station moyenne, 16 à 25 bornes",17,16,1,2,0
586,Bishop / de Maisonneuve,7073,35,"Grande station, 26 à 35 bornes",31,31,0,1,3
1197,Bourgogne / Langevin,5508,17,"Station moyenne, 16 à 25 bornes",5,3,2,1,11
5,Brittany / Ainsley,6005,23,"Station moyenne, 16 à 25 bornes",20,7,13,1,2
403,Campus MIL (Outremont / Thérèse-Lavoie Roux),6066,31,"Grande station, 26 à 35 bornes",14,7,7,2,15
903,Cartier / du Coteau-Rouge,5530,19,"Station moyenne, 16 à 25 bornes",11,9,2,0,8
622,Chabanel / de l'Esplanade,7095,23,"Station moyenne, 16 à 25 bornes",5,5,0,3,15
157,Chambord / du Mont-Royal,6157,27,"Grande station, 26 à 35 bornes",17,13,4,3,7
31,City Councillors / de Maisonneuve,6032,19,"Station moyenne, 16 à 25 bornes",15,15,0,0,4
199,Clark / St-Viateur,6199,15,"Petite station, 15 bornes ou moins",4,2,2,2,9
211,Coloniale / Marie-Anne,6213,23,"Station moyenne, 16 à 25 bornes",20,18,2,1,2
988,Curé-Labelle / 77e Avenue,9501,19,"Station moyenne, 16 à 25 bornes",11,6,5,0,8
823,Cégep du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),8167,15,"Petite station, 15 bornes ou moins",15,15,0,0,0
651,Dollard / Bernard,7124,23,"Station moyenne, 16 à 25 bornes",3,2,1,1,19
1,Drummond / de Maisonneuve,6001,23,"Station moyenne, 16 à 25 bornes",19,16,3,0,4
757,Durocher / Beaumont,8075,19,"Station moyenne, 16 à 25 bornes",2,0,2,0,17
463,Egan / Laurendeau,6709,19,"Station moyenne, 16 à 25 bornes",3,3,0,0,16
333,Faillon / St-Denis,6327,23,"Station moyenne, 16 à 25 bornes",2,1,1,1,20
99,Frontenac / Ste-Catherine,6110,14,"Petite station, 15 bornes ou moins",3,3,0,0,11
1087,Galt Ouest / Tétreault,3001,15,"Petite station, 15 bornes ou moins",8,2,6,0,7
1164,Gareau / Lapointe,5569,19,"Station moyenne, 16 à 25 bornes",5,5,0,1,13
1147,Gaétan-Laberge / de l'Église,8302,19,"Station moyenne, 16 à 25 bornes",12,12,0,0,7
666,Glengarry / Graham,7139,15,"Petite station, 15 bornes ou moins",7,6,1,1,7
446,Guilbault / St-Charles,5005,23,"Station moyenne, 16 à 25 bornes",6,6,0,0,17
50,Henri-Julien / de Bellechasse,6051,19,"Station moyenne, 16 à 25 bornes",7,4,3,1,11
276,Holt / Fullum,6905,27,"Grande station, 26 à 35 bornes",2,2,0,0,24
774,Hôpital Santa Cabrini (de Pontoise / d'Évreux),8141,15,"Petite station, 15 bornes ou moins",8,3,5,3,4
871,Industriel / Louis-J.-Lafortune,8214,11,"Petite station, 15 bornes ou moins",2,1,1,1,8
590,Jean-Langlois / Dufresne,7077,31,"Grande station, 26 à 35 bornes",1,1,0,0,30
80,Jeanne-d'Arc / Ontario,6091,23,"Station moyenne, 16 à 25 bornes",17,17,0,2,4
729,La Fontaine / Panet,8063,19,"Station moyenne, 16 à 25 bornes",6,6,0,1,12
447,Labonté / du Coteau-Rouge,5006,23,"Station moyenne, 16 à 25 bornes",13,8,5,3,6
732,Lapierre / Serge,8030,15,"Petite station, 15 bornes ou moins",1,1,0,0,14
846,Le Corbusier / St-Martin O,9008,18,"Station moyenne, 16 à 25 bornes",10,8,2,1,7
891,Logan / Lafayette,5521,23,"Station moyenne, 16 à 25 bornes",8,6,2,1,14
982,Léon / Donck,9503,19,"Station moyenne, 16 à 25 bornes",9,5,4,2,8
636,Mairie d'arrondissement LaSalle (Dupras / Jeannette),7109,15,"Petite station, 15 bornes ou moins",4,4,0,0,11
246,Marché Jean-Talon (Henri-Julien / Jean-Talon),6250,23,"Station moyenne, 16 à 25 bornes",0,0,0,0,23
156,Marie-Anne / de la Roche,6156,19,"Station moyenne, 16 à 25 bornes",2,1,1,2,15
810,Mayfield / St-Martin O,9003,19,"Station moyenne, 16 à 25 bornes",7,1,6,3,9
681,Melville / de Maisonneuve,6437,15,"Petite station, 15 bornes ou moins",5,4,1,6,4
46,Milton / Durocher,6204,31,"Grande station, 26 à 35 bornes",8,8,0,2,20
1053,Montarville / Beaubien,5554,15,"Petite station, 15 bornes ou moins",4,4,0,0,11
465,Mozart / Waverly,6711,15,"Petite station, 15 bornes ou moins",9,6,3,0,6
45,Métro Bonaventure (de la Gauchetière / Mansfield),6046,31,"Grande station, 26 à 35 bornes",0,0,0,3,28
628,Métro De la Savane (Bougainville / de Sorel),7101,19,"Station moyenne, 16 à 25 bornes",8,3,5,2,8
529,Métro Langelier (Langelier / Sherbrooke),7016,19,"Station moyenne, 16 à 25 bornes",10,8,2,5,4
790,Métro Montmorency (de l'Avenir),8083,23,"Station moyenne, 16 à 25 bornes",10,2,8,0,13
642,Métro Radisson (Sherbrooke / des Groseilliers),7115,19,"Station moyenne, 16 à 25 bornes",10,5,5,2,7
462,Métro Verdun (Willibrord / de Verdun),6708,21,"Station moyenne, 16 à 25 bornes",2,1,1,0,19
994,Newman / Léger,8263,21,"Station moyenne, 16 à 25 bornes",5,4,1,0,16
385,Omer-Lavallée / du Midway,6381,18,"Station moyenne, 16 à 25 bornes",4,4,0,1,13
522,Panet / de Maisonneuve,7009,23,"Station moyenne, 16 à 25 bornes",5,5,0,1,17
771,Parc Beaulac (Élizabeth),8149,15,"Petite station, 15 bornes ou moins",9,8,1,0,6
1105,Parc Clair Matin (St-Laurent),9022,13,"Petite station, 15 bornes ou moins",8,4,4,0,5
1049,Parc Fernand-Bouffard (Duvernay),5535,21,"Station moyenne, 16 à 25 bornes",6,5,1,0,15
287,Parc Henri-Julien (Legendre),6917,23,"Station moyenne, 16 à 25 bornes",11,4,7,2,10
1076,Parc Jacques-Cartier (Marcil / Jacques-Cartier Sud),3003,21,"Station moyenne, 16 à 25 bornes",13,1,12,0,8
789,Parc Kirkland (des Érables / Boyer),8107,15,"Petite station, 15 bornes ou moins",13,12,1,1,1
1128,Parc Leroux (Centrale / Alepin),8285,15,"Petite station, 15 bornes ou moins",8,7,1,1,6
716,Parc Marlborough (Beauzèle / Robichaud),8059,15,"Petite station, 15 bornes ou moins",1,1,0,0,14
1030,Parc Notre-Dame (Galipeau / Dufferin),9548,23,"Station moyenne, 16 à 25 bornes",12,6,6,0,11
707,Parc Reine-Élizabeth (Penniston / Crawford),8065,15,"Petite station, 15 bornes ou moins",9,7,2,1,5
632,Parc St-Louis (St-Joseph / 34e avenue),7105,23,"Station moyenne, 16 à 25 bornes",14,12,2,6,3
799,Parc d'Antioche (Place d'Antioche / St-Zotique),8097,19,"Station moyenne, 16 à 25 bornes",14,13,1,4,1
998,Parc des Hirondelles (Bousquet / Patenaude),9514,23,"Station moyenne, 16 à 25 bornes",4,4,0,0,19
1190,Parc du Mont-St-Eustache (Boileau),9025,21,"Station moyenne, 16 à 25 bornes",12,6,6,0,9
1173,Payer / Boisvert,5576,19,"Station moyenne, 16 à 25 bornes",2,1,1,0,17
717,Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),8068,25,"Station moyenne, 16 à 25 bornes",0,0,0,3,22
431,Place du Commerce,6429,33,"Grande station, 26 à 35 bornes",18,16,2,3,10
946,Principale / Jean-Duceppe,5519,19,"Station moyenne, 16 à 25 bornes",10,3,7,0,9
520,REM Canora (Dunkirk / Jean-Talon),7007,27,"Grande station, 26 à 35 bornes",11,10,1,1,14
271,REM Île-des-Soeurs (René-Lévesque),6275,19,"Station moyenne, 16 à 25 bornes",5,5,0,1,12
963,Rielle / Wellington,8244,23,"Station moyenne, 16 à 25 bornes",4,4,0,0,19
566,Ropery / Augustin-Cantin,7053,19,"Station moyenne, 16 à 25 bornes",1,1,0,0,18
667,Sanguinet / Ontario,7140,17,"Station moyenne, 16 à 25 bornes",13,13,0,3,1
935,Square St-Patrick (St-Columban),8224,19,"Station moyenne, 16 à 25 bornes",17,16,1,1,1
960,St-André / Roy,8245,23,"Station moyenne, 16 à 25 bornes",3,1,2,1,19
895,St-Charles / Montarville,5524,19,"Station moyenne, 16 à 25 bornes",7,7,0,1,11
233,St-Dominique / Napoléon,6903,31,"Grande station, 26 à 35 bornes",6,4,2,1,24
186,St-Hubert / Laurier,6186,19,"Station moyenne, 16 à 25 bornes",10,9,1,0,9
634,St-Joseph / 21e avenue Lachine,7107,19,"Station moyenne, 16 à 25 bornes",8,8,0,1,10
275,St-Maurice / St-Henri,6904,23,"Station moyenne, 16 à 25 bornes",3,3,0,0,20
579,St-Urbain / de la Gauchetière,7066,43,"Très grande station, 36 bornes ou plus",27,26,1,0,16
8,Ste-Catherine / Sanguinet,6008,43,"Très grande station, 36 bornes ou plus",2,2,0,0,41
204,Ste-Famille / Prince-Arthur,6206,35,"Grande station, 26 à 35 bornes",14,14,0,0,21
884,Terminus de bus EXO (Côte de Terrebonne),8163,21,"Station moyenne, 16 à 25 bornes",7,3,4,1,13
647,Tupper / du Sussex,7120,31,"Grande station, 26 à 35 bornes",3,2,1,1,27
67,University / Milton,6070,39,"Très grande station, 36 bornes ou plus",12,10,2,2,25
34,Viger / Chenneville,6035,37,"Très grande station, 36 bornes ou plus",9,7,2,0,28
980,Wellington / Queen,8260,21,"Station moyenne, 16 à 25 bornes",15,15,0,1,5
930,Wolfe / Robin,8190,31,"Grande station, 26 à 35 bornes",5,5,0,2,24
824,de Bellechasse / de Lanaudière,8185,19,"Station moyenne, 16 à 25 bornes",9,9,0,0,10
320,de Bordeaux / St-Joseph,6385,19,"Station moyenne, 16 à 25 bornes",1,1,0,0,18
712,de Chateaubriand / Jarry,8076,15,"Petite station, 15 bornes ou moins",2,2,0,0,13
692,de Gaspé / Marmier,8056,21,"Station moyenne, 16 à 25 bornes",13,9,4,1,7
1117,de Lanaudière / Jean-Talon,8276,23,"Station moyenne, 16 à 25 bornes",5,5,0,0,18
68,de Maisonneuve / Aylmer (ouest),6073,37,"Très grande station, 36 bornes ou plus",35,35,0,0,2
188,de Mentana / Marie-Anne,6188,27,"Grande station, 26 à 35 bornes",0,0,0,3,24
1004,de Périgueux / Ampère,9521,23,"Station moyenne, 16 à 25 bornes",3,3,0,0,20
554,de l'Esplanade / Beaubien,7040,19,"Station moyenne, 16 à 25 bornes",1,0,1,0,18
401,de l'Hôtel-de-Ville / Sherbrooke,6021,31,"Grande station, 26 à 35 bornes",1,0,1,0,30
1058,de la Commune / McGill,8267,56,"Très grande station, 36 bornes ou plus",13,12,1,3,40
857,de la Côte-Ste-Catherine / Decelles,8135,19,"Station moyenne, 16 à 25 bornes",0,0,0,5,14
842,de la Sorbonne / du Rousillon,9005,22,"Station moyenne, 16 à 25 bornes",17,15,2,0,5
1025,des Nénuphars / du Bord-de-l'Eau,9542,19,"Station moyenne, 16 à 25 bornes",10,8,2,0,9
650,des Récollets / Martial,7123,16,"Station moyenne, 16 à 25 bornes",0,0,0,1,15
1006,du Bas-du-Plateau-Ouimet / Ste-Rose,9515,19,"Station moyenne, 16 à 25 bornes",15,15,0,0,4
145,du Parc-La Fontaine / Duluth,6145,31,"Grande station, 26 à 35 bornes",24,23,1,1,6
98,du Square-St-Louis / St-Denis,6109,35,"Grande station, 26 à 35 bornes",24,21,3,1,10
491,Émile-Journault / Christophe-Colomb,6737,21,"Station moyenne, 16 à 25 bornes",7,5,2,3,11
