annee_donnee,code_geographique,municipalite,region_administrative,population,classe_population
2025,01023,Les Îles-de-la-Madeleine,Gaspésie–Îles-de-la-Madeleine,12521,10 000 à 24 999
2025,03015,Petite-Vallée,Gaspésie–Îles-de-la-Madeleine,157,0 à 1 999
2025,04047,Cap-Chat,Gaspésie–Îles-de-la-Madeleine,2547,2 000 à 9 999
2025,05055,Saint-Siméon,Gaspésie–Îles-de-la-Madeleine,1251,0 à 1 999
2025,06030,Pointe-à-la-Croix,Gaspésie–Îles-de-la-Madeleine,1283,0 à 1 999
2025,07018,Causapscal,Bas-Saint-Laurent,2148,2 000 à 9 999
2025,07080,Val-Brillant,Bas-Saint-Laurent,947,0 à 1 999
2025,08023,Sainte-Félicité,Bas-Saint-Laurent,1079,0 à 1 999
2025,09010,Saint-Charles-Garnier,Bas-Saint-Laurent,238,0 à 1 999
2025,09060,Grand-Métis,Bas-Saint-Laurent,215,0 à 1 999
2025,10030,Saint-Anaclet-de-Lessard,Bas-Saint-Laurent,3027,2 000 à 9 999
2025,11025,Saint-Médard,Bas-Saint-Laurent,217,0 à 1 999
2025,12015,Saint-Antonin,Bas-Saint-Laurent,4618,2 000 à 9 999
2025,12080,Notre-Dame-du-Portage,Bas-Saint-Laurent,1336,0 à 1 999
2025,13050,Lejeune,Bas-Saint-Laurent,241,0 à 1 999
2025,13090,Saint-Honoré-de-Témiscouata,Bas-Saint-Laurent,801,0 à 1 999
2025,14040,Saint-André-de-Kamouraska,Bas-Saint-Laurent,665,0 à 1 999
2025,14090,Sainte-Anne-de-la-Pocatière,Bas-Saint-Laurent,1673,0 à 1 999
2025,16013,Baie-Saint-Paul,Capitale-Nationale,7852,2 000 à 9 999
2025,17025,Sainte-Félicité,Chaudière-Appalaches,369,0 à 1 999
2025,18005,Saint-Just-de-Bretenières,Chaudière-Appalaches,647,0 à 1 999
2025,18050,Montmagny,Chaudière-Appalaches,11203,10 000 à 24 999
2025,19025,Saint-Malachie,Chaudière-Appalaches,1755,0 à 1 999
2025,19075,Saint-Gervais,Chaudière-Appalaches,2213,2 000 à 9 999
2025,20020,Saint-Laurent-de-l'Île-d'Orléans,Capitale-Nationale,1714,0 à 1 999
2025,21040,L'Ange-Gardien,Capitale-Nationale,3999,2 000 à 9 999
2025,22040,Lac-Beauport,Capitale-Nationale,8473,2 000 à 9 999
2025,26022,Saint-Elzéar,Chaudière-Appalaches,2853,2 000 à 9 999
2025,27028,Beauceville,Chaudière-Appalaches,6283,2 000 à 9 999
2025,28015,Sainte-Aurélie,Chaudière-Appalaches,896,0 à 1 999
2025,28065,Sainte-Sabine,Chaudière-Appalaches,369,0 à 1 999
2025,29050,Saint-René,Chaudière-Appalaches,1003,0 à 1 999
2025,30005,Saint-Augustin-de-Woburn,Estrie,679,0 à 1 999
2025,30050,Sainte-Cécile-de-Whitton,Estrie,914,0 à 1 999
2025,30110,Stratford,Estrie,1086,0 à 1 999
2025,31056,Adstock,Chaudière-Appalaches,3170,2 000 à 9 999
2025,31140,Saint-Jacques-de-Leeds,Chaudière-Appalaches,745,0 à 1 999
2025,32080,Notre-Dame-de-Lourdes,Centre-du-Québec,836,0 à 1 999
2025,33060,Laurier-Station,Chaudière-Appalaches,2759,2 000 à 9 999
2025,33123,Leclercville,Chaudière-Appalaches,516,0 à 1 999
2025,34065,Saint-Marc-des-Carrières,Capitale-Nationale,2922,2 000 à 9 999
2025,34135,Rivière-à-Pierre,Capitale-Nationale,621,0 à 1 999
2025,35055,Trois-Rives,Mauricie,449,0 à 1 999
2025,37235,Notre-Dame-du-Mont-Carmel,Mauricie,6585,2 000 à 9 999
2025,38035,Sainte-Françoise,Centre-du-Québec,500,0 à 1 999
2025,39015,Notre-Dame-de-Ham,Centre-du-Québec,404,0 à 1 999
2025,39090,Sainte-Élizabeth-de-Warwick,Centre-du-Québec,391,0 à 1 999
2025,39170,Saint-Louis-de-Blandford,Centre-du-Québec,1078,0 à 1 999
2025,41020,Chartierville,Estrie,325,0 à 1 999
2025,41085,Lingwick,Estrie,477,0 à 1 999
2025,42050,Sainte-Anne-de-la-Rochelle,Estrie,614,0 à 1 999
2025,42098,Richmond,Estrie,3431,2 000 à 9 999
2025,44037,Coaticook,Estrie,9068,2 000 à 9 999
2025,45030,Potton,Estrie,2210,2 000 à 9 999
2025,45093,Eastman,Estrie,2665,2 000 à 9 999
2025,46030,Stanbridge Station,Estrie,284,0 à 1 999
2025,46080,Cowansville,Estrie,16906,10 000 à 24 999
2025,47025,Waterloo,Estrie,5560,2 000 à 9 999
2025,48020,Sainte-Christine,Montérégie,827,0 à 1 999
2025,49030,Saint-Lucien,Centre-du-Québec,1959,0 à 1 999
2025,49105,Saint-Eugène,Centre-du-Québec,1177,0 à 1 999
2025,50042,Saint-Léonard-d'Aston,Centre-du-Québec,2663,2 000 à 9 999
2025,50113,Pierreville,Centre-du-Québec,2201,2 000 à 9 999
2025,51045,Saint-Justin,Mauricie,955,0 à 1 999
2025,52007,Lavaltrie,Lanaudière,15911,10 000 à 24 999
2025,52070,Saint-Norbert,Lanaudière,1143,0 à 1 999
2025,53020,Saint-Robert,Montérégie,1853,0 à 1 999
2025,54017,Saint-Damase,Montérégie,2463,2 000 à 9 999
2025,54095,Sainte-Hélène-de-Bagot,Montérégie,1878,0 à 1 999
2025,55023,Saint-Césaire,Montérégie,6168,2 000 à 9 999
