Description_infraction,Type_etablissement,Date_infraction,Date_jugement,Date_publication,Amende,SOC_NOM_ARTCL_INFRC,amende_num,ville_montreal,delai_infraction_jugement_jours
"NUL NE PEUT, SANS ETRE TITULAIRE D'UN PERMIS EN VIGUEUR, EXPLOITER UN LIEU OU UN VEHICULE OU EST EXERCEE L'ACTIVITE DE RESTAURATEUR.",RESTAURANT METS A EMPORTER,2021-11-09,2023-03-13,2023-03-13,5 000 $,NA,5000,TRUE,489
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2022-01-20,2023-06-05,2023-06-05,1 000 $,INSALUBRITE,1000,TRUE,501
"IL EST INTERDIT DANS UN ETABLISSEMENT DE DISTRIBUER SUR PLACE, POUR EMPORTER OU PAR LIVRAISON, LES ARTICLES A USAGE UNIQUE SUIVANTS: BARQUETTE #6, ASSIETTE #6, CONTENANT ET COUVERCLE #6, COUVERCLE DE TASSE OU VERRE #6, TASSE OU VERRE, BATONNET, PAILLE, USTENSILE #1, #2, ,3, #4, #5, #6.",RESTAURANT SERVICE RAPIDE,2023-09-27,2024-10-21,2024-10-21,400 $,NA,400,TRUE,390
"LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.",RESTAURANT,2024-04-09,2024-12-20,2024-12-20,500 $,PERSONNEL,500,TRUE,255
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2021-07-16,2023-02-27,2023-02-27,900 $,INSALUBRITE,900,TRUE,591
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2021-10-18,2023-02-20,2023-02-20,2 000 $,NA,2000,TRUE,490
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2024-05-23,2024-12-18,2024-12-18,1 000 $,NA,1000,TRUE,209
"LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.",RESTAURANT SERVICE RAPIDE,2024-08-16,2024-09-30,2024-09-30,500 $,PERSONNEL,500,TRUE,45
"IL EST INTERDIT DANS UN ETABLISSEMENT DE DISTRIBUER SUR PLACE, POUR EMPORTER OU PAR LIVRAISON, LES ARTICLES A USAGE UNIQUE SUIVANTS: BARQUETTE #6, ASSIETTE #6, CONTENANT ET COUVERCLE #6, COUVERCLE DE TASSE OU VERRE #6, TASSE OU VERRE, BATONNET, PAILLE, USTENSILE #1, #2, ,3, #4, #5, #6.",RESTAURANT,2024-04-08,2024-12-18,2024-12-18,400 $,NA,400,TRUE,254
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2024-05-17,2024-05-27,2024-05-27,1 000 $,NA,1000,TRUE,10
"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.",RESTAURANT,2023-11-15,2024-05-15,2024-05-15,1 000 $,TEMPERATURE DE CONSERVATION,1000,TRUE,182
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-10-24,2024-11-25,2024-11-25,2 800 $,NA,2800,FALSE,398
"LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.",RESTAURANT,2023-08-08,2024-11-25,2024-11-25,2 000 $,INSALUBRITE,2000,TRUE,475
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2023-11-30,2024-12-13,2024-12-13,1 400 $,NA,1400,TRUE,379
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT SERVICE RAPIDE,2023-10-11,2024-09-11,2024-09-11,3 750 $,NA,3750,TRUE,336
"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.",RESTAURANT,2024-05-27,2025-02-06,2025-02-06,2 750 $,NA,2750,TRUE,255
"LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT NE PORTER AUCUN VERNIS A ONGLES, NI MONTRES, BAGUES, BOUCLES D'OREILLES OU AUTRES BIJOUX.",RESTAURANT,2023-10-30,2024-05-27,2024-05-27,500 $,PERSONNEL,500,TRUE,210
"A EXPLOITE UN LIEU VISE A L'ARTICLE 2.1.1, QUI N'ETAIT PAS EXEMPT DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES RONGEURS ET LES INSECTES OU DE LEURS EXCREMENTS.",RESTAURANT,2023-10-11,2024-05-06,2024-05-27,1 000 $,INSECTES RONGEURS EXCREMENTS,1000,FALSE,208
A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX ET LES EQUIPEMENTS SERVANT LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.,REST. SERVICE RAPIDE,2024-02-22,2024-07-25,2024-08-08,750 $,INSALUBRITE,750,FALSE,154
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT,2023-10-25,2024-02-20,2024-02-28,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,118
"A EXPLOITE UN ETABLISSEMENT OU L'ON PREPARE, ENTREPOSE OU DETIENT DES PRODUITS EN VUE DE LA VENTE, SANS Y MAINTENIR LES LOCAUX ET LE MATERIEL PROPRE(S). (ETAT GENERALISE)",REST. SERVICE RAPIDE,2023-09-28,2024-11-25,2024-12-05,5 000 $,INSALUBRITE,5000,FALSE,424
"A EXPLOITE UN ETABLISSEMENT DONT LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2023-11-29,2024-11-20,2024-11-22,500 $,INSALUBRITE,500,FALSE,357
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT,2023-12-01,2024-04-17,2024-04-24,1 000 $,TEMPERATURE ALIMENTS ALTERABLES,1000,FALSE,138
"A EXPLOITE UN ETABLISSEMENT DONT LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",REST. SERVICE RAPIDE,2024-01-16,2025-01-24,2025-02-10,500 $,INSALUBRITE,500,FALSE,374
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2022-04-28,2023-11-17,2023-11-27,750 $,INSALUBRITE,750,FALSE,568
"A EXPLOITE UN ETABLISSEMENT OU DES PERSONNES, QUI SONT EN CONTACT AVEC LES PRODUITS OU AVEC LE MATERIEL ET LES EQUIPEMENTS EUX-MEMES EN CONTACT AVEC LES PRODUITS, NE S'ETAIENT PAS LAVEES LES MAINS ET AVANT-BRAS AVEC DE L'EAU CHAUDE ET DU SAVON LIQUIDE OU EN POUDRE DISPENSE PAR UN DISTRIBUTEUR, APRES AVOIR MANIPULE DES ALIMENTS CRUS.",RESTAURANT,2021-07-07,2023-11-01,2023-11-09,250 $,LAVAGE DES MAINS,250,FALSE,847
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2021-10-15,2023-04-18,2023-06-20,500 $,INSALUBRITE,500,FALSE,550
