id_quartier,nom_quartier,superficie_quartier_m2,perimetre_quartier_m,nombre_permis,nombre_permis_construction_batiment_principal,nombre_permis_renovation_agrandissement,nombre_permis_constructions_amenagements_accessoires,nombre_permis_lotissement,annee_min_permis
2,Cap-Rouge,12726112.15,19159.71,4381,209,704,758,62,2020
26,Chutes-Montmorency,9078835.08,13907.24,1531,38,423,419,57,2020
3,Cité-Universitaire,7953337.66,12535.04,1667,30,359,112,48,2020
5,Des Châtels,9119719.39,15875.99,1695,92,420,519,43,2020
6,Duberger—Les Saules,19416818.28,25640.23,2779,40,669,669,109,2020
21,Jésuites,4822793.69,9816.46,1459,25,385,442,41,2020
7,L'Aéroport,54637718.8,41350.76,2053,70,374,540,60,2020
8,Lac-Saint-Charles,38498015.84,37213.26,1943,44,478,595,71,2020
9,Lairet,3135722.72,7584.09,1087,15,546,98,47,2020
11,Loretteville,20248999.29,40245.8,2068,67,629,455,81,2020
12,Maizerets,4611181.5,12066.82,1106,26,473,67,26,2020
13,Montcalm,1749967.56,6229.63,1685,5,964,91,70,2020
14,Neufchatel Est—Lebourgneuf,22983547.71,22344.72,3882,217,821,1064,107,2020
15,Notre-Dame-des-Laurentides,36235748.52,29340.62,2501,222,659,773,99,2020
19,Orsainville,7632397.43,11932.18,1574,27,437,583,33,2020
16,Plateau,3558873.68,8403.63,1336,37,342,188,54,2020
18,Pointe-de-Sainte-Foy,4280196.15,13145.74,1087,22,167,130,33,2020
20,Quartier 4-3,11482891,15675.23,1319,30,251,485,53,2020
22,Quartier 4-5,3609395.97,8856.02,1193,22,382,298,37,2020
23,Quartier 4-6,2693688.05,7337.18,510,11,182,70,17,2020
25,Quartier 5-2,9177998.91,14044.27,2137,36,366,719,81,2020
1,Saint-Jean-Baptiste,679518.44,3780.16,1108,6,602,21,25,2020
17,Saint-Louis,6014085.07,13678.98,2250,39,468,251,106,2020
30,Saint-Roch,1533394.36,6443.04,1225,12,462,52,49,2020
29,Saint-Sacrement,1704353.31,6571.86,1159,10,596,68,58,2020
31,Saint-Sauveur,3964718.29,14966.89,2262,34,1225,82,51,2020
28,Saint-Émile,10511773.06,21180.88,2064,200,466,765,69,2020
24,Sainte-Thérèse-de-Lisieux,44696726.68,27807.09,3406,491,909,977,225,2020
32,Sillery,7578461.27,18725.23,3439,84,956,403,102,2020
33,Val-Bélair,74406815.73,44313.76,5008,524,1193,1475,252,2020
34,Vanier,6254988.91,10550.55,1004,10,287,84,29,2020
27,Vieux-Bourg,6696164.97,11797.67,2135,81,630,434,93,2020
10,Vieux-Limoilou,2436574.72,8744.68,1812,18,1113,69,37,2020
35,Vieux-Moulin,9248150.87,18256.74,1139,19,349,180,33,2020
4,Vieux-Québec—Cap-Blanc—Colline parlementaire,4293772.7,13796.74,2166,4,909,100,42,2020
