Code_Cs,Nom_Cs,Code_Org,Nom_Org,IMSE,Rang_Decile_IMSE,SFR,Rang_Decile_SFR,Nbre_Eleves,Diffusion
711000,Centre de services scolaire des Monts-et-Marées (711000),711002,École Lac-au-Saumon (711002),10.4187626666667,9,1.33371857142857,2,105,OUI
712000,Centre de services scolaire des Phares (712000),712001,École de l'Écho-des-Montagnes-Lavoie (712001),9.31401877862597,8,1.40710343511451,2,131,OUI
712000,Centre de services scolaire des Phares (712000),712031,École Norjoli (712031),9.55284384259258,8,2.30051092592592,3,216,OUI
714000,Centre de services scolaire de Kamouraska-Rivière-du-Loup (714000),714001,"École Moisson-d'Arts, La Chanterelle, Notre-Dame-du-Sourire et Riou (714001)",6.46434208588957,5,0.0622829447852761,1,163,OUI
721000,Centre de services scolaire du Pays-des-Bleuets (721000),721011,École Benoît-Duhamel (721011),3.32322303135888,2,1.1498687804878,1,287,OUI
722000,Centre de services scolaire du Lac-Saint-Jean (722000),722101,École Albert-Naud (722101),4.73716093959731,3,5.1914277181208,7,149,OUI
722000,Centre de services scolaire du Lac-Saint-Jean (722000),722245,École du Bon Conseil (722245),7.25641547826088,6,4.8203295652174,6,115,OUI
723000,Centre de services scolaire des Rives-du-Saguenay (723000),723132,École Médéric-Gravel (723132),6.91862145772594,6,1.99794104956268,3,343,OUI
724000,Centre de services scolaire De La Jonquière (724000),724021,École Notre-Dame-de-l'Assomption (724021),2.78115833810889,1,3.41704091690544,5,349,OUI
724000,Centre de services scolaire De La Jonquière (724000),724048,École Du Versant (724048),8.01339310077521,7,3.80118511627906,5,129,OUI
732000,Centre de services scolaire de la Capitale (732000),732015,École du Buisson (732015),6.13575409638551,5,10.7360473192771,9,332,OUI
732000,Centre de services scolaire de la Capitale (732000),732039,École Saint-Fidèle (732039),3.8830408303249,2,10.4141801444043,8,277,OUI
732000,Centre de services scolaire de la Capitale (732000),732166,École Jacques-Cartier - Saint-Denys-Garneau (732166),5.24196554240632,4,0.449940414201185,1,507,OUI
733000,Centre de services scolaire des Découvreurs (733000),733027,École Les Sources (733027),1.43239863636364,1,0.677769772727273,1,396,OUI
734000,Centre de services scolaire des Premières-Seigneuries (734000),734015,École des Constellations (734015),4.23117025773196,3,4.79746072164947,6,388,OUI
734000,Centre de services scolaire des Premières-Seigneuries (734000),734042,École de l'Escalade (734042),0.974062500000002,1,2.00090802238806,3,268,OUI
735000,Centre de services scolaire de Portneuf (735000),735201,École du Phare-et-Saint-Charles-de-Grondines (735201),8.27095291338582,7,0.629014015748031,1,127,OUI
741000,Centre de services scolaire du Chemin-du-Roy (741000),741024,École de musique Jacques-Hétu (741024),7.20089354609929,6,5.52340907801418,7,282,OUI
741000,Centre de services scolaire du Chemin-du-Roy (741000),741078,École Laviolette (741078),11.9272593220339,9,11.942586779661,9,177,OUI
742000,Centre de services scolaire de l'Énergie (742000),742010,École de la Petite-Rivière - Villa-de-la-Jeunesse (742010),7.38761443438915,6,2.41606909502263,3,221,OUI
742000,Centre de services scolaire de l'Énergie (742000),742093,École Saint-Jacques (742093),14.5786113402062,10,13.9877066494845,9,194,OUI
751000,Centre de services scolaire des Hauts-Cantons (751000),751047,École du Parchemin (751047),9.91306166276342,8,3.91550402810305,6,427,OUI
751000,Centre de services scolaire des Hauts-Cantons (751000),751094,École des Monts-Blancs (751094),11.8339627272727,9,2.26287772727273,3,44,OUI
752000,Centre de services scolaire de la Région-de-Sherbrooke (752000),752018,École Notre-Dame-de-Liesse (752018),4.85636959731546,4,2.53726143176734,3,447,OUI
752000,Centre de services scolaire de la Région-de-Sherbrooke (752000),752044,École Alfred-DesRochers (752044),1.89328071583513,1,0.611163644251627,1,461,OUI
753000,Centre de services scolaire des Sommets (753000),753021,École Brassard-Saint-Patrice (753021),5.37084182608699,4,1.46728587826087,2,575,OUI
753000,Centre de services scolaire des Sommets (753000),753063,École Notre-Dame-des-Érables (753063),12.3677225,9,1.310778125,2,48,OUI
761000,Centre de services scolaire de la Pointe-de-l'Île (761000),761023,École Lambert-Closse (761023),12.6619272431508,9,17.8447473458905,10,584,OUI
761000,Centre de services scolaire de la Pointe-de-l'Île (761000),761046,École Simone-Desjardins (761046),6.56103389870437,6,3.84295196702004,5,849,OUI
762000,Centre de services scolaire de Montréal (762000),762003,École Saint-Justin (762003),8.68823929054056,7,10.7403493918919,9,592,OUI
762000,Centre de services scolaire de Montréal (762000),762033,École Saint-Nom-de-Jésus (762033),13.1202541780822,10,13.3789120547945,9,292,OUI
762000,Centre de services scolaire de Montréal (762000),762055,École Montcalm (762055),22.5538293145162,10,19.7493273387097,10,248,OUI
762000,Centre de services scolaire de Montréal (762000),762080,École Champlain (762080),14.2050265289256,10,21.4238027272728,10,121,OUI
762000,Centre de services scolaire de Montréal (762000),762100,École Saint-Paul-de-la-Croix (762100),5.19789598726116,4,11.3303075159236,9,314,OUI
762000,Centre de services scolaire de Montréal (762000),762127,École FACE (762127),8.31510023364486,7,14.9843597663552,10,428,OUI
762000,Centre de services scolaire de Montréal (762000),762149,École Saint-Pascal-Baylon (762149),13.5965846240602,10,17.5072060902255,10,266,OUI
762000,Centre de services scolaire de Montréal (762000),762170,École Sainte-Catherine-de-Sienne (762170),8.9558475221239,8,19.3257993362831,10,226,OUI
763000,Centre de services scolaire Marguerite-Bourgeoys (763000),763006,École Cardinal-Léger (763006),9.71276117210688,8,15.3261389910978,10,674,OUI
763000,Centre de services scolaire Marguerite-Bourgeoys (763000),763024,École des Grands-Êtres (763024),11.2560699261084,9,16.1635257142857,10,406,OUI
763000,Centre de services scolaire Marguerite-Bourgeoys (763000),763113,École Notre-Dame-des-Rapides (763113),8.70327201201205,7,12.6910636636636,9,333,OUI
763000,Centre de services scolaire Marguerite-Bourgeoys (763000),763134,École de l'Orée-du-Parc (763134),8.294096159601,7,13.4687620698255,9,401,OUI
763000,Centre de services scolaire Marguerite-Bourgeoys (763000),763219,École Saint-Luc (763219),6.69321656593406,6,7.96838041208789,8,364,OUI
771000,Centre de services scolaire des Draveurs (771000),771017,École La Source (771017),15.3865515444015,10,12.5641056756757,9,259,OUI
771000,Centre de services scolaire des Draveurs (771000),771061,École du Cheval-Blanc (771061),7.10922314500943,6,5.00331979284367,6,531,OUI
772000,Centre de services scolaire des Portages-de-l'Outaouais (772000),772015,École du Parc-de-la-Montagne (772015),13.3307584054054,10,16.6159201351352,10,370,OUI
773000,Centre de services scolaire au Coeur-des-Vallées (773000),773001,École Adrien-Guillaume (773001),11.6981969,9,1.6336454,2,100,OUI
773000,Centre de services scolaire au Coeur-des-Vallées (773000),773033,École de la Montagne (773033),18.9472908333333,10,12.6662400833333,9,120,OUI
782000,Centre de services scolaire de Rouyn-Noranda (782000),782009,École Sacré-Coeur (782009),5.13779517333333,4,3.47513194666667,5,375,OUI
783000,Centre de services scolaire Harricana (783000),783019,École Saint-Mathieu - La Motte (783019),6.89687597701149,6,1.61551666666667,2,87,OUI
784000,Centre de services scolaire de l'Or-et-des-Bois (784000),784015,École Des Explorateurs (784015),9.7721146932515,8,1.26259018404907,2,326,OUI
791000,Centre de services scolaire de l'Estuaire (791000),791020,École Leventoux (791020),2.81672208955224,1,2.01257559701493,3,268,OUI
792000,Centre de services scolaire du Fer (792000),792019,École Dominique-Savio (792019),NA,NA,NA,NA,NA,NON
801000,Centre de services scolaire de la Baie-James (801000),801005,École Saint-Dominique-Savio (801005) 2007,20.72072,10,1.08108,1,97,OUI
812000,Centre de services scolaire des Chic-Chocs (812000),812021,École des Prospecteurs (812021),11.2162202702703,9,0.0720718918918919,1,37,OUI
813000,Centre de services scolaire René-Lévesque (813000),813021,École La Source (813021),14.2189659447004,10,1.07633069124424,1,217,OUI
821000,Centre de services scolaire de la Côte-du-Sud (821000),821120,École de la Marelle (821120),3.17773062500001,2,0,1,256,OUI
821000,Centre de services scolaire de la Côte-du-Sud (821000),821144,École Beaubien (821144),7.95551328703705,7,3.94657847222222,6,216,OUI
822000,Centre de services scolaire des Appalaches (822000),822017,École Saint-Louis (822017),4.81186167938931,3,3.50538866412214,5,262,OUI
823000,Centre de services scolaire de la Beauce-Etchemin (823000),823007,École le Tremplin (823007),1.77411733870967,1,2.09826306451613,3,124,OUI
823000,Centre de services scolaire de la Beauce-Etchemin (823000),823044,École Jouvence (823044),2.08333,1,0,1,38,OUI
823000,Centre de services scolaire de la Beauce-Etchemin (823000),823078,École l'Éco-Pin (823078),4.04237928104576,3,0.269509738562091,1,153,OUI
824000,Centre de services scolaire des Navigateurs (824000),824028,École Saint-Joseph (824028),4.96265184991272,4,7.27656525305411,8,573,OUI
824000,Centre de services scolaire des Navigateurs (824000),824097,École de la Ruche (824097),1.47617274298056,1,1.62775090712743,2,463,OUI
831000,Centre de services scolaire de Laval (831000),831003,École Fleur-de-vie (831003),8.14459517543858,7,4.13721976608186,6,342,OUI
831000,Centre de services scolaire de Laval (831000),831028,École Charles-Bruneau (831028),3.9149952699229,2,3.48671951156812,5,389,OUI
831000,Centre de services scolaire de Laval (831000),831052,École de l'Avenir (831052),11.9667202200489,9,11.3555233740832,9,409,OUI
831000,Centre de services scolaire de Laval (831000),831083,École Saint-Paul (831083),17.3348484802784,10,12.3361302900232,9,862,OUI
841000,Centre de services scolaire des Affluents (841000),841012,École Henri-Bourassa (841012),3.78504833333334,2,2.59216473333333,4,150,OUI
841000,Centre de services scolaire des Affluents (841000),841037,École du Moulin (841037),4.93592316129032,4,4.03274203225806,6,310,OUI
841000,Centre de services scolaire des Affluents (841000),841111,École du Boisé (841111),8.74828598445595,8,2.6190996373057,4,386,OUI
842000,Centre de services scolaire des Samares (842000),842001,École primaire de l'Aubier (842001),11.2756495472702,9,3.00648956058587,4,751,OUI
842000,Centre de services scolaire des Samares (842000),842031,École primaire Bérard (842031),32.14286,10,4.93906,6,33,OUI
842000,Centre de services scolaire des Samares (842000),842059,École primaire Notre-Dame (842059),7.33102757437066,6,1.3527480778032,2,437,OUI
842000,Centre de services scolaire des Samares (842000),842095,École primaire de la Récolte (842095),11.8844170833333,9,2.13871083333333,3,48,OUI
851000,Centre de services scolaire des Mille-Îles (851000),851210,École des Perséides (851210),6.83843232876718,6,3.10336780821919,4,438,OUI
851000,Centre de services scolaire des Mille-Îles (851000),851230,École des Grands-Vents (851230),5.24288779816509,4,2.34862631192661,3,545,OUI
851000,Centre de services scolaire des Mille-Îles (851000),851262,École des Étoiles-Filantes (851262),5.35699938697318,4,3.00304398467433,4,261,OUI
851000,Centre de services scolaire des Mille-Îles (851000),851287,École Du Bois-Joli (851287),9.20655910313908,8,2.81395011210761,4,446,OUI
852000,Centre de services scolaire de la Rivière-du-Nord (852000),852021,École Val-des-Monts (852021),3.48609323529412,2,1.89177320261439,2,306,OUI
852000,Centre de services scolaire de la Rivière-du-Nord (852000),852043,École du Grand-Héron (852043),7.69243576732673,7,1.65568091584158,2,404,OUI
853000,Centre de services scolaire des Laurentides (853000),853005,École Fleur-des-Neiges (853005),8.38444328651688,7,2.09961617977528,3,356,OUI
853000,Centre de services scolaire des Laurentides (853000),853050,Campus primaire Mont-Tremblant (853050),8.70165423133239,7,2.87438152269399,4,683,OUI
861000,Centre de services scolaire de Sorel-Tracy (861000),861032,École Pierre-de-Saint-Ours (861032),8.33333000000001,7,2.20833,3,79,OUI
862000,Centre de services scolaire de Saint-Hyacinthe (862000),862111,École Saint-Nazaire (862111),11.11111,9,1.63343,2,64,OUI
862000,Centre de services scolaire de Saint-Hyacinthe (862000),862207,École Lafontaine (862207),20.032965751634,10,15.3454880392157,10,153,OUI
863000,Centre de services scolaire des Hautes-Rivières (863000),863022,École Hamel (863022),4.94656573076922,4,2.67737092307692,4,260,OUI
863000,Centre de services scolaire des Hautes-Rivières (863000),863050,École Notre-Dame-du-Sacré-Coeur (863050),10.1846406808511,8,6.33248327659574,7,235,OUI
864000,Centre de services scolaire Marie-Victorin (864000),864007,École Charles-Bruneau (864007),7.02978817444215,6,11.1789227586207,9,493,OUI
864000,Centre de services scolaire Marie-Victorin (864000),864028,École du Jardin-Bienville (864028),3.80822360103626,2,3.34644300518135,5,386,OUI
864000,Centre de services scolaire Marie-Victorin (864000),864048,École Préville (864048),4.77888371040727,3,9.77301728506789,8,442,OUI
