lien_ecole_immeuble_id,NOM_OFFCL_ORGNS,NOM_IMM,municipalite,region_administrative,type_reseau_public,est_primaire,est_secondaire,nb_ordres_autorises
712335-712009,Centre d'éducation des adultes des Phares,CFA de Mont-Joli-Mitis,Mont-Joli,Bas-Saint-Laurent,Francophone,FALSE,FALSE,1
721301-721805,Centre d'éducation des adultes du Parcours-et-du-Tremplin,Le Tournant 3F,Dolbeau-Mistassini,Saguenay–Lac-Saint-Jean,Francophone,FALSE,FALSE,1
813304-813032,Centre d'éducation des adultes de Carleton-sur-mer - Matapédia,Saint-Paul (032),Maria,Gaspésie–Îles-de-la-Madeleine,Francophone,FALSE,FALSE,1
711106-711022,École Forimont,"Causapscal, secondaire de",Causapscal,Bas-Saint-Laurent,Francophone,FALSE,TRUE,1
723374-723038,Centre de formation générale des adultes des Rives-du-Saguenay,Centre de services La Baie,Saguenay,Saguenay–Lac-Saint-Jean,Francophone,FALSE,FALSE,1
724022-724012,École Notre-Dame-du-Sourire,Notre-Dame-du-Sourire,Saguenay,Saguenay–Lac-Saint-Jean,Francophone,TRUE,FALSE,2
865331-865033,Centre d'éducation des adultes des Patriotes,"Rocher, Le",Saint-Amable,Montérégie,Francophone,FALSE,FALSE,1
689318-689037,Centre d'éducation des adultes Gabriel-Dionne,Gabriel Dionne,Côte-Nord-du-Golfe-du-Saint-Laurent,Côte-Nord,Statut particulier,FALSE,FALSE,1
713002-713099,École Gérard-Collin,Gérard-Collin,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,Francophone,TRUE,FALSE,2
713401-713012,Centre de formation professionnelle du Fleuve-et-des-Lacs,Cafétéria (Basley),Dégelis,Bas-Saint-Laurent,Francophone,FALSE,FALSE,1
714021-714850,École secondaire de Rivière-du-Loup,Unités le Traversier et l'Ancrage,Rivière-du-Loup,Bas-Saint-Laurent,Francophone,FALSE,TRUE,1
714402-714010,Centre de formation professionnelle Pavillon-de-l'Avenir,Centre de services de La Pocatière,La Pocatière,Bas-Saint-Laurent,Francophone,FALSE,FALSE,1
721301-721801,Centre d'éducation des adultes du Parcours-et-du-Tremplin,Conseil des Atikamekw d'Obedjiwan,Obedjiwan,Mauricie,Francophone,FALSE,FALSE,1
722111-722018,École Saint-Sacrement,Saint-Sacrement,Alma,Saguenay–Lac-Saint-Jean,Francophone,TRUE,FALSE,2
723144-723044,École Saint-David,Saint-David,Saint-David-de-Falardeau,Saguenay–Lac-Saint-Jean,Francophone,TRUE,FALSE,2
724046-724044,École le Tandem,"Tandem - Édifice Saint-Luc, le",Saguenay,Saguenay–Lac-Saint-Jean,Francophone,TRUE,FALSE,2
732013-732013,École des Écrivains,"Écrivains, des",Québec,Capitale-Nationale,Francophone,TRUE,FALSE,2
732159-732073,École Jean-de-Brébeuf,CFP de Limoilou,Québec,Capitale-Nationale,Francophone,FALSE,TRUE,1
733002-733063,École des Pionniers,Pavillon De La Salle,Saint-Augustin-de-Desmaures,Capitale-Nationale,Francophone,TRUE,FALSE,1
734004-734004,École de l'Harmonie,"Harmonie - Saint-Édouard, de l'",Québec,Capitale-Nationale,Francophone,TRUE,FALSE,2
734043-734043,École du Boisé,"Boisé 1, du",Québec,Capitale-Nationale,Francophone,TRUE,FALSE,2
735101-735006,École des Bourdons-et-Courval,"Bourdons, des",Neuville,Capitale-Nationale,Francophone,TRUE,FALSE,2
741022-741035,École primaire de l'Académie-Sportive,"Sports, des",Trois-Rivières,Mauricie,Francophone,TRUE,FALSE,2
741147-741085,École de Pointe-du-Lac,Notre-Dame,Trois-Rivières,Mauricie,Francophone,FALSE,FALSE,1
742039-742039,École Lac-à-la-Tortue,Pavillon Notre-Dame,Shawinigan,Mauricie,Francophone,TRUE,FALSE,2
742352-742033,Centre d'éducation des adultes du Saint-Maurice,"Sainte-Flore, de",Shawinigan,Mauricie,Francophone,FALSE,FALSE,1
742362-742036,École forestière de La Tuque - Éducation des adultes,Dominique-Savio,Shawinigan,Mauricie,Francophone,FALSE,FALSE,1
