class,sex,age_group,survived,frequency
first,male,adult,0,25
first,male,adult,1,24
first,male,child,0,0
first,male,child,1,0
first,female,adult,0,23
first,female,adult,1,11
first,female,child,0,3
first,female,child,1,1
second,male,adult,0,81
second,male,adult,1,33
second,male,child,0,11
second,male,child,1,0
second,female,adult,0,94
second,female,adult,1,13
second,female,child,0,19
second,female,child,1,2
third,male,adult,0,331
third,male,adult,1,115
third,male,child,0,53
third,male,child,1,1
third,female,adult,0,152
third,female,adult,1,17
third,female,child,0,48
third,female,child,1,0
