source_resource,resource_label,unit_kind,nom,municipalite,region_administrative,has_region
collegial,Établissements collégiaux,Établissement,Conservatoire de musique de Rimouski,Rimouski,Bas-Saint-Laurent,TRUE
collegial,Établissements collégiaux,Établissement,Passport Hélico,Mascouche,Lanaudière,TRUE
collegial,Établissements collégiaux,Établissement,Cégep à distance international,Montréal,Montréal,TRUE
gouvernemental,Établissements gouvernementaux,Établissement,École Pakua Shipu,Saint-Augustin,Côte-Nord,TRUE
prive_etablissement,Établissements privés,Établissement,École Marie Gibeau,Longueuil,NA,FALSE
prive_etablissement,Établissements privés,Établissement,Centre académique de l'Outaouais,Gatineau,NA,FALSE
prive_installation,Installations privées,Installation,Collège Mont-Saint-Louis,Montréal,Montréal,TRUE
prive_installation,Installations privées,Installation,Éducation Plus,Montréal,Montréal,TRUE
prive_installation,Installations privées,Installation,École trilingue Vision Beauce,Sainte-Marie,Chaudière-Appalaches,TRUE
public_ecole,Écoles publiques,Lien école-immeuble,École de l'Aquarelle,Rimouski,Bas-Saint-Laurent,TRUE
public_ecole,Écoles publiques,Lien école-immeuble,Centre de formation professionnelle du Grand-Fjord,Saguenay,Saguenay–Lac-Saint-Jean,TRUE
public_ecole,Écoles publiques,Lien école-immeuble,Centre d'éducation des adultes Saint-Bernard,Blanc-Sablon,Côte-Nord,TRUE
public_ecole,Écoles publiques,Lien école-immeuble,École La Croisée,Rivière-du-Loup,Bas-Saint-Laurent,TRUE
public_ecole,Écoles publiques,Lien école-immeuble,Centre d'éducation des adultes L'Envol--Le Retour,Roberval,Saguenay–Lac-Saint-Jean,TRUE
public_ecole,Écoles publiques,Lien école-immeuble,École polyvalente Jonquière,Saguenay,Saguenay–Lac-Saint-Jean,TRUE
public_ecole,Écoles publiques,Lien école-immeuble,École secondaire Vanier,Québec,Capitale-Nationale,TRUE
public_ecole,Écoles publiques,Lien école-immeuble,École Caps-des-Neiges,Saint-Ferréol-les-Neiges,Capitale-Nationale,TRUE
public_ecole,Écoles publiques,Lien école-immeuble,École alternative Freinet de Trois-Rivières,Trois-Rivières,Mauricie,TRUE
