bloc,region_hydrographique,partie,is_split_unit,unit_kind,zone
00,00,NA,FALSE,Région hydrographique complète,Région hydrographique 00
01,01,NA,FALSE,Région hydrographique complète,Région hydrographique 01
02,02,NA,FALSE,Région hydrographique complète,Région hydrographique 02
03,03,NA,FALSE,Région hydrographique complète,Région hydrographique 03
04,04,NA,FALSE,Région hydrographique complète,Région hydrographique 04
05,05,NA,FALSE,Région hydrographique complète,Région hydrographique 05
06,06,NA,FALSE,Région hydrographique complète,Région hydrographique 06
07_1,07,1,TRUE,Partie de région hydrographique,Région hydrographique 07 - Partie 1
07_2,07,2,TRUE,Partie de région hydrographique,Région hydrographique 07 - Partie 2
08,08,NA,FALSE,Région hydrographique complète,Région hydrographique 08
09_1,09,1,TRUE,Partie de région hydrographique,Région hydrographique 09 - Partie 1
09_2,09,2,TRUE,Partie de région hydrographique,Région hydrographique 09 - Partie 2
09_3,09,3,TRUE,Partie de région hydrographique,Région hydrographique 09 - Partie 3
10_1,10,1,TRUE,Partie de région hydrographique,Région hydrographique 10 - Partie 1
10_2,10,2,TRUE,Partie de région hydrographique,Région hydrographique 10 - Partie 2
14,14,NA,FALSE,Région hydrographique complète,Région hydrographique 14
