creation_date_time,incident_type,description_groupe,caserne,nom_ville,nom_arrond,division,nombre_unites
2025-01-01T00:02:31Z,Appel de Cie de détection,Alarmes-incendies,64,Montréal,Lachine,2,3
2025-01-06T10:47:50Z,Appel de Cie de détection,Alarmes-incendies,46,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,2,3
2025-01-11T12:26:14Z,Ac.véh./1R/s.v./ext/29B/D,1-REPOND,17,Montréal,Montréal-Nord,4,2
2025-01-16T14:15:22Z,Premier répondant,1-REPOND,44,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2025-01-21T16:43:43Z,Premier répondant,1-REPOND,64,Montréal,Lachine,2,1
2025-01-26T12:45:39Z,Premier répondant,1-REPOND,38,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2025-01-30T19:12:23Z,Premier répondant,1-REPOND,17,Montréal,Montréal-Nord,4,1
2025-02-04T04:32:53Z,Premier répondant,1-REPOND,73,Montréal,Saint-Laurent,3,1
2025-02-08T11:17:43Z,Ac.véh./1R/s.v./V.R./29B/D,1-REPOND,4,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,2
2025-02-13T05:26:28Z,10-22 sans feu,SANS FEU,34,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,4
2025-02-17T14:49:20Z,Appel de Cie de détection,Alarmes-incendies,50,Montréal,Rosemont-La Petite-Patrie,5,5
2025-02-21T20:05:42Z,Premier répondant,1-REPOND,30,Montréal,Le Plateau-Mont-Royal,6,1
2025-02-26T14:37:31Z,Premier répondant,1-REPOND,63,Montréal,Lachine,2,1
2025-03-03T12:17:56Z,Inondation,SANS FEU,34,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2025-03-08T14:58:41Z,Premier répondant,1-REPOND,5,Montréal,Ville-Marie,6,1
2025-03-14T11:14:03Z,Feu de cuisinière,INCENDIE,20,Montréal,Ville-Marie,6,6
2025-03-20T02:17:59Z,Aliments surchauffés,SANS FEU,4,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,6
2025-03-25T18:44:44Z,Ac.véh./1R/s.v./ext/29B/D,1-REPOND,49,Montréal,Ahuntsic-Cartierville,3,2
2025-03-31T14:01:23Z,Premier répondant,1-REPOND,18,Montréal,Montréal-Nord,4,1
2025-04-05T23:12:33Z,Premier répondant,1-REPOND,5,Montréal,Ville-Marie,6,1
2025-04-11T12:48:23Z,Premier répondant,1-REPOND,55,Pointe-Claire,Indéterminé,1,1
2025-04-17T02:39:39Z,Feu de bâtiment,INCENDIE,21,Montréal,Saint-Léonard,4,28
2025-04-22T15:55:14Z,Premier répondant,1-REPOND,50,Montréal,Rosemont-La Petite-Patrie,4,1
2025-04-27T19:13:57Z,Premier répondant,1-REPOND,55,Pointe-Claire,Indéterminé,1,1
2025-05-02T05:15:17Z,Premier répondant,1-REPOND,65,Montréal,LaSalle,2,1
2025-05-07T07:46:11Z,Appel de Cie de détection,Alarmes-incendies,19,Montréal,Ville-Marie,6,3
2025-05-12T12:22:05Z,Aliments surchauffés,SANS FEU,42,Montréal,Ahuntsic-Cartierville,3,3
2025-05-16T17:20:56Z,Premier répondant,1-REPOND,28,Montréal,Anjou,4,1
2025-05-21T18:51:34Z,Premier répondant,1-REPOND,13,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-05-27T06:50:42Z,Premier répondant,1-REPOND,27,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
