source_dataset,station_label,date,annee,mois_num,mois,jour,saison,max_temp,mean_temp
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1970-01-01,1970,1,January,1,Hiver,-12.8,-16.1
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1970-06-19,1970,6,June,19,Été,24.4,18.3
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1970-12-05,1970,12,December,5,Hiver,-6.1,-8.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1971-05-23,1971,5,May,23,Printemps,13.9,8.4
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1971-11-08,1971,11,November,8,Automne,-1.7,-5.3
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1972-04-25,1972,4,April,25,Printemps,5,0
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1972-10-11,1972,10,October,11,Automne,13.3,6.7
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1973-03-29,1973,3,March,29,Printemps,8.9,3.1
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1973-09-14,1973,9,September,14,Automne,16.1,11.1
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1974-03-02,1974,3,March,2,Printemps,-7.2,-10
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1974-08-18,1974,8,August,18,Été,23.9,19.5
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1975-02-03,1975,2,February,3,Hiver,-16.1,-20.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1975-07-22,1975,7,July,22,Été,26.1,19.5
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1976-01-07,1976,1,January,7,Hiver,-2.2,-7.5
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1976-06-24,1976,6,June,24,Été,29.4,23.9
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1976-12-10,1976,12,December,10,Hiver,-12.2,-20.6
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1977-05-28,1977,5,May,28,Printemps,11,7.5
UlavalSSD::MeteoQuebec,Québec/Jean-Lesage,1977-11-13,1977,11,November,13,Automne,2.9,0.7
