id_msp,date_obs,annee_obs,type_obs,type_observation
1,2017-04-30,2017,MAX,Niveau maximal atteint
14,2017-05-08,2017,MAX,Niveau maximal atteint
26,2017-05-08,2017,MAX,Niveau maximal atteint
39,2017-05-08,2017,MAX,Niveau maximal atteint
51,2017-05-08,2017,MAX,Niveau maximal atteint
64,2017-05-08,2017,MAX,Niveau maximal atteint
77,2017-05-08,2017,MAX,Niveau maximal atteint
89,2017-05-08,2017,MAX,Niveau maximal atteint
102,2017-05-08,2017,MAX,Niveau maximal atteint
114,2017-05-08,2017,ACT,Niveau observé lors de la visite
127,2017-05-08,2017,MAX,Niveau maximal atteint
981,2017-05-08,2017,MAX,Niveau maximal atteint
145,2017-05-09,2017,MAX,Niveau maximal atteint
158,2017-05-09,2017,ACT,Niveau observé lors de la visite
170,2017-05-09,2017,MAX,Niveau maximal atteint
183,2017-05-09,2017,MAX,Niveau maximal atteint
196,2017-05-09,2017,MAX,Niveau maximal atteint
208,2017-05-09,2017,MAX,Niveau maximal atteint
221,2017-05-09,2017,MAX,Niveau maximal atteint
233,2017-05-09,2017,MAX,Niveau maximal atteint
246,2017-05-09,2017,MAX,Niveau maximal atteint
259,2017-05-09,2017,MAX,Niveau maximal atteint
271,2017-05-09,2017,MAX,Niveau maximal atteint
284,2017-05-09,2017,ACT,Niveau observé lors de la visite
296,2017-05-10,2017,MAX,Niveau maximal atteint
309,2017-05-10,2017,MAX,Niveau maximal atteint
314,2017-05-11,2017,MAX,Niveau maximal atteint
316,2017-05-12,2017,MAX,Niveau maximal atteint
325,2017-05-15,2017,MAX,Niveau maximal atteint
332,2018-02-27,2018,MAX,Niveau maximal atteint
345,2018-05-10,2018,ACT,Niveau observé lors de la visite
357,2018-05-10,2018,ACT,Niveau observé lors de la visite
370,2018-05-12,2018,MAX,Niveau maximal atteint
402,2018-05-16,2018,MAX,Niveau maximal atteint
396,2018-05-17,2018,MAX,Niveau maximal atteint
383,2018-05-18,2018,MAX,Niveau maximal atteint
395,2018-05-18,2018,MAX,Niveau maximal atteint
433,2018-05-20,2018,MAX,Niveau maximal atteint
438,2019-04-21,2019,MAX,Niveau maximal atteint
450,2019-04-23,2019,ACT,Niveau observé lors de la visite
463,2019-04-23,2019,MAX,Niveau maximal atteint
475,2019-04-23,2019,MAX,Niveau maximal atteint
488,2019-04-23,2019,MAX,Niveau maximal atteint
942,2019-04-23,2019,MAX,Niveau maximal atteint
954,2019-04-23,2019,MAX,Niveau maximal atteint
501,2019-04-24,2019,ACT,Niveau observé lors de la visite
513,2019-04-25,2019,MAX,Niveau maximal atteint
526,2019-04-26,2019,MAX,Niveau maximal atteint
539,2019-04-29,2019,MAX,Niveau maximal atteint
551,2019-04-29,2019,MAX,Niveau maximal atteint
564,2019-04-29,2019,MAX,Niveau maximal atteint
576,2019-04-29,2019,MAX,Niveau maximal atteint
589,2019-04-29,2019,ACT,Niveau observé lors de la visite
602,2019-04-29,2019,MAX,Niveau maximal atteint
614,2019-04-29,2019,ACT,Niveau observé lors de la visite
627,2019-04-29,2019,MAX,Niveau maximal atteint
639,2019-04-30,2019,MAX,Niveau maximal atteint
652,2019-04-30,2019,MAX,Niveau maximal atteint
665,2019-04-30,2019,MAX,Niveau maximal atteint
677,2019-04-30,2019,ACT,Niveau observé lors de la visite
690,2019-04-30,2019,ACT,Niveau observé lors de la visite
702,2019-04-30,2019,MAX,Niveau maximal atteint
715,2019-04-30,2019,MAX,Niveau maximal atteint
728,2019-04-30,2019,MAX,Niveau maximal atteint
734,2019-05-01,2019,MAX,Niveau maximal atteint
747,2019-05-01,2019,MAX,Niveau maximal atteint
759,2019-05-01,2019,MAX,Niveau maximal atteint
769,2019-05-02,2019,ACT,Niveau observé lors de la visite
965,2019-05-02,2019,MAX,Niveau maximal atteint
788,2019-05-03,2019,ACT,Niveau observé lors de la visite
799,2019-05-13,2019,ACT,Niveau observé lors de la visite
811,2019-05-13,2019,ACT,Niveau observé lors de la visite
824,2019-05-16,2019,MAX,Niveau maximal atteint
837,2019-05-16,2019,ACT,Niveau observé lors de la visite
849,2019-05-16,2019,MAX,Niveau maximal atteint
861,2019-11-04,2019,MAX,Niveau maximal atteint
873,2020-04-04,2020,MAX,Niveau maximal atteint
969,2020-04-16,2020,MAX,Niveau maximal atteint
887,2020-08-06,2020,MAX,Niveau maximal atteint
997,2020-12-03,2020,ACT,Niveau observé lors de la visite
1009,2020-12-04,2020,MAX,Niveau maximal atteint
1021,2020-12-04,2020,MAX,Niveau maximal atteint
1029,2020-12-30,2020,MAX,Niveau maximal atteint
1047,2021-03-28,2021,ACT,Niveau observé lors de la visite
1055,2023-04-19,2023,MAX,Niveau maximal atteint
1069,2023-04-19,2023,MAX,Niveau maximal atteint
1083,2023-04-19,2023,MAX,Niveau maximal atteint
1096,2023-04-19,2023,MAX,Niveau maximal atteint
1108,2023-04-27,2023,ACT,Niveau observé lors de la visite
1123,2023-04-27,2023,ACT,Niveau observé lors de la visite
1137,2023-04-27,2023,MAX,Niveau maximal atteint
1192,2023-05-02,2023,MAX,Niveau maximal atteint
1205,2023-05-02,2023,MAX,Niveau maximal atteint
1157,2023-05-03,2023,MAX,Niveau maximal atteint
1170,2023-05-03,2023,MAX,Niveau maximal atteint
1212,2023-05-03,2023,MAX,Niveau maximal atteint
1189,2023-05-04,2023,MAX,Niveau maximal atteint
1247,2023-05-04,2023,ACT,Niveau observé lors de la visite
1225,2023-05-05,2023,MAX,Niveau maximal atteint
1252,2023-05-05,2023,MAX,Niveau maximal atteint
1265,2023-05-11,2023,MAX,Niveau maximal atteint
1306,2023-10-12,2023,MAX,Niveau maximal atteint
1319,2023-10-12,2023,MAX,Niveau maximal atteint
1341,2023-12-20,2023,MAX,Niveau maximal atteint
1346,2023-12-21,2023,MAX,Niveau maximal atteint
1367,2023-12-21,2023,MAX,Niveau maximal atteint
1340,2023-12-24,2023,MAX,Niveau maximal atteint
1388,2024-04-16,2024,MAX,Niveau maximal atteint
1409,2024-04-16,2024,MAX,Niveau maximal atteint
1399,2024-04-17,2024,MAX,Niveau maximal atteint
1426,2024-04-17,2024,MAX,Niveau maximal atteint
1438,2024-04-17,2024,MAX,Niveau maximal atteint
1451,2024-08-12,2024,MAX,Niveau maximal atteint
1463,2024-08-13,2024,MAX,Niveau maximal atteint
1476,2024-08-29,2024,MAX,Niveau maximal atteint
1482,2025-03-19,2025,MAX,Niveau maximal atteint
1501,2025-03-19,2025,MAX,Niveau maximal atteint
1507,2025-03-20,2025,MAX,Niveau maximal atteint
1526,2025-07-14,2025,MAX,Niveau maximal atteint
1539,2025-07-14,2025,MAX,Niveau maximal atteint
