no_doc,site_id,nombre_sites_document,volume_autorise_l_j,volume_autorise_m3_j,precision_volume,provenance_eau,has_volume,has_precision_volume,source_version
402230367,402230367_3,4,499000000,499000,NA,Surface,TRUE,FALSE,2025-09-15
402443625,402443625_11,15,42248500,42248.5,Volume maximal pour l'ensemble des 15 puits,Surface,TRUE,TRUE,2025-09-15
402069259,402069259_1,1,32700000,32700,NA,Surface,TRUE,FALSE,2025-09-15
402203553,402203553_1,5,21600000,21600,NA,Souterraine,TRUE,FALSE,2025-09-15
402471519,402471519_1,10,12000000,12000,NA,Surface,TRUE,FALSE,2025-09-15
401360625,401360625_2,4,9421920,9421.92,NA,Surface,TRUE,FALSE,2025-09-15
401352045,401352045_1,1,8122000,8122,NA,Surface,TRUE,FALSE,2025-09-15
401853721,401853721_1,1,6546000,6546,NA,Surface,TRUE,FALSE,2025-09-15
401553187,401553187_1,1,5500000,5500,NA,Souterraine,TRUE,FALSE,2025-09-15
402310326,402310326_1,1,4620000,4620,NA,Surface,TRUE,FALSE,2025-09-15
401652223,401652223_1,1,3816000,3816,NA,Souterraine,TRUE,FALSE,2025-09-15
401714854,401714854_1,5,3360000,3360,NA,Surface,TRUE,FALSE,2025-09-15
401586439,401586439_1,1,3000000,3000,NA,Surface,TRUE,FALSE,2025-09-15
401650672,401650672_1,1,2721000,2721,NA,Souterraine,TRUE,FALSE,2025-09-15
401586967,401586967_2,3,2332800,2332.8,Volume cumulatif pour l'ensemble des composantes du document délivré,Souterraine,TRUE,TRUE,2025-09-15
401254102,401254102_1,1,2040000,2040,NA,Surface,TRUE,FALSE,2025-09-15
401655261,401655261_1,3,1816000,1816,NA,Souterraine,TRUE,FALSE,2025-09-15
402346977,402346977_6,7,1713000,1713,NA,Souterraine,TRUE,FALSE,2025-09-15
401284941,401284941_6,6,1500000,1500,NA,Souterraine,TRUE,FALSE,2025-09-15
402007447,402007447_2,12,1363000,1363,NA,Souterraine,TRUE,FALSE,2025-09-15
401171028,401171028_1,1,1295000,1295,NA,Souterraine,TRUE,FALSE,2025-09-15
402007447,402007447_10,12,1145000,1145,NA,Souterraine,TRUE,FALSE,2025-09-15
402362584,402362584_2,2,1089600,1089.6,NA,Souterraine,TRUE,FALSE,2025-09-15
402355592,402355592_15,25,1000000,1000,NA,Souterraine,TRUE,FALSE,2025-09-15
401593246,401593246_5,8,936000,936,NA,Souterraine,TRUE,FALSE,2025-09-15
401278830,401278830_2,2,825000,825,Volume cumulatif pour l'ensemble des composantes du document délivré,Souterraine,TRUE,TRUE,2025-09-15
401980834,401980834_2,4,800000,800,NA,Surface,TRUE,FALSE,2025-09-15
402251691,402251691_1,1,720000,720,NA,Souterraine,TRUE,FALSE,2025-09-15
401327717,401327717_1,1,660000,660,NA,Souterraine,TRUE,FALSE,2025-09-15
402389095,402389095_3,7,626400,626.4,NA,Souterraine,TRUE,FALSE,2025-09-15
401667390,401667390_1,1,576000,576,NA,Souterraine,TRUE,FALSE,2025-09-15
402402452,402402452_2,8,545000,545,NA,Souterraine,TRUE,FALSE,2025-09-15
401593246,401593246_8,8,513000,513,NA,Souterraine,TRUE,FALSE,2025-09-15
401295067,401295067_1,1,490000,490,NA,Souterraine,TRUE,FALSE,2025-09-15
401323078,401323078_2,2,463000,463,Volume cumulatif pour l'ensemble des composantes du document délivré,Souterraine,TRUE,TRUE,2025-09-15
401208837,401208837_2,2,436000,436,NA,Souterraine,TRUE,FALSE,2025-09-15
402394659,402394659_1,5,417600,417.6,NA,Souterraine,TRUE,FALSE,2025-09-15
402129548,402129548_2,2,403200,403.2,NA,Souterraine,TRUE,FALSE,2025-09-15
401349568,401349568_6,6,379000,379,Volume cumulatif pour l'ensemble des composantes du document délivré,Surface,TRUE,TRUE,2025-09-15
401913483,401913483_2,9,360000,360,NA,Souterraine,TRUE,FALSE,2025-09-15
402001569,402001569_1,2,331200,331.2,NA,Souterraine,TRUE,FALSE,2025-09-15
401773519,401773519_1,1,325000,325,NA,Souterraine,TRUE,FALSE,2025-09-15
402471519,402471519_8,10,300000,300,NA,Souterraine,TRUE,FALSE,2025-09-15
401164158,401164158_2,2,273600,273.6,NA,Souterraine,TRUE,FALSE,2025-09-15
401913483,401913483_4,9,262000,262,NA,Souterraine,TRUE,FALSE,2025-09-15
402014362,402014362_1,6,238000,238,NA,Surface,TRUE,FALSE,2025-09-15
401848041,401848041_2,2,219000,219,NA,Souterraine,TRUE,FALSE,2025-09-15
402334690,402334690_13,14,217750,217.75,NA,Surface,TRUE,FALSE,2025-09-15
401848041,401848041_1,2,205000,205,NA,Souterraine,TRUE,FALSE,2025-09-15
401823959,401823959_4,4,198000,198,NA,Surface,TRUE,FALSE,2025-09-15
401390525,401390525_1,1,186678.2,186.6782,NA,Surface,TRUE,FALSE,2025-09-15
402124969,402124969_2,2,170000,170,NA,Souterraine,TRUE,FALSE,2025-09-15
402334690,402334690_1,14,163500,163.5,NA,Souterraine,TRUE,FALSE,2025-09-15
401986980,401986980_4,5,158400,158.4,NA,Souterraine,TRUE,FALSE,2025-09-15
402054754,402054754_5,6,150000,150,NA,Souterraine,TRUE,FALSE,2025-09-15
401236220,401236220_1,1,140000,140,NA,Surface,TRUE,FALSE,2025-09-15
402065554,402065554_4,4,130000,130,NA,Souterraine,TRUE,FALSE,2025-09-15
401858502,401858502_1,1,124316,124.316,NA,Souterraine,TRUE,FALSE,2025-09-15
402278053,402278053_3,3,116640,116.64,NA,Souterraine,TRUE,FALSE,2025-09-15
401934839,401934839_1,1,109000,109,NA,Souterraine,TRUE,FALSE,2025-09-15
402067536,402067536_1,4,100800,100.8,NA,Souterraine,TRUE,FALSE,2025-09-15
