year,geography,gender,age_group,population,population_plot,proportion,proportion_plot
2025,Canada,Men+,0 to 4 years,959179,-959179,0.02302859384716376,-0.02302859384716376
2025,Canada,Men+,5 to 9 years,1095748,-1095748,0.026307431304106947,-0.026307431304106947
2025,Canada,Men+,10 to 14 years,1156401,-1156401,0.027763628012554508,-0.027763628012554508
2025,Canada,Men+,15 to 19 years,1195736,-1195736,0.028708008299214438,-0.028708008299214438
2025,Canada,Men+,20 to 24 years,1419266,-1419266,0.03407466205482889,-0.03407466205482889
2025,Canada,Men+,25 to 29 years,1556583,-1556583,0.03737145798271199,-0.03737145798271199
2025,Canada,Men+,30 to 34 years,1634132,-1634132,0.03923330485827297,-0.03923330485827297
2025,Canada,Men+,35 to 39 years,1545244,-1545244,0.03709922388914553,-0.03709922388914553
2025,Canada,Men+,40 to 44 years,1444713,-1444713,0.034685610196550906,-0.034685610196550906
2025,Canada,Men+,45 to 49 years,1297200,-1297200,0.03114402206318198,-0.03114402206318198
2025,Canada,Men+,50 to 54 years,1211765,-1211765,0.029092842965920223,-0.029092842965920223
2025,Canada,Men+,55 to 59 years,1203214,-1203214,0.028887544991311628,-0.028887544991311628
2025,Canada,Men+,60 to 64 years,1334699,-1334699,0.03204432246662575,-0.03204432246662575
2025,Canada,Men+,65 to 69 years,1211801,-1211801,0.029093707277355836,-0.029093707277355836
2025,Canada,Men+,70 to 74 years,973885,-973885,0.023381665068610842,-0.023381665068610842
2025,Canada,Men+,75 to 79 years,753952,-753952,0.01810137043060452,-0.01810137043060452
2025,Canada,Men+,80 to 84 years,455953,-455953,0.010946816444475805,-0.010946816444475805
2025,Canada,Men+,85 to 89 years,238879,-238879,0.005735162539647586,-0.005735162539647586
2025,Canada,Men+,90 to 94 years,97205,-97205,0.002333760919404567,-0.002333760919404567
2025,Canada,Men+,95 to 99 years,22549,-22549,5.413710711553273e-4,-5.413710711553273e-4
2025,Canada,Men+,100 years and older,2205,-2205,5.2939075431171965e-5,-5.2939075431171965e-5
2025,Canada,Women+,0 to 4 years,912005,912005,0.02189600974539954,0.02189600974539954
2025,Canada,Women+,5 to 9 years,1042602,1042602,0.025031467538635263,0.025031467538635263
2025,Canada,Women+,10 to 14 years,1095227,1095227,0.026294922796941577,0.026294922796941577
2025,Canada,Women+,15 to 19 years,1123657,1123657,0.026977488744564352,0.026977488744564352
2025,Canada,Women+,20 to 24 years,1284514,1284514,0.030839448316733072,0.030839448316733072
2025,Canada,Women+,25 to 29 years,1439064,1439064,0.034549985327112946,0.034549985327112946
2025,Canada,Women+,30 to 34 years,1541592,1541592,0.037011544295732994,0.037011544295732994
2025,Canada,Women+,35 to 39 years,1487279,1487279,0.035707562434556916,0.035707562434556916
2025,Canada,Women+,40 to 44 years,1414918,1414918,0.03397027244032788,0.03397027244032788
2025,Canada,Women+,45 to 49 years,1296161,1296161,0.03111907707480421,0.03111907707480421
2025,Canada,Women+,50 to 54 years,1235546,1235546,0.029663792695094237,0.029663792695094237
2025,Canada,Women+,55 to 59 years,1243232,1243232,0.02984832318659718,0.02984832318659718
2025,Canada,Women+,60 to 64 years,1373509,1373509,0.03297609821151636,0.03297609821151636
2025,Canada,Women+,65 to 69 years,1282485,1282485,0.030790734763875997,0.030790734763875997
2025,Canada,Women+,70 to 74 years,1070648,1070648,0.025704814164278188,0.025704814164278188
2025,Canada,Women+,75 to 79 years,855590,855590,0.020541561699844182,0.020541561699844182
2025,Canada,Women+,80 to 84 years,552320,552320,0.013260458114351429,0.013260458114351429
2025,Canada,Women+,85 to 89 years,340918,340918,0.008184981277933915,0.008184981277933915
2025,Canada,Women+,90 to 94 years,178472,178472,0.004284871959343366,0.004284871959343366
2025,Canada,Women+,95 to 99 years,61529,61529,0.001477228286714095,0.001477228286714095
2025,Canada,Women+,100 years and older,10076,10076,2.4191116736711505e-4,2.4191116736711505e-4
2025,Quebec,Men+,0 to 4 years,211146,-211146,0.023309679512605957,-0.023309679512605957
2025,Quebec,Men+,5 to 9 years,240493,-240493,0.026549471716372293,-0.026549471716372293
2025,Quebec,Men+,10 to 14 years,254353,-254353,0.02807956065030767,-0.02807956065030767
2025,Quebec,Men+,15 to 19 years,251519,-251519,0.027766698309847865,-0.027766698309847865
2025,Quebec,Men+,20 to 24 years,264258,-264258,0.02917303329753926,-0.02917303329753926
2025,Quebec,Men+,25 to 29 years,294128,-294128,0.032470562623415855,-0.032470562623415855
2025,Quebec,Men+,30 to 34 years,330418,-330418,0.03647683444250062,-0.03647683444250062
2025,Quebec,Men+,35 to 39 years,313749,-313749,0.03463664306877993,-0.03463664306877993
2025,Quebec,Men+,40 to 44 years,315921,-315921,0.034876423239379326,-0.034876423239379326
2025,Quebec,Men+,45 to 49 years,305943,-305943,0.033774891682178225,-0.033774891682178225
2025,Quebec,Men+,50 to 54 years,269743,-269743,0.029778555505521623,-0.029778555505521623
2025,Quebec,Men+,55 to 59 years,272085,-272085,0.030037103000707527,-0.030037103000707527
2025,Quebec,Men+,60 to 64 years,312823,-312823,0.03453441634779694,-0.03453441634779694
2025,Quebec,Men+,65 to 69 years,293723,-293723,0.03242585223248918,-0.03242585223248918
2025,Quebec,Men+,70 to 74 years,238334,-238334,0.02631112669412363,-0.02631112669412363
2025,Quebec,Men+,75 to 79 years,185179,-185179,0.02044302588003021,-0.02044302588003021
2025,Quebec,Men+,80 to 84 years,115854,-115854,0.01278982130967885,-0.01278982130967885
2025,Quebec,Men+,85 to 89 years,56458,-56458,0.006232738891206592,-0.006232738891206592
2025,Quebec,Men+,90 to 94 years,22020,-22020,0.0024309205140878028,-0.0024309205140878028
2025,Quebec,Men+,95 to 99 years,5079,-5079,5.607014210286989e-4,-5.607014210286989e-4
2025,Quebec,Men+,100 years and older,438,-438,4.8353459817005336e-5,-4.8353459817005336e-5
2025,Quebec,Women+,0 to 4 years,200779,200779,0.02216520390090985,0.02216520390090985
2025,Quebec,Women+,5 to 9 years,226916,226916,0.025050624858072107,0.025050624858072107
2025,Quebec,Women+,10 to 14 years,242630,242630,0.02678538802602741,0.02678538802602741
2025,Quebec,Women+,15 to 19 years,240686,240686,0.02657077814957933,0.02657077814957933
2025,Quebec,Women+,20 to 24 years,245714,245714,0.027125849373232078,0.027125849373232078
2025,Quebec,Women+,25 to 29 years,269540,269540,0.02975614511204479,0.02975614511204479
2025,Quebec,Women+,30 to 34 years,304690,304690,0.03363656546037296,0.03363656546037296
2025,Quebec,Women+,35 to 39 years,295143,295143,0.032582614590800016,0.032582614590800016
2025,Quebec,Women+,40 to 44 years,300148,300148,0.03313514670583223,0.03313514670583223
2025,Quebec,Women+,45 to 49 years,293286,293286,0.03237760916869915,0.03237760916869915
2025,Quebec,Women+,50 to 54 years,260700,260700,0.028780244233546328,0.028780244233546328
2025,Quebec,Women+,55 to 59 years,266312,266312,0.02939978673695508,0.02939978673695508
2025,Quebec,Women+,60 to 64 years,310722,310722,0.034302474295113086,0.034302474295113086
2025,Quebec,Women+,65 to 69 years,303814,303814,0.03353985854073895,0.03353985854073895
