date,station_id,station_name,contaminant,n_heures_valides,moyenne,mediane,p95,maximum,source_year
2025-01-01,10200,Radisson,PM2.5-T640,24,0.215,0.172,0.43,0.514,2025
2025-01-04,10200,Radisson,PM2.5-T640,24,5.175,4.628,12.77,13.629,2025
2025-01-07,10200,Radisson,PM2.5-T640,24,2.535,2.372,4.014,6.435,2025
2025-01-10,10200,Radisson,PM2.5-T640,24,0.649,0.675,0.811,0.885,2025
2025-01-13,10200,Radisson,PM2.5-T640,24,2.221,2.339,4.198,4.532,2025
2025-01-16,10200,Radisson,PM2.5-T640,24,0.959,0.87,1.731,1.952,2025
2025-01-19,10200,Radisson,PM2.5-T640,24,3.916,3.791,5.38,5.52,2025
2025-01-22,10200,Radisson,PM2.5-T640,24,1.4,1.341,1.852,1.878,2025
2025-01-25,10200,Radisson,PM2.5-T640,24,1.127,0.768,3.781,5.708,2025
2025-01-29,10200,Radisson,PM2.5-T640,24,2.916,2.786,3.643,3.736,2025
2025-02-01,10200,Radisson,PM2.5-T640,24,1.777,1.576,3.208,3.308,2025
2025-02-04,10200,Radisson,PM2.5-T640,24,4.476,4.165,7.489,8.243,2025
2025-02-07,10200,Radisson,PM2.5-T640,24,5.094,4.541,11.205,11.316,2025
2025-02-10,10200,Radisson,PM2.5-T640,24,4.897,4.877,5.854,6.317,2025
2025-02-13,10200,Radisson,PM2.5-T640,24,3.291,3.024,4.03,4.18,2025
2025-02-16,10200,Radisson,PM2.5-T640,24,2.695,2.725,3.046,3.268,2025
2025-02-19,10200,Radisson,PM2.5-T640,24,1.68,1.664,2.288,2.385,2025
2025-02-22,10200,Radisson,PM2.5-T640,24,1.558,0.885,3.538,3.88,2025
2025-02-25,10200,Radisson,PM2.5-T640,24,4.15,3.307,6.082,6.165,2025
2025-02-28,10200,Radisson,PM2.5-T640,24,3.483,3.498,3.785,3.807,2025
2025-03-03,10200,Radisson,PM2.5-T640,24,1.896,1.879,2.386,2.617,2025
2025-03-06,10200,Radisson,PM2.5-T640,24,1.007,0.82,2.159,2.216,2025
2025-03-09,10200,Radisson,PM2.5-T640,24,0.714,0.712,0.904,0.914,2025
2025-03-12,10200,Radisson,PM2.5-T640,24,0.914,0.932,1.113,1.118,2025
2025-03-15,10200,Radisson,PM2.5-T640,24,2.344,1.605,5.576,6.798,2025
2025-03-18,10200,Radisson,PM2.5-T640,24,1.216,1.169,1.464,1.522,2025
2025-03-22,10200,Radisson,PM2.5-T640,24,3.393,3.196,4.31,4.447,2025
2025-03-25,10200,Radisson,PM2.5-T640,24,2.568,2.528,3.65,3.784,2025
2025-03-28,10200,Radisson,PM2.5-T640,24,2.961,2.845,3.381,3.428,2025
2025-03-31,10200,Radisson,PM2.5-T640,24,2.242,2.216,2.527,2.631,2025
2025-04-03,10200,Radisson,PM2.5-T640,24,2.046,2.007,2.479,2.53,2025
2025-04-06,10200,Radisson,PM2.5-T640,24,2.064,1.922,2.862,3.216,2025
2025-04-09,10200,Radisson,PM2.5-T640,24,2.074,1.95,2.831,2.891,2025
2025-04-12,10200,Radisson,PM2.5-T640,24,2.653,2.753,2.872,2.982,2025
2025-04-15,10200,Radisson,PM2.5-T640,24,2.989,2.807,4.178,4.231,2025
2025-04-18,10200,Radisson,PM2.5-T640,24,1.407,1.408,2.203,2.212,2025
2025-04-21,10200,Radisson,PM2.5-T640,24,1.253,1.227,1.515,1.582,2025
2025-04-24,10200,Radisson,PM2.5-T640,24,1.122,1.103,1.277,1.285,2025
2025-04-27,10200,Radisson,PM2.5-T640,24,2.359,2.278,2.717,2.861,2025
2025-04-30,10200,Radisson,PM2.5-T640,24,1.601,1.677,2.022,2.101,2025
2025-05-03,10200,Radisson,PM2.5-T640,24,2.364,2.607,2.759,2.92,2025
2025-05-06,10200,Radisson,PM2.5-T640,24,2.306,2.628,2.735,2.845,2025
2025-05-09,10200,Radisson,PM2.5-T640,24,2.481,2.467,2.987,3.07,2025
2025-05-13,10200,Radisson,PM2.5-T640,24,2.797,2.552,5.57,5.641,2025
2025-05-16,10200,Radisson,PM2.5-T640,24,2.036,1.655,3.551,3.687,2025
2025-05-19,10200,Radisson,PM2.5-T640,24,1.648,1.504,2.46,2.644,2025
2025-05-22,10200,Radisson,PM2.5-T640,24,2.146,2.164,2.54,2.615,2025
2025-05-25,10200,Radisson,PM2.5-T640,24,1.737,1.672,2.492,2.53,2025
2025-05-28,10200,Radisson,PM2.5-T640,24,3.806,3.81,4.289,4.306,2025
2025-05-31,10200,Radisson,PM2.5-T640,24,1.418,1.349,2.097,2.204,2025
2025-06-03,10200,Radisson,PM2.5-T640,24,12.369,5.304,38.175,42.297,2025
2025-06-06,10200,Radisson,PM2.5-T640,24,2.338,1.946,4.353,4.659,2025
2025-06-09,10200,Radisson,PM2.5-T640,24,25.056,18.673,49.502,52.347,2025
2025-06-12,10200,Radisson,PM2.5-T640,24,1.795,1.7,2.826,3.086,2025
