annee,identifiant_accident,mois_code,mois,plage_horaire,jour_semaine_code,type_jour,gravite,accident_avec_victime,accident_mortel_ou_grave
2022,2022 _ 1,03,Mars,16:00:00-19:59:00,SEM,Lundi au vendredi,Dommages matériels seulement,FALSE,FALSE
2022,2022 _ 100815,04,Avril,12:00:00-15:59:00,SEM,Lundi au vendredi,Dommages matériels seulement,FALSE,FALSE
2022,2022 _ 101633,09,Septembre,04:00:00-07:59:00,SEM,Lundi au vendredi,Dommages matériels seulement,FALSE,FALSE
2022,2022 _ 102451,02,Février,16:00:00-19:59:00,SEM,Lundi au vendredi,Dommages matériels seulement,FALSE,FALSE
2022,2022 _ 10327,07,Juillet,04:00:00-07:59:00,FDS,Samedi ou dimanche,Dommages matériels seulement,FALSE,FALSE
2022,2022 _ 104089,09,Septembre,08:00:00-11:59:00,FDS,Samedi ou dimanche,Dommages matériels inférieurs au seuil de rapportage,FALSE,FALSE
2022,2022 _ 104907,11,Novembre,16:00:00-19:59:00,SEM,Lundi au vendredi,Dommages matériels inférieurs au seuil de rapportage,FALSE,FALSE
2022,2022 _ 105725,02,Février,12:00:00-15:59:00,SEM,Lundi au vendredi,Dommages matériels seulement,FALSE,FALSE
2022,2022 _ 106543,08,Août,08:00:00-11:59:00,SEM,Lundi au vendredi,Dommages matériels seulement,FALSE,FALSE
2022,2022 _ 107361,07,Juillet,12:00:00-15:59:00,SEM,Lundi au vendredi,Dommages matériels inférieurs au seuil de rapportage,FALSE,FALSE
2022,2022 _ 10818,05,Mai,20:00:00-23:59:00,FDS,Samedi ou dimanche,Léger,TRUE,FALSE
2022,2022 _ 1163,02,Février,04:00:00-07:59:00,SEM,Lundi au vendredi,Mortel ou grave,TRUE,TRUE
2022,2022 _ 12448,05,Mai,12:00:00-15:59:00,FDS,Samedi ou dimanche,Dommages matériels inférieurs au seuil de rapportage,FALSE,FALSE
2022,2022 _ 13267,09,Septembre,08:00:00-11:59:00,SEM,Lundi au vendredi,Léger,TRUE,FALSE
2022,2022 _ 14085,12,Décembre,12:00:00-15:59:00,FDS,Samedi ou dimanche,Dommages matériels seulement,FALSE,FALSE
2022,2022 _ 14903,01,Janvier,12:00:00-15:59:00,FDS,Samedi ou dimanche,Léger,TRUE,FALSE
