id_unique,nature,activite,type_lieu_intervention,arrondissement,arrondissement_geo,date_creation,annee_creation,mois_creation,provenance_originale
22-35,Requete,Graffitis - Domaine privé,Adresse,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,2022-01-01T12:54:12Z,2022,2022-01-01T00:00:00Z,Téléphone
22-14164,Requete,Collecte des matières recyclables,Troncon,Rosemont - La Petite-Patrie,Rosemont-La Petite-Patrie,2022-01-21T09:18:59Z,2022,2022-01-01T00:00:00Z,Téléphone
22-28849,Requete,Nid-de-poule,Adresse,Saint-Laurent,Saint-Laurent,2022-02-09T02:13:07Z,2022,2022-02-01T00:00:00Z,Internet
22-43526,Commentaire,Opération déneigement,Adresse,Ahuntsic - Cartierville,Ahuntsic-Cartierville,2022-02-24T10:33:04Z,2022,2022-02-01T00:00:00Z,Téléphone
22-57988,Requete,Éclairage - Études,Adresse,Mercier - Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,2022-03-10T13:11:09Z,2022,2022-03-01T00:00:00Z,Téléphone
22-72270,Requete,Puisard/TH-Première intervention,Adresse,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,2022-03-29T15:53:54Z,2022,2022-03-01T00:00:00Z,Téléphone
22-86239,Requete,Éviction,Adresse,Le Sud-Ouest,Le Sud-Ouest,2022-04-13T16:05:44Z,2022,2022-04-01T00:00:00Z,Téléphone
22-101902,Requete,Éclairage existant - Entretien,Adresse,Côte-des-Neiges - Notre-Dame-de-Grâce,Côte-des-Neiges-Notre-Dame-de-Grâce,2022-04-28T21:47:03Z,2022,2022-04-01T00:00:00Z,Mobile
22-116089,Requete,Collecte des matières recyclables,Adresse,Ahuntsic - Cartierville,Ahuntsic-Cartierville,2022-05-10T19:12:51Z,2022,2022-05-01T00:00:00Z,Téléphone
22-130786,Requete,Parc - Propreté,Adresse,Rivière-des-Prairies - Pointe-aux-Trembles,Rivière-des-Prairies-Pointe-aux-Trembles,2022-05-24T11:00:10Z,2022,2022-05-01T00:00:00Z,Mobile
22-144979,Requete,Essouchement,Adresse,Mercier - Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,2022-06-03T10:10:57Z,2022,2022-06-01T00:00:00Z,Téléphone
22-159559,Commentaire,Info-travaux - Arrondissement,Adresse,Saint-Léonard,Saint-Léonard,2022-06-15T12:18:09Z,2022,2022-06-01T00:00:00Z,Téléphone
22-173922,Requete,Manque d'eau,Adresse,Le Sud-Ouest,Le Sud-Ouest,2022-06-28T10:07:49Z,2022,2022-06-01T00:00:00Z,Téléphone
22-188298,Requete,Marquage de la chaussée - Existant,Intersection,Le Sud-Ouest,Le Sud-Ouest,2022-07-11T10:54:54Z,2022,2022-07-01T00:00:00Z,Téléphone
22-202179,Requete,Y-Eau - Divers,Adresse,Saint-Laurent,Saint-Laurent,2022-07-21T12:14:21Z,2022,2022-07-01T00:00:00Z,Téléphone
22-217209,Requete,Horticulture - Entretien,Adresse,Rosemont - La Petite-Patrie,Rosemont-La Petite-Patrie,2022-08-04T11:44:14Z,2022,2022-08-01T00:00:00Z,Téléphone
22-231447,Requete,Dépôt illégal - Déchets,Adresse,Rosemont - La Petite-Patrie,Rosemont-La Petite-Patrie,2022-08-17T15:43:16Z,2022,2022-08-01T00:00:00Z,Téléphone
22-246049,Requete,*Z-Puisard,Adresse,Pierrefonds - Roxboro,Pierrefonds-Roxboro,2022-08-31T11:08:10Z,2022,2022-08-01T00:00:00Z,Téléphone
22-261078,Requete,Dépôt illégal - Déchets,Adresse,Verdun,Verdun,2022-09-14T22:03:13Z,2022,2022-09-01T00:00:00Z,Mobile
22-276201,Requete,IRP - Fermeture de rue,Troncon,Le Sud-Ouest,Le Sud-Ouest,2022-10-01T08:03:35Z,2022,2022-10-01T00:00:00Z,Téléphone
22-290316,Requete,*Y-Égout - Divers,Adresse,Le Sud-Ouest,Le Sud-Ouest,2022-10-18T09:44:31Z,2022,2022-10-01T00:00:00Z,Téléphone
22-304210,Requete,Nid-de-poule,Adresse,Ville-Marie,Ville-Marie,2022-11-01T12:47:18Z,2022,2022-11-01T00:00:00Z,Internet
22-318001,Requete,Collecte de résidus verts,Adresse,Anjou,Anjou,2022-11-15T13:09:04Z,2022,2022-11-01T00:00:00Z,Téléphone
22-331729,Requete,Débris sur la voie publique,Intersection,Ville-Marie,Ville-Marie,2022-12-03T23:16:07Z,2022,2022-12-01T00:00:00Z,Téléphone
22-345842,Requete,Collecte de déchets,Intersection,Saint-Léonard,Saint-Léonard,2022-12-22T12:27:45Z,2022,2022-12-01T00:00:00Z,Téléphone
23-9859,Requete,IRP - Fermeture de rue,Troncon,Côte-des-Neiges - Notre-Dame-de-Grâce,Côte-des-Neiges-Notre-Dame-de-Grâce,2023-01-16T09:40:18Z,2023,2023-01-01T00:00:00Z,Téléphone
23-25223,Requete,Bac roulant,Adresse,Mercier - Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,2023-01-31T15:38:04Z,2023,2023-01-01T00:00:00Z,Téléphone
23-40520,Requete,Bac roulant,Adresse,Ahuntsic - Cartierville,Ahuntsic-Cartierville,2023-02-16T14:26:20Z,2023,2023-02-01T00:00:00Z,Personne
23-55028,Requete,Éviction,Adresse,Mercier - Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,2023-03-11T13:17:42Z,2023,2023-03-01T00:00:00Z,Téléphone
