no_bqma,hydronyme,description,type_station,type_suivi,annee,n_echant,iqbp_med,ptot_med_mgl,ntot_med_mgl
02340050,Rivière Chaudière,"CHAUDIÈRE AU PONT-ROUTE 132 À SAINT-ROMUALD À 1,3 KM DE L'EMBOUCHURE",RR,6 mois,2000,6,0,0.041,0.95
03020081,Rivière Saint-François,SAINT-FRANÇOIS AU PONT-ROUTE 243 À RICHMOND (CÔTÉ OUEST),RR,8 mois,2002,27,50,0.036,0.545
04310010,Rivière des Outaouais,DES OUTAOUAIS AU PONT-ROUTE 101 À NOTRE-DAME-DU-NORD,RR,12 mois,2002,35,81,0.015,0.4
06290012,Grande Décharge,LA GRANDE DÉCHARGE AU PONT-ROUTE 169 À ALMA,RR,8 mois,2002,27,92,0.01,0.24
03020187,Rivière aux Cerises,AUX CERISES AU PONT DU CHEMIN COUTURE À L'OUEST DE MAGOG,RR,12 mois,2003,33,75,0.013,0.535
04310002,Rivière des Outaouais,DES OUTAOUAIS AU BARRAGE D'HYDRO-QUÉBEC À CARILLON,RR,12 mois,2003,34,84,0.019,0.4
06120001,Rivière Bédard,BÉDARD AU PONT DU RANG SCOTT À ALMA,RR,12 mois,2003,35,21,0.16,1.44
03020082,Rivière Massawippi,MASSAWIPPI AU PONT DE LA RUE MASSAWIPPI À LENNOXVILLE (SHERBROOKE),RR,12 mois,2004,33,70,0.017,0.9
04310010,Rivière des Outaouais,DES OUTAOUAIS AU PONT-ROUTE 101 À NOTRE-DAME-DU-NORD,RR,8 mois,2004,28,80,0.017,0.39
05220249,Cours d'eau Desrochers,"COURS D'EAU DESROCHERS, INTERSECTION RANG DE L'ÉGLISE, 2 KM AU SUD-EST DE SAINT-LIGUORI",AU,Autre,2004,70,13,0.13,3.4
02330029,Ruisseau Saint-Patrice,RUISSEAU SAINT-PATRICE À 1 KM DE SON EMBOUCHURE AVEC LA RIVIÈRE LE BRAS,AU,Autre,2005,46,40,0.05,2.3
03040071,Ruisseau Morpions,"RUISSEAU MORPIONS À GUÉ RIVE GAUCHE, 250 M EN AMONT DU PONT DE LA RUE PRINCIPALE À NOTRE-DAME-DE-STANBRIDGE",RR,Autre,2005,45,35,0.087,1.47
05040113,Rivière Sainte-Anne,BRAS DU NORD DE LA RIVIÈRE SAINTE-ANNE AU PONT-ROUTE 367 À L'OUEST DE SAINT-RAYMOND,RR,12 mois,2005,36,92,0.011,0.21
08010061,Rivière Bourlamaque,BOURLAMAQUE AU PONT-ROUTE 117 EN AVAL DU SITE EAST SULLIVAN MINES; MÉTAUX : RIVE DROITE 10 M EN AMONT,RR,12 mois,2005,34,74,0.015,0.35
03020035,Rivière Saint-François,SAINT-FRANÇOIS AU PONT-ROUTE 143 À SHERBROOKE (BROMPTONVILLE),RR,12 mois,2006,32,63,0.02,0.55
03120001,Rivière La Guerre,"LA GUERRE À 0,6 KM DE L'EMBOUCHURE, RIVE GAUCHE",RR,12 mois,2006,36,0,0.077,1.14
05080105,Rivière Jacques-Cartier,JACQUES-CARTIER AU PONT-ROUTE À L'EMBOUCHURE À DONNACONA,RR,12 mois,2006,36,86,0.014,0.31
02220004,Rivière du Sud-Ouest,DU SUD-OUEST,RR,8 mois,2007,26,70,0.018,0.245
03020081,Rivière Saint-François,SAINT-FRANÇOIS AU PONT-ROUTE 243 À RICHMOND (CÔTÉ OUEST),RR,8 mois,2007,28,55,0.024,0.59
04010050,Rivière du Nord,DU NORD AU PONT DE LA RUE MILLWAY À LACHUTE,AU,Autre,2007,5,24,NA,NA
05100014,Rivière Montmorency,"MONTMORENCY, AU PONT-ROUTE 360 (AVE. ROYALE) À BOISCHATEL; MÉTAUX : RIVE GAUCHE, PLAGE 100 M EN AMONT",RR,8 mois,2007,23,92,0.01,0.17
02250002,Rivière du Loup,DU LOUP AU PONT DE LA ROUTE ENNIS AU SUD-OUEST DE SAINT-JOSEPH-DE-KAMOURASKA,RR,12 mois,2008,35,92,0.009,0.24
03020389,Ruisseau Bradley,"RUISSEAU BRADLEY, PONT-ROUTE CHEMIN DU BRÛLÉ À COMPTON",AU,Autre,2008,68,53,0.04,0.895
04040039,Rivière de la Petite Nation,DE LA PETITE NATION AU PONT DE LA DÉCHARGE DU LAC SIMON,RR,12 mois,2008,34,92,0.005,0.25
05090070,Rivière Nelson,NELSON 5 (SORTIE BASE - HENRI IV),AU,Autre,2008,12,74,0.026,NA
01080001,Rivière Bonaventure,BONAVENTURE AU PONT-ROUTE ROUTE-DE-LA-RIVIÈRE (8 KM EN AMONT DU PONT-ROUTE 132),RR,8 mois,2009,22,96,0.005,0.135
03010007,Rivière Nicolet,NICOLET AU PONT DE LA ROUTE DE WARWICK À SAINT-ALBERT,RR,8 mois,2009,26,46,0.024,1.3
03090009,Rivière Trout,TROUT AU PONT DU CHEMIN DE LA 2e CONCESSION (PONT GAVIN) À L'OUEST D'ELGIN,RR,12 mois,2009,32,88,0.009,0.395
05080004,Rivière Jacques-Cartier,JACQUES-CARTIER AU PONT À TEWKESBURY,RR,8 mois,2009,28,94,0.01,0.16
07120007,Rivière aux Anglais,AUX ANGLAIS AU PONT DU CHEMIN DU MONT TI-BASSE AU NORD DE BAIE-COMEAU,RR,12 mois,2009,33,92,0.008,0.17
02360016,Cours d'eau sans toponyme,AFFLUENT DE LA RIVIÈRE DU CHÊNE,AU,Autre,2010,6,81,0.024,NA
03040075,Ruisseau au Castor,RUISSEAU AU CASTOR AU PONT DU CHEMIN DU MOULIN AU SUD DE PIKE RIVER PRÈS DE L'EMBOUCHURE,RR,8 mois,2010,44,30,0.1,1.4
04330019,Rivière des Prairies,DES PRAIRIES AU PONT-ROUTE 138 (PONT LE GARDEUR),RR,12 mois,2010,36,74,0.018,0.41
05260015,Rivière Maskinongé,MASKINONGÉ AU PONT DU RANG SAINT-AUGUSTIN EN AVAL DU LAC MASKINONGÉ,RR,12 mois,2010,34,85,0.01,0.24
02300003,Rivière Boyer Nord,BOYER NORD AU PONT DU CHEMIN SAINT-FÉLIX À 9 KM EN AMONT DE SAINT-CHARLES-DE-BELLECHASSE,AU,Autre,2011,38,22,0.033,2.8
03030094,Rivière Yamaska,YAMASKA AU PONT-ROUTE 215 À LA SORTIE DU LAC BROME,RR,8 mois,2011,29,52,0.015,0.26
04080254,Rivière Gatineau,"GATINEAU À GUÉ EN AMONT DU PONT SAVOYARD À 3,2 KM EN AVAL DE GRAND-REMOUS, RIVE GAUCHE",RR,8 mois,2011,27,93,0.005,0.23
05220012,Rivière Ouareau,"OUAREAU AU PONT DU CHEMIN GUILBAULT À 1,9 KM DE SON EMBOUCHURE À L'EST DE CRABTREE",RR,12 mois,2011,35,72,0.029,0.36
02150002,Rivière Cap-Chat,CAP-CHAT AU PONT THOMAS AU BOUT DE LA RUE JEAN-BAPTISTE ROY AU SUD DE CAP-CHAT; MÉTAUX 250 M EN AMONT DERRIÈRE LE 17 DE LA RUE ROY,RR,6 mois,2012,5,95,0.001,0.21
03020031,Rivière Saint-François,"SAINT-FRANÇOIS AU PONT-ROUTE 132 À PIERREVILLE; MÉTAUX : RIVE DROITE, À LA RAMPE DE MISE À L'EAU",RR,12 mois,2012,52,69,0.026,0.7
03120001,Rivière La Guerre,"LA GUERRE À 0,6 KM DE L'EMBOUCHURE, RIVE GAUCHE",RR,12 mois,2012,36,0,0.051,0.415
05040116,Rivière Sainte-Anne,SAINTE-ANNE AU PONT DE LA ROUTE DES CASCADES AU NORD DE SAINTE-CHRISTINE,RR,8 mois,2012,27,92,0.011,0.26
05390001,Rivière du Cap Rouge,DU CAP ROUGE AU PONT DU DOMAINE À CAP-ROUGE,RR,8 mois,2012,8,64,0.015,0.975
01300001,Rivière Daaquam,DAAQUAM AU PONT DE LA ROUTE DES MOULINS À SAINT-JUST-DE-BRETENIÈRES,RR,8 mois,2013,15,88,0.012,0.385
03010007,Rivière Nicolet,NICOLET AU PONT DE LA ROUTE DE WARWICK À SAINT-ALBERT,RR,8 mois,2013,24,50,0.023,1.4
