stop_id,stop_code,stop_name,stop_description,wheelchair_boarding,wheelchair_boarding_label,stop_url,access_date
1-1005,1005,Champlain/1005,Rue Champlain / boul. Champlain,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1005,2026-09-05
1-1050,1050,Pente-Douce,de la Pente-Douce / C.-Lavallée,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1050,2026-09-05
1-1115,1115,Petit-Champlain,Boul. Champlain / du P.-Champlain,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1115,2026-09-05
1-1170,1170,St-Vallier/1170,Saint-Vallier Ouest / de l'Armée,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1170,2026-09-05
1-1239,1239,Peupliers/1239,1re Avenue / des Peupliers Ouest,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1239,2026-09-05
1-1307,1307,11e Rue,3e Avenue / 11e Rue,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1307,2026-09-05
1-1359,1359,Ste-Anne/1359,D'Estimauville / Sainte-Anne,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1359,2026-09-05
1-1414,1414,2e Avenue,46e Rue Est / 2e Avenue Est,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1414,2026-09-05
1-1507,1507,Peupliers/1507,4e Avenue / des Peupliers Est,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1507,2026-09-05
1-1579,1579,des Érables,R.-Lévesque Ouest / des Érables,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1579,2026-09-05
1-1654,1654,L.-Harmel/1654,L.-Harmel / au 2260,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1654,2026-09-05
1-1713,1713,W.-Hamel,Mgr-Plessis / W.-Hamel,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1713,2026-09-05
1-1782,1782,des Gouverneurs,Laurier / R.-Lévesque Ouest,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1782,2026-09-05
1-1832,1832,des Gouverneurs,Laurier / R.-Lévesque Ouest,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1832,2026-09-05
1-1886,1886,66e Rue,I.-Bédard / 67e Rue Est,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1886,2026-09-05
1-1930,1930,S.-D'Argenteuil,Saint-Louis / du Sieur-D'Argenteuil,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1930,2026-09-05
1-1977,1977,G.-Lalemant,des Étudiants / G.-Lalemant,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1977,2026-09-05
1-2019,2019,du Foulon,Boul. Champlain / du Foulon,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2019,2026-09-05
1-2104,2104,de Cap-Rouge,Provancher / de Cap-Rouge,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2104,2026-09-05
1-2151,2151,8e Avenue,des Saules Est / 8e Avenue,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2151,2026-09-05
1-2200,2200,du Foulon/2200,du Foulon / à Gignac,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2200,2026-09-05
1-2258,2258,M.-Incarnation,Charest Ouest / M.-de-l'Incarnation,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2258,2026-09-05
1-2306,2306,Ranvoyzé,Liégeois / Ranvoyzé,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2306,2026-09-05
1-2349,2349,3e Avenue/2349,76e Rue Ouest / 3e Avenue Ouest,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2349,2026-09-05
1-2386,2386,Francoeur/2386,L.-Francoeur / au 1310,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2386,2026-09-05
1-2423,2423,P.-Bertrand/2423,Beaucage / P.-Bertrand,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2423,2026-09-05
1-2470,2470,Prom-Soeurs/2470,J.-C.-Cantin / Prom.-des-Soeurs,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2470,2026-09-05
1-2522,2522,des Gradins/2522,des Gradins / au 5355,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2522,2026-09-05
1-2563,2563,4e Rue,des Capucins / 4e Rue,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2563,2026-09-05
1-2607,2607,Borduas,Chauveau Ouest / Borduas,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2607,2026-09-05
