date_locale,n_departs_observes,n_arrivees_observees,n_evenements_observes
2024-01-01,164,184,348
2024-01-09,232,43,275
2024-01-16,232,109,341
2024-01-24,244,78,322
2024-02-01,255,268,523
2024-02-08,277,65,342
2024-02-16,246,257,503
2024-02-24,149,198,347
2024-03-02,238,216,454
2024-03-10,204,166,370
2024-03-18,256,274,530
2024-03-25,273,210,483
2024-04-02,271,204,475
2024-04-10,266,270,536
2024-04-17,268,268,536
2024-04-25,285,277,562
2024-05-02,269,272,541
2024-05-10,291,295,586
2024-05-18,256,250,506
2024-05-25,255,263,518
2024-06-02,284,284,568
2024-06-10,359,332,691
2024-06-17,323,316,639
2024-06-25,318,324,642
2024-07-03,319,307,626
2024-07-10,312,300,612
2024-07-18,314,336,650
2024-07-26,320,312,632
2024-08-02,314,315,629
2024-08-10,312,298,610
2024-08-18,300,298,598
2024-08-25,305,311,616
2024-09-02,320,322,642
2024-09-10,308,299,607
2024-09-17,338,309,647
2024-09-25,301,307,608
2024-10-03,301,298,599
2024-10-10,303,296,599
2024-10-18,306,297,603
2024-10-26,256,272,528
2024-11-02,237,235,472
2024-11-10,240,250,490
2024-11-18,265,265,530
2024-11-25,273,284,557
2024-12-03,266,273,539
2024-12-10,250,246,496
2024-12-18,278,276,554
2024-12-26,262,262,524
2025-01-02,256,260,516
2025-01-10,262,258,520
2025-01-18,230,231,461
2025-01-25,225,233,458
2025-02-02,253,255,508
2025-02-10,259,274,533
2025-02-17,211,214,425
2025-02-25,256,258,514
2025-03-05,264,266,530
2025-03-12,264,267,531
2025-03-20,278,277,555
2025-03-28,281,290,571
2025-04-04,301,304,605
2025-04-12,250,251,501
2025-04-20,270,276,546
2025-04-27,263,270,533
2025-05-05,285,287,572
2025-05-13,282,284,566
2025-05-20,279,281,560
2025-05-28,293,294,587
2025-06-05,300,283,583
2025-06-12,324,326,650
2025-06-20,309,328,637
2025-06-28,287,289,576
2025-07-05,303,306,609
2025-07-13,238,255,493
2025-07-21,320,326,646
2025-07-28,317,327,644
2025-08-05,318,326,644
2025-08-12,318,317,635
2025-08-20,305,295,600
2025-08-28,326,321,647
2025-09-04,304,299,603
2025-09-12,316,313,629
2025-09-20,282,288,570
2025-09-27,292,291,583
2025-10-05,293,300,593
2025-10-13,277,300,577
2025-10-20,271,276,547
2025-10-28,241,240,481
2025-11-05,279,258,537
2025-11-12,257,260,517
2025-11-20,279,274,553
2025-11-28,265,253,518
2025-12-05,274,277,551
2025-12-13,231,241,472
2025-12-21,284,268,552
2025-12-28,269,258,527
2026-01-05,281,295,576
2026-01-13,258,240,498
2026-01-20,248,251,499
2026-01-28,268,261,529
2026-02-05,277,271,548
2026-02-12,286,266,552
2026-02-20,269,263,532
2026-02-28,245,237,482
2026-03-07,227,226,453
2026-03-15,257,267,524
2026-03-22,261,259,520
2026-03-30,285,293,578
2026-04-07,265,259,524
2026-04-14,245,243,488
2026-04-22,267,274,541
2026-04-30,274,276,550
2026-05-07,154,179,333
2026-05-15,305,311,616
2026-05-23,275,282,557
2026-05-30,269,263,532
2026-06-07,301,293,594
2026-06-15,305,307,612
2026-06-22,307,321,628
2026-06-30,306,305,611
