id,title,short_title,theme,source_name,source_url,license,access_date,geography,unit,data_type,format,n_rows,n_cols,update_frequency,level,concepts,concept_ids,level_ids,search_aliases,variables_principales,idees_mini_projets,zero_waste_score,fiche,status,contributor_name,contributor_role
actes-criminels-montreal,Actes criminels enregistrés à Montréal,Actes criminels,Sécurité publique,Données Québec / Ville de Montréal / SPVM,https://www.donneesquebec.ca/recherche/dataset/vmtl-actes-criminels,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Montréal,Acte criminel enregistré par le SPVM dans ce jeu de données ouvert,"Tabulaire, spatial, temporel et catégoriel",CSV officiel préparé localement; GeoJSON et ZIP disponibles à la source,352 366 actes dans le CSV téléchargé le 2026-06-21,8 champs dans le CSV source; 13 colonnes préparées,CSV modifié le 2026-06-20; paquet CKAN modifié le 2026-06-20,Intermédiaire à avancé,Données sensibles; Unité statistique; Catégories; Séries temporelles; Valeurs manquantes; Cartographie responsable; Biais de déclaration; Communication prudente,donnees-sensibles; unite-statistique; categories; series-temporelles; valeurs-manquantes; cartographie-responsable; biais-de-declaration; communication-prudente,intermediaire; avance,Biais de déclaration; biais de déclaration; Cartographie responsable; cartographie responsable; Catégories; catégories; Communication prudente; communication prudente; Données sensibles; données sensibles; Séries temporelles; séries temporelles; Unité statistique; unité statistique; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes,categorie; date; annee; mois; quart; pdq; longitude; latitude; localisation_disponible,Comparer les catégories publiées par mois sans les traiter comme statistiques officielles.; Créer une visualisation temporelle agrégée plutôt qu'une carte de points sensibles.; Rédiger une note d'éthique sur les biais de déclaration et les risques de stigmatisation.,22,datasets/actes-criminels-montreal/fiche.qmd,source officielle vérifiée; CSV préparé localement avec prudence éthique,Aurélien Nicosia,Révision pédagogique et statistique
arbres-publics-montreal,Arbres publics sur le territoire de Montréal,Arbres publics,Foresterie urbaine,Données Québec / Ville de Montréal,https://www.donneesquebec.ca/recherche/dataset/vmtl-arbres,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Montréal,Arbre public inventorié,"Tabulaire, spatial et environnement urbain",CSV officiel préparé localement; historique DHP et dictionnaire PDF disponibles à la source,334 464 arbres dans le CSV consolidé téléchargé le 2026-06-21,33 champs dans le CSV source; 32 colonnes préparées,CSV consolidé modifié le 2026-06-21; paquet CKAN modifié le 2026-06-21,Introduction à intermédiaire,Environnement urbain; Arbres; Catégories; Valeurs manquantes; Dates aberrantes; Cartographie; Statistiques descriptives; Qualité des données,environnement-urbain; arbres; categories; valeurs-manquantes; dates-aberrantes; cartographie; statistiques-descriptives; qualite-des-donnees,introduction; intermediaire,Arbres; arbres; Cartographie; Carte; cartes; cartographie; Catégories; catégories; Dates aberrantes; dates aberrantes; Environnement urbain; environnement urbain; Qualité des données; qualité des données; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes,arrondissement; emplacement; essence_latin; essence_fr; dhp; date_releve_plausible; date_plantation_plausible; longitude; latitude; coordonnees_disponibles,Comparer les essences d'arbres publics par arrondissement.; Cartographier un extrait ou une agrégation des arbres publics tout en discutant la qualité des coordonnées.; Analyser les valeurs manquantes et les dates non plausibles avant toute interprétation écologique.,27,datasets/arbres-publics-montreal/fiche.qmd,source officielle vérifiée; CSV consolidé préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
bibliotheques-quebec,Statistiques des bibliothèques publiques du Québec,Bibliothèques publiques,Culture et services publics,Bibliothèque et Archives nationales du Québec / Données Québec,https://www.donneesquebec.ca/recherche/dataset/statistiques_des_bibliotheques_publiques_du_quebec,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Québec,Bibliothèque publique ou centre régional dans la ressource annuelle 2024,"Tabulaire large, administratif et financier",CSV séparé par point-virgule préparé localement,188 lignes pour la ressource 2024,262 colonnes dans le CSV source; 16 colonnes préparées,Série annuelle; ressources disponibles de 2007 à 2024; ressource 2024 modifiée le 2025-10-06,Introduction à avancé,Importation CSV; Nettoyage de noms de variables; Conversion numérique; Ratios; Comparaison régionale; Valeurs manquantes; Indicateurs administratifs; Communication prudente,importation-csv; nettoyage-de-noms-de-variables; conversion-numerique; ratios; comparaison-regionale; valeurs-manquantes; indicateurs-administratifs; communication-prudente,introduction; intermediaire; avance,Communication prudente; communication prudente; Comparaison régionale; comparaison régionale; Conversion numérique; conversion numérique; Importation CSV; importation CSV; importation csv; Indicateurs administratifs; indicateurs administratifs; Nettoyage de noms de variables; nettoyage de noms de variables; Ratios; ratios; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes,bibliotheque; region_administrative; population_desservie; categorie_bibliotheque; visites_total; prets_total; usagers_inscrits_total; activites_total; depenses_fonctionnement_total; visites_par_habitant; prets_par_habitant; depenses_par_habitant,"Construire un portrait régional des visites, prêts et dépenses par habitant.; Comparer les bibliothèques en distinguant volumes et ratios.; Discuter les limites d'indicateurs administratifs pour évaluer l'accès aux services.",28,datasets/bibliotheques-quebec/fiche.qmd,source officielle vérifiée; ressource 2024 préparée localement,Aurélien Nicosia,Révision pédagogique et statistique
bixi,État des stations BIXI,BIXI,Mobilité urbaine,BIXI Montréal / Données Québec,https://www.donneesquebec.ca/recherche/dataset/vmtl-bixi-etat-des-stations,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Montréal,Station BIXI dans un instantané du flux GBFS,"Tabulaire, géographique et opérationnel, issu de flux JSON temps réel",GBFS JSON préparé localement en CSV,1 084 stations dans l'instantané préparé le 2026-06-21 à 08:20 EDT,13 champs dans station_information; 13 champs dans station_status; 28 colonnes préparées,Flux GBFS temps réel; ttl de 10 secondes observé dans les flux le 2026-06-21,Introduction à intermédiaire,Importation JSON; Flux GBFS; Jointure; Indicateurs opérationnels; Ratios; Coordonnées invalides; Visualisation; Limites d'un instantané,importation-json; flux-gbfs; jointure; indicateurs-operationnels; ratios; coordonnees-invalides; visualisation; limites-d-un-instantane,introduction; intermediaire,Coordonnées invalides; coordonnées invalides; Flux GBFS; flux GBFS; flux gbfs; Importation JSON; importation JSON; importation json; Indicateurs opérationnels; indicateurs opérationnels; Jointure; Jointures; jointure; jointures; Limites d'un instantané; limites d'un instantané; Ratios; ratios; Visualisation; visualisation,station_id; name; lat; lon; capacity; groupe_capacite; num_bikes_available; num_bikes_classic_available; num_ebikes_available; num_docks_available; taux_occupation; taux_bornes_libres; part_velos_electriques; etat_operationnel; coordonnees_valides,Décrire la disponibilité instantanée des vélos selon la capacité des stations.; Construire une carte de disponibilité en filtrant les coordonnées invalides.; Comparer plusieurs instantanés collectés à heures fixes pour étudier la variabilité temporelle.,25,datasets/bixi/fiche.qmd,source officielle vérifiée; flux GBFS préparés localement,Aurélien Nicosia,Révision pédagogique et statistique
budgets-municipaux-quebec,Profil financier des municipalités locales du Québec,Profil financier,Finances et fiscalité municipales,Données Québec / Ministère des Affaires municipales et de l'Habitation,https://www.donneesquebec.ca/recherche/dataset/profil-financier-des-municipalites-locales,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,"Québec, municipalités locales et agglomérations publiées dans la ressource 2024-2025","Municipalité locale ou agglomération publiée dans le profil financier 2024-2025, données de 2025","Table administrative financière, fiscale, foncière et territoriale",CSV officiel préparé localement; dictionnaire officiel des postes,1 105 municipalités ou agglomérations préparées; 15 470 lignes dans la version longue,29 colonnes dans le CSV source; 31 colonnes dans la table municipale préparée,Annuelle; paquet CKAN et ressources CSV 2024-2025 modifiés le 2026-06-19,Introduction à intermédiaire,Importation CSV; Dictionnaire de variables; Pivot long; Classes de population; Ratios; Indices; Valeurs manquantes; Comparaison descriptive; Communication prudente,importation-csv; dictionnaire-de-variables; pivot-long; classes-de-population; ratios; indices; valeurs-manquantes; comparaison-descriptive; communication-prudente,introduction; intermediaire,Classes de population; classes de population; Communication prudente; communication prudente; Comparaison descriptive; comparaison descriptive; Dictionnaire de variables; dictionnaire de variables; Importation CSV; importation CSV; importation csv; Indices; indices; Pivot long; pivot long; Ratios; ratios; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes,annee_edition; annee_donnee; code_geographique; municipalite; region_administrative; mrc; population; classe_population; FIALX01959; FIALX02005; FIALX02006; FIALX02007; FIALX02010; FIALX02097,Comparer les indicateurs de richesse foncière selon les classes de population.; Visualiser les différences régionales sans confondre nombre de municipalités et population totale.; Construire une version longue avec dictionnaire des postes et documenter les limites d'interprétation.,27,datasets/budgets-municipaux-quebec/fiche.qmd,source officielle vérifiée; CSV municipal 2024-2025 et dictionnaire des postes préparés localement,Aurélien Nicosia,Révision pédagogique et statistique
cohortes-diplomation,Cohortes de diplomation,Diplomation,Éducation,Institut de la statistique du Québec,https://statistique.quebec.ca/fr/produit/publication/indicateurs-progres-ecart-diplomation,Reproduction de l'information du site de l'Institut de la statistique du Québec interdite sauf permission écrite.,2026-06-20,Québec,"Année scolaire de fin de suivi d'une cohorte, avec taux par décile IMSE","Tableau agrégé, indicateur, temporel",XLSX téléchargeable depuis l'export du graphique ISQ,"13 années scolaires de fin de suivi dans la table préparée; 30 lignes dans l'export XLSX incluant titres, notes et source",5 colonnes dans la table préparée; 4 colonnes de données dans l'export XLSX,Annuelle,Introduction,Éducation; Québec; Données publiques; Visualisation; Séries temporelles; Statistiques descriptives; Politiques publiques; Comparaison de groupes,education; quebec; donnees-publiques; visualisation; series-temporelles; statistiques-descriptives; politiques-publiques; comparaison-de-groupes,introduction,Comparaison de groupes; comparaison de groupes; Données publiques; données publiques; Politiques publiques; politiques publiques; Québec; québec; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Séries temporelles; séries temporelles; Visualisation; visualisation; Éducation; éducation,annee_scolaire_fin_suivi; taux_diplomation_decile_imse_1; taux_diplomation_decile_imse_10; ecart_points_pourcentage; cohorte_entree_secondaire,Comparer les taux de diplomation des élèves des déciles IMSE 1 et 10.; Visualiser l'évolution de l'écart en points de pourcentage.; Discuter les limites d'un indicateur agrégé fondé sur le lieu de résidence.,25,datasets/cohortes-diplomation/fiche.qmd,source officielle vérifiée; export XLSX préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
condamnations-alimentaires-quebec,Condamnations des établissements alimentaires au Québec,Condamnations alimentaires,Santé publique et alimentation,Données Québec / MAPAQ; version pédagogique fixe dans UlavalSSD,https://www.donneesquebec.ca/recherche/dataset/condamnations-des-etablissements-alimentaires-et-condamnations-concernant-le-bien-etre-des-anim,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-20; paquet UlavalSSD sous licence MIT,2026-06-20,Québec,Condamnation publiée dans la version pédagogique du jeu,"Tableau administratif, variables catégorielles, dates, montants",CSV officiel dynamique; data.frame R fixe dans UlavalSSD,1 712 lignes dans UlavalSSD 0.2.0; 2 988 lignes dans le CSV officiel consulté le 2026-06-20,10 colonnes dans UlavalSSD; 14 colonnes après préparation locale; 20 colonnes dans le CSV officiel,Quotidienne pour la ressource officielle; version UlavalSSD fixe pour le cours,Introduction à intermédiaire,Variables catégorielles; Nettoyage de chaînes; Dates; Tableaux de fréquences; Montants; Communication publique; Éthique,variables-categorielles; nettoyage-de-chaines; dates; tableaux-de-frequences; montants; communication-publique; ethique,introduction; intermediaire,Communication publique; communication publique; Dates; dates; Montants; montants; Nettoyage de chaînes; nettoyage de chaînes; Tableaux de fréquences; tableaux de fréquences; Variables catégorielles; variables catégorielles; Éthique; éthique,Nom_exploitant; Raison_sociale; Description_infraction; Adresse_lieu_infraction; Type_etablissement; Date_infraction; Date_jugement; Date_publication; Amende; SOC_NOM_ARTCL_INFRC,Identifier les types d'établissements les plus souvent présents dans la version pédagogique.; Nettoyer la variable d'amende et comparer les montants selon le type d'infraction.; Rédiger un court article de données sur les infractions alimentaires à Montréal.,26,datasets/condamnations-alimentaires-quebec/fiche.qmd,source officielle vérifiée; version pédagogique fixe dans UlavalSSD,Aurélien Nicosia,Révision pédagogique et statistique
construction-quartiers-quebec,"Construction, bâtiments et quartiers à la Ville de Québec",Construction et quartiers,Aménagement du territoire,"Ville de Québec, Données Québec",https://www.donneesquebec.ca/recherche/dataset/permis-delivres-ville-de-quebec,Attribution (CC-BY 4.0),2026-06-21,Ville de Québec,"Permis, bâtiment, quartier ou agrégat par quartier selon le fichier","Tabulaire, spatial, administratif, agrégé",CSV officiels nettoyés; CSV agrégé par quartier,66 470 permis; 284 964 empreintes de bâtiments; 35 quartiers; 35 lignes agrégées par quartier dans la version téléchargée le 2026-06-21,10 colonnes permis; 4 colonnes bâtiments; 5 colonnes quartiers; 21 colonnes pour l'agrégé par quartier,"Mise à jour fréquente; métadonnées modifiées le 2026-06-21 pour les permis et quartiers, le 2026-06-07 pour les bâtiments selon l'API CKAN de Données Québec consultée le 2026-06-21",Intermédiaire,Données ouvertes municipales; Nettoyage de noms de variables; Données spatiales; Jointure spatiale; Agrégation par quartier; Densité; Superficies; Statistiques descriptives; Visualisation; Limites des données administratives,donnees-ouvertes-municipales; nettoyage-de-noms-de-variables; donnees-spatiales; jointure-spatiale; agregation-par-quartier; densite; superficies; statistiques-descriptives; visualisation; limites-des-donnees-administratives,intermediaire,Agrégation par quartier; agrégation par quartier; Densité; densité; Données ouvertes municipales; données ouvertes municipales; Données spatiales; données spatiales; Jointure spatiale; jointure spatiale; Limites des données administratives; limites des données administratives; Nettoyage de noms de variables; nettoyage de noms de variables; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Superficies; superficies; Visualisation; visualisation,numero_permis; date_delivrance; domaine; type_permis; longitude; latitude; type_batiment; geometrie; id_quartier; nom_quartier; nombre_permis; nombre_batiments; superficie_empreintes_batiments_m2; part_superficie_batie,Comparer le nombre de permis délivrés par quartier.; Analyser la densité de bâtiments et la part de superficie bâtie selon les quartiers.; Construire une carte ou un graphique des quartiers où l'activité administrative liée aux permis est la plus forte.,26,datasets/construction-quartiers-quebec/fiche.qmd,source vérifiée,NA,NA
defavorisation-ecoles-primaires,Indices de défavorisation des écoles primaires du Québec,Défavorisation écoles,Éducation et équité,Données Québec / Ministère de l'Éducation et Ministère de l'Enseignement supérieur,https://www.donneesquebec.ca/recherche/dataset/indices-de-defavorisation/resource/6c5d4a5d-ba3b-40a6-b570-916f43ab622c,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-20,2026-06-20,Écoles primaires publiques du Québec,École primaire publique pour une année scolaire,"Tabulaire, éducatif, indicateurs socioéconomiques",CSV officiel,1 963 lignes dans le CSV primaire public 2025-2026,11 colonnes officielles; 13 colonnes après préparation locale,Annuelle; paquet CKAN modifié le 2026-05-27 et ressource CSV modifiée le 2026-05-26,Introduction à intermédiaire,Régression linéaire; Biais algorithmiques; Variables numériques; Valeurs manquantes; Indicateurs socioéconomiques; Prédiction; Éthique,regression-lineaire; biais-algorithmiques; variables-numeriques; valeurs-manquantes; indicateurs-socioeconomiques; prediction; ethique,introduction; intermediaire,Biais algorithmiques; biais algorithmiques; Indicateurs socioéconomiques; indicateurs socioéconomiques; Prédiction; prédiction; Régression linéaire; régression linéaire; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes; Variables numériques; variables numériques; Éthique; éthique,Code_Cs; Nom_Cs; Code_Org; Nom_Org; IMSE; Rang_Decile_IMSE; SFR; Rang_Decile_SFR; Nbre_Eleves; Diffusion; Annee_Scol; diffusion_indices; groupe_imse,Construire un modèle linéaire descriptif pour prédire l'IMSE à partir du SFR et du nombre d'élèves.; Comparer les écoles selon les déciles IMSE et SFR.; Discuter les risques d'interprétation et de biais dans une prédiction appliquée à un indicateur éducatif sensible.,27,datasets/defavorisation-ecoles-primaires/fiche.qmd,source officielle vérifiée; CSV primaire public 2025-2026 préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
ecoles-quebec,Établissements scolaires du Québec,Écoles Québec,Éducation et territoire,Données Québec / Ministère de l'Éducation et Ministère de l'Enseignement supérieur,https://www.donneesquebec.ca/recherche/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-20,2026-06-20,Québec,Lien école publique-immeuble scolaire,Tabulaire avec coordonnées géographiques WGS84,CSV officiel; autres formats disponibles dans le paquet,5 466 liens école-immeuble dans le CSV Écoles publiques,34 colonnes officielles; 48 colonnes après préparation locale,Hebdomadaire selon l'API CKAN; paquet modifié le 2026-06-16,Introduction à intermédiaire,Géolocalisation; Cartographie; Jointure; Unité statistique; Double comptage; Données publiques,geolocalisation; cartographie; jointure; unite-statistique; double-comptage; donnees-publiques,introduction; intermediaire,Cartographie; Carte; cartes; cartographie; Données publiques; données publiques; Double comptage; double comptage; Géolocalisation; géolocalisation; Jointure; Jointures; jointure; jointures; Unité statistique; unité statistique,CD_ORGNS; NOM_OFFCL_ORGNS; CD_IMM; NOM_IMM; ORDRE_ENS; CD_CS; TYPE_CS; NOM_CS; NOM_REG_ADM; COORD_X_LL84_IMM; COORD_Y_LL84_IMM; lien_ecole_immeuble_id; longitude; latitude; type_reseau_public; nb_ordres_autorises,Cartographier les liens école-immeuble et discuter les risques de double comptage.; Comparer les ordres d'enseignement selon les régions administratives.; Construire un indicateur descriptif simple par région sans le présenter comme une mesure d'accès.,26,datasets/ecoles-quebec/fiche.qmd,source officielle vérifiée; ressource CSV Écoles publiques préparée localement,Aurélien Nicosia,Révision pédagogique et statistique
