id,type,date_added,date_updated
actes-criminels-ethique-court,activite,2026-06-18,2026-09-05
actes-criminels-rapport-long,activite,2026-06-18,2026-09-05
actes-criminels-montreal,donnees,2026-06-18,2026-09-05
arbres-publics-essences-court,activite,2026-06-18,2026-09-05
arbres-publics-carte-long,activite,2026-06-18,2026-09-05
arbres-publics-montreal,donnees,2026-06-18,2026-09-05
arbres-quebec-premiers-pas,activite,2026-09-05,2026-09-05
arbres-quebec,donnees,2026-09-05,2026-09-05
bibliotheques-visites-ratios-court,activite,2026-06-01,2026-09-05
bibliotheques-portrait-regional-long,activite,2026-06-01,2026-09-05
bibliotheques-quebec,donnees,2026-06-01,2026-09-05
bixi-disponibilite-stations-court,activite,2026-06-01,2026-09-05
bixi-rapport-stations-long,activite,2026-06-01,2026-09-05
bixi,donnees,2026-06-01,2026-09-05
profil-financier-classes-court,activite,2026-06-19,2026-09-05
profil-financier-portrait-long,activite,2026-06-19,2026-09-05
budgets-municipaux-quebec,donnees,2026-06-19,2026-09-05
diplomation-comparaison-imse-court,activite,2026-06-18,2026-09-05
diplomation-tendances-cohortes-long,activite,2026-06-18,2026-09-05
cohortes-diplomation,donnees,2026-06-18,2026-09-05
condamnations-alimentaires-quebec-court,activite,2026-06-20,2026-09-05
condamnations-alimentaires-quebec-long,activite,2026-06-20,2026-09-05
condamnations-alimentaires-quebec,donnees,2026-06-20,2026-09-05
construction-quartiers-quebec-densite-court,activite,2026-06-21,2026-09-05
construction-quartiers-quebec-forme-batie-long,activite,2026-06-21,2026-09-05
construction-quartiers-quebec,donnees,2026-06-21,2026-09-05
defavorisation-ecoles-primaires-court,activite,2026-06-20,2026-09-05
defavorisation-ecoles-primaires-long,activite,2026-06-20,2026-09-05
defavorisation-ecoles-primaires,donnees,2026-06-20,2026-09-05
ecoles-quebec-court,activite,2026-06-19,2026-09-05
ecoles-quebec-long,activite,2026-06-19,2026-09-05
ecoles-quebec,donnees,2026-06-19,2026-09-05
emploi-regional-quebec-court,activite,2026-06-19,2026-09-05
emploi-regional-quebec-long,activite,2026-06-19,2026-09-05
emploi-regional-quebec,donnees,2026-06-19,2026-09-05
etablissements-carte-court,activite,2026-06-18,2026-09-05
etablissements-acces-long,activite,2026-06-18,2026-09-05
etablissements-enseignement,donnees,2026-06-18,2026-09-05
grhq-carte-court,activite,2026-06-18,2026-09-05
grhq-jointure-long,activite,2026-06-18,2026-09-05
grhq,donnees,2026-06-18,2026-09-05
interventions-pompiers-montreal-portrait-court,activite,2026-06-21,2026-09-05
interventions-pompiers-montreal-saisonnalite-long,activite,2026-06-21,2026-09-05
interventions-pompiers-montreal,donnees,2026-06-21,2026-09-05
meteo-quebec-court,activite,2026-06-20,2026-09-05
meteo-quebec-long,activite,2026-06-20,2026-09-05
meteo-quebec,donnees,2026-06-20,2026-09-05
niveaux-eau-carte-court,activite,2026-06-18,2026-09-05
niveaux-eau-rapport-long,activite,2026-06-18,2026-09-05
niveaux-eau-inondation,donnees,2026-06-18,2026-09-05
prelevements-eau-provenance-court,activite,2026-06-18,2026-09-05
prelevements-eau-territoires-long,activite,2026-06-18,2026-09-05
prelevements-eau-autorises,donnees,2026-06-18,2026-09-05
pyramides-ages-quebec-court,activite,2026-06-18,2026-09-05
pyramides-ages-comparaison-long,activite,2026-06-18,2026-09-05
pyramides-ages,donnees,2026-06-18,2026-09-05
qualite-air-pm25-court,activite,2026-06-19,2026-09-05
qualite-air-dashboard-long,activite,2026-06-19,2026-09-05
qualite-air-horaire,donnees,2026-06-19,2026-09-05
rsqaq-stations-types-court,activite,2026-06-01,2026-09-05
rsqaq-couverture-stations-long,activite,2026-06-01,2026-09-05
qualite-air,donnees,2026-06-01,2026-09-05
rapports-accident-gravite-court,activite,2026-06-18,2026-09-05
rapports-accident-modele-long,activite,2026-06-18,2026-09-05
rapports-accident,donnees,2026-06-18,2026-09-05
requetes-311-categories-court,activite,2026-06-18,2026-09-05
requetes-311-saisonnalite-long,activite,2026-06-18,2026-09-05
requetes-311,donnees,2026-06-18,2026-09-05
retards-transport-collectif-court,activite,2026-06-19,2026-09-05
retards-transport-collectif-long,activite,2026-06-19,2026-09-05
retards-transport-collectif,donnees,2026-06-19,2026-09-05
qualite-eau-phosphore-court,activite,2026-06-18,2026-09-05
qualite-eau-bassins-long,activite,2026-06-18,2026-09-05
suivi-rivieres-fleuve,donnees,2026-06-18,2026-09-05
transport-collectif-gtfs-court,activite,2026-06-19,2026-09-05
transport-collectif-gtfs-long,activite,2026-06-19,2026-09-05
transport-collectif-gtfs,donnees,2026-06-19,2026-09-05
ulaval-validation-import-court,activite,2026-06-19,2026-09-05
ulaval-rapport-methodologique-long,activite,2026-06-19,2026-09-05
ulaval-programmes-cours,donnees,2026-06-19,2026-09-05
tutoriel-bixi,application,2026-09-05,2026-09-05
modelisation-surmortalite-quebec,document,2026-09-05,2026-09-05
demonstration-ilots-chaleur,document,2026-09-07,2026-09-07
demonstration-acp-quebec,document,2026-09-07,2026-09-07
demonstration-crues-saint-charles,document,2026-09-07,2026-09-07
