no_bqma,superf_qc_km2,superf_tot_km2,frontiere,pc_foret,pc_agricole,pc_anthropique,pc_aquatique,pc_humide,pc_coupe_regen,pc_sol_nu,pc_non_classe,annee_utilisation_territoire
02340050,6675.13,6675.13,EU,60.2,19.8,3.8,1.6,12.1,2.4,0,0,2020
02260002,292.51,292.51,,46.9,36.3,3.8,0.4,10.2,2.1,0.3,0,2020
03040073,29.25,29.25,,3.7,92.9,0.8,0,2.5,0,0,0,2020
03040075,14.17,14.17,,1,96.1,1.8,0.1,1,0,0,0,2020
05040002,2385.85,2385.85,,78.4,5.4,1.4,4.7,6.7,3.3,0.1,0,2020
05040006,219.39,219.39,,67,18.7,2,5.3,5.9,1.1,0,0,2020
05040119,178.6,178.6,,54.1,26.9,3,1,10.9,4.1,0,0,2020
05040142,41.18,41.18,,36.3,53.5,3.7,0.2,6.3,0,0,0,2020
05040140,212.8,212.8,,69,16.4,2,5.4,6.1,1.1,0,0,2020
05040141,183.51,183.51,,72.1,12.5,1.7,5.9,6.6,1.2,0,0,2020
05040143,54.76,54.76,,38.9,55.1,2.9,0.2,2.8,0.2,0,0,2020
05040144,1789.91,1789.91,,81.7,2.9,1.2,4.2,6.8,3.1,0.1,0,2020
05040145,1535.61,1535.61,,84.7,1.4,0.8,4.3,5.8,3,0.1,0,2020
05040147,2444.14,2444.14,,77.5,6.6,1.4,4.6,6.6,3.2,0.1,0,2020
01170001,2680,2698.7,NB,74,6.4,1.8,5,10,2.8,0,0,2020
01170022,252.64,258.53,NB,80.4,4.4,2.5,4.6,4.7,3.4,0,0,2020
02200019,1583.72,1605.27,NB,75.4,4,0.8,4.2,11.3,4.2,0,0,2020
02250002,489.59,489.59,,74.9,2,0.4,0.9,16.9,4.8,0.1,0,2020
02250005,1048.31,1048.31,,66.9,9.3,2.6,1.6,16.3,3.4,0,0,2020
02300001,211.29,211.29,,14.9,67.6,3.9,0.6,12.9,0,0,0,2020
02300002,65.06,65.06,,17.3,76.5,1.7,0,4.5,0,0,0,2020
02300003,37.74,37.74,,19.4,66.5,4.9,0.1,9.1,0,0,0,2020
02300004,20.96,20.96,,24.5,45.7,1.6,0.1,28.1,0,0,0,2020
02300005,20.84,20.84,,10.8,77.2,1.7,0,10.3,0,0,0,2020
02310004,1269.85,1269.85,,67.7,20.8,2.2,0.7,7.1,1.5,0,0,2020
02330001,1466.13,1466.13,,56.7,28.2,4.3,1,8.4,1.4,0,0,2020
02330010,99.31,99.31,,88.9,0.2,1.6,0.5,6.4,2.3,0,0,2020
02330029,20.69,20.69,,20.1,45.4,7.5,0.2,26.8,0,0,0,2020
02340004,4084.19,4085.21,EU,70.3,10,2.8,2,11.7,3.2,0,0,2020
02340006,1134.85,1135.95,EU,76.7,5,2.4,4,8.6,3.3,0.1,0,2020
02340014,5722.16,5723.18,EU,65.7,16.6,3.3,1.6,10.2,2.5,0,0,2020
02340033,6619.37,6620.39,EU,60.5,19.8,3.6,1.6,12,2.5,0,0,2020
02340034,705.3,705.3,,30.3,39,3.1,0.3,24.7,2.5,0,0,2020
02340051,165.01,165.01,,17,56.7,1.2,0.1,23.2,1.7,0,0,2020
02340086,21.73,21.73,,12.3,77.1,4.3,0,6.3,0,0,0,2020
02340091,5.22,5.22,,40.3,51.2,3.4,0.2,5,0,0,0,2020
02340092,2.51,2.51,,41.8,52.5,1.4,0.3,3.7,0.2,0,0,2020
02340093,29.49,29.49,,54.7,31.5,3.6,0.3,9.3,0.6,0,0,2020
02340098,18.39,18.39,,56.6,37.7,0.9,0.1,3.6,1.1,0,0,2020
02340099,58.66,58.66,,19.1,66.8,0.8,0,12.7,0.6,0,0,2020
02400004,2596.24,2596.24,,44.8,31.5,4.7,1.4,15.8,1.9,0,0,2020
02400005,228.73,228.73,,52.8,13.2,23.9,1.2,7.6,1.2,0.1,0,2020
02400006,634.52,634.52,,60,19,9.8,2.5,6.9,1.8,0.1,0,2020
02E90001,75.2,75.2,,20.1,62,8.6,0,8.1,0.9,0.2,0,2020
02E90002,55.97,55.97,,18.8,64.8,9.1,0,6.2,1.1,0,0,2020
03010007,740.01,740.01,,46,39.5,4.5,1.1,6.5,2.4,0,0,2020
03010008,1668.3,1668.3,,38.6,44.1,4.6,1,9.7,2,0,0,2020
03010009,1577.07,1577.07,,36,43.2,3.9,0.8,13.9,2.2,0,0,2020
03010036,952.63,952.63,,47.4,33,4.4,0.9,11.2,3,0,0,2020
03010038,151.8,151.8,,30,59.4,4.3,0.4,4.8,1.1,0,0,2020
03020031,8638.01,10164.1,EU,50.9,21.4,5,4,15.9,2.7,0,0,2020
03020035,6582.15,8108.25,EU,54,18.7,4.5,4.2,15.7,2.9,0,0,2020
03020037,562.64,1829.87,EU,53.7,11.4,7.5,14.8,11.1,1.4,0,0,2020
03020040,4240.71,4240.71,,59.8,12.5,2.1,3.5,18.6,3.5,0,0,2020
03020042,1019.35,1019.35,,66.3,6.7,1,1.1,21.1,3.7,0,0,2020
03020073,514.19,1781.41,EU,54.1,11.3,6,16,11.1,1.5,0,0,2020
03020081,7613.22,9139.31,EU,53.7,19,4.5,4.2,15.7,2.9,0,0,2020
03020082,1419.88,1678.75,EU,41.2,40.2,3.9,2.1,10.5,2,0,0,2020
03020176,771.32,2038.55,EU,49.6,12.2,13.5,12.6,10.6,1.4,0,0,2020
03020187,49.43,49.43,,70.1,4.8,12.6,3.2,8.5,0.3,0.4,0,2020
03020243,8392.31,9918.4,EU,51.8,20.5,5.1,4,15.8,2.7,0,0,2020
03020333,362.09,532.39,EU,33.8,52.5,4.4,0.7,7.3,1.3,0,0,2020
03030003,1501.24,1501.24,,32.7,47.2,4.7,0.6,13.4,1.3,0,0,2020
03030008,97.82,97.82,,48.2,36.2,3,0.2,11.9,0.5,0,0,2020
03030023,4463.58,4463.58,,27.1,54.2,6.1,1.3,10.5,0.8,0,0,2020
03030026,1623.95,1623.95,,37.3,40.3,8.6,2.3,10.7,0.8,0,0,2020
03030031,412.78,412.78,,56,26.1,6,1,10.3,0.6,0,0,2020
03030038,161.92,161.92,,7,80.6,2.9,0.3,9,0.1,0,0,2020
03030041,174.34,174.34,,72.2,15.8,1.9,0.6,9.3,0.2,0,0,2020
03030094,186.41,186.41,,55.2,13.1,7.6,8.6,14.4,1,0,0,2020
03030096,138.04,138.04,,10.7,79.4,4.8,0.3,4.7,0.1,0,0,2020
03030108,257.26,257.26,,40.9,25.4,16.6,3.9,11.8,1.4,0,0,2020
03030123,3760.12,3760.12,,30.4,49.8,6.8,1.4,10.7,0.9,0,0,2020
03030199,436.81,436.81,,49.1,20.7,9.6,4.3,15,1.4,0,0,2020
03030237,91.09,91.09,,3.3,85,3.8,0.4,7.1,0.4,0,0,2020
03040007,311.43,311.43,,10.4,78.9,7.2,0.3,3,0.1,0.1,0,2020
03040009,3899.41,23817.28,EU,23.8,56,8.3,3.2,8.4,0.3,0,0,2020
03040010,2141.51,22056.12,EU,34,47.1,4.3,4.5,9.7,0.4,0,0,2020
03040012,1426.22,21336.96,EU,48.1,33.6,3.2,4.8,9.7,0.6,0,0,2020
03040015,484.75,586.29,EU,32.3,51.2,2.8,0.8,12.2,0.7,0,0,2020
03040017,3380.06,23297.93,EU,25.4,53.9,8.6,3.4,8.4,0.3,0,0,2020
03040066,31.31,31.31,,13.2,75.4,2.6,0.1,8.1,0.6,0,0,2020
03040071,112.14,112.14,,13.6,71.3,2.5,0.2,11.8,0.7,0,0,2020
03040108,1.15,360,EU,31.9,40.3,0.9,3.9,23,0,0,0,2020
03040109,473.08,941.36,EU,76.9,8.4,2.8,1.8,9.3,0.8,0,0,2020
03040110,146.19,146.19,,72.7,16.1,4.8,0.6,5.4,0.4,0,0,2020
03040111,17.23,96.07,EU,77.2,15.8,0.6,0.4,5.5,0.5,0,0,2020
03040112,1.47,72.29,EU,19.8,74.5,0.9,0.1,4.7,0,0,0,2020
03040113,50.9,127.65,EU,33.9,56,2.4,0.7,6.9,0.1,0,0,2020
03040116,377.9,381,EU,7.9,75.1,6,0.2,10.5,0.2,0,0,2020
