bv_n1m,n_observations,pct_observations
Non renseigné,887,12.7
"Outaouais, Rivière des",623,8.9
"Richelieu, Rivière",424,6.1
"Saguenay, Rivière",349,5
"Yamaska, Rivière",318,4.5
"L'Assomption, Rivière",312,4.5
"Saint-François, Rivière",301,4.3
"Chaudière, Rivière",234,3.3
"Sainte-Anne, Rivière",232,3.3
"Châteauguay, Rivière",216,3.1
"Nicolet, Rivière",186,2.7
"Loup, Rivière du",152,2.2
"Bécancour, Rivière",143,2
"Harricana, Rivière",139,2
"Jacques-Cartier, Rivière",130,1.9
"Saint-Maurice, Rivière",124,1.8
"Batiscan, Rivière",120,1.7
"Saint-Jean, Rivière",117,1.7
"Etchemin, Rivière",104,1.5
"Saint-Charles, Rivière",99,1.4
"Maskinongé, Rivière",94,1.3
"Boyer, Rivière",82,1.2
"Ristigouche, Rivière",79,1.1
"La Chevrotière, Rivière",60,0.9
"Sud, Rivière du",60,0.9
"Bayonne, Rivière",56,0.8
"Chêne, Rivière du",54,0.8
"Fouquette, Rivière",47,0.7
"Yamachiche, Rivière",47,0.7
"Matane, Rivière",45,0.6
"Kamouraska, Rivière",43,0.6
"Portneuf, Rivière",39,0.6
"Champlain, Rivière",36,0.5
"Montmorency, Rivière",35,0.5
"Rimouski, Rivière",33,0.5
"Saint-Louis, Rivière",32,0.5
"Chicot, Rivière",29,0.4
"Chaloupe, Rivière la",27,0.4
"Verte, Rivière",27,0.4
"Moose, River",26,0.4
"La Guerre, Rivière",24,0.3
"Mascouche, Rivière",23,0.3
"Ouelle, Rivière",23,0.3
"Anglais, Rivière aux",22,0.3
"Gentilly, Rivière",22,0.3
"Bonaventure, Rivière",21,0.3
"Escoumins, Rivière des",21,0.3
"Malbaie, Rivière",21,0.3
"Chêne, Petite rivière du",20,0.3
"Gouffre, Rivière du",20,0.3
"Tortue, Rivière de la",20,0.3
"Saint-Jacques, Rivière",19,0.3
"Beauport, Rivière",18,0.3
"Chiens, Rivière aux",18,0.3
"Mitis, Rivière",18,0.3
"Saint-Régis, Rivière",18,0.3
"Manicouagan, Rivière",17,0.2
"Yamachiche, Petite rivière",17,0.2
Bassin résiduel sans hydronyme,16,0.2
"Beaudette, Rivière",16,0.2
"Delisle, Rivière",16,0.2
"Trois Pistoles, Rivière des",15,0.2
"York, Rivière",15,0.2
"Cap Rouge, Rivière du",14,0.2
"Godbout, Rivière",14,0.2
"Moisie, Rivière",14,0.2
"Outardes, Rivière aux",14,0.2
"Sault aux Cochons, Rivière du",14,0.2
"Sud-Ouest, Rivière du",14,0.2
"Aulneuse, Rivière",13,0.2
"Beaudet, Ruisseau",13,0.2
"Cap-Chat, Rivière",13,0.2
"Ferrée, Rivière",13,0.2
"Madeleine, Rivière",13,0.2
"Moulin à Baude, Rivière du",13,0.2
"Rochers, Rivière aux",13,0.2
"Romaine, Rivière",13,0.2
"Cascapédia, Petite rivière",12,0.2
"Franquelin, Rivière",12,0.2
"Nouvelle, Rivière",12,0.2
"Paspébiac, Rivière",12,0.2
"Petit Pabos, Rivière du",12,0.2
"Glaises, Rivière aux",11,0.2
"Grande Rivière, La",11,0.2
"Église, Ruisseau de l'",8,0.1
"Millette, Rivière",6,0.1
"Saint-Joseph, Rivière",6,0.1
"Bic, Rivière du",4,0.1
"Bois Blanc, Rivière du",4,0.1
"Centrale, Rivière",3,0
"Cormier, Ruisseau",3,0
"Dauphine, Rivière",3,0
"Frères, Rivière des",3,0
"Laval, Rivière",3,0
"Lemire, Rivière",3,0
"Tranchemontagne, Ruisseau",3,0
"Bras, Ruisseau des",2,0
"Brielle, Rivière",2,0
"Chasse, Rivière à la",2,0
"Chicot, Rivière du",2,0
"Corriveau, Ruisseau",2,0
"David-Houle, Ruisseau",2,0
"Grandes Bergeronnes, Rivière des",2,0
"Grimard, Ruisseau",2,0
"Gros Ruisseau, Le",2,0
"Lac Saint-Augustin, Décharge du",2,0
"Lacoursière, Ruisseau",2,0
"Marguerite, Rivière",2,0
"Matte, Rivière à",2,0
"Mères, Rivière des",2,0
"Nobert, Ruisseau",2,0
"Orignaux, Rivière aux",2,0
"Scie, Rivière à la",2,0
"Vases, Rivière des",2,0
"Vincelotte, Rivière",2,0
"Arbre à la Croix, Ruisseau de l'",1,0
"Belle-Isle, Rivière",1,0
"Betsiamites, Rivière",1,0
"Blanche, Rivière",1,0
"Cachée, Rivière",1,0
"Charland, Rivière",1,0
"Colbert, Rivière",1,0
"Colombier, Rivière",1,0
"Fraser, Ruisseau",1,0
"Graisse, Rivière à la",1,0
"Grands Méchins, Rivière des",1,0
"Hertel, Ruisseau",1,0
"Jean-Raymond, Ruisseau",1,0
"Landroche, Rivière",1,0
"Lebrun, Ruisseau",1,0
"McMillan, Ruisseau",1,0
"Moreau, Rivière",1,0
"Moulin, Rivière du",1,0
"Petite Romaine, La",1,0
"Petites Bergeronnes, Rivière des",1,0
"Petits Escoumins, Rivière des",1,0
"Pères, Ruisseau des",1,0
"Pépin, Ruisseau",1,0
"Renard, Rivière au",1,0
"Sabrevois, Rivière",1,0
"Sarrazin, Ruisseau",1,0
"Sault au Mouton, Rivière du",1,0
"Saumons, Rivière aux",1,0
"Tortue, Rivière",1,0
"Trois Saumons, Rivière",1,0
"Truite, Rivière à la",1,0
"Îlets, Ruisseau des",1,0
