no_bqma,hydronyme,bv_n1m,n_years,min_year,max_year,median_ptot_mgl,median_iqbp
02340050,Rivière Chaudière,"Chaudière, Rivière",25,2000,2024,0.025,68
00000096,Fleuve Saint-Laurent,,25,2000,2024,0.011,23
03040075,Ruisseau au Castor,"Richelieu, Rivière",24,2001,2024,0.115,16.5
03040073,Ruisseau Ewing,"Richelieu, Rivière",24,2001,2024,0.0655,30
05040143,Rivière Niagarette,"Sainte-Anne, Rivière",24,2001,2024,0.0615,42
05040006,Rivière Blanche,"Sainte-Anne, Rivière",24,2001,2024,0.0505,52.5
02260002,Rivière Kamouraska,"Kamouraska, Rivière",24,2001,2024,0.025,64.5
03090046,Ruisseau Norton,"Châteauguay, Rivière",23,2002,2024,0.705,0
03090002,Rivière des Anglais,"Châteauguay, Rivière",23,2002,2024,0.275,7
03040007,Rivière des Hurons,"Richelieu, Rivière",23,2002,2024,0.15,2
03040116,Rivière l'Acadie,"Richelieu, Rivière",23,2002,2024,0.14,18
05220239,Ruisseau Vacher,"L'Assomption, Rivière",23,2002,2024,0.12,20
06120001,Rivière Bédard,"Saguenay, Rivière",23,2002,2024,0.12,27
03030096,Rivière à la Barbue,"Yamaska, Rivière",23,2002,2024,0.106,19
03040112,Rivière de la Roche,"Richelieu, Rivière",23,2002,2024,0.1,16
03090001,Rivière Châteauguay,"Châteauguay, Rivière",23,2002,2024,0.099,14
05240001,Rivière Bayonne,"Bayonne, Rivière",23,2002,2024,0.099,30
05230001,Rivière La Chaloupe,"Chaloupe, Rivière la",23,2002,2024,0.095,15
04640003,Rivière Mascouche,"Mascouche, Rivière",23,2002,2024,0.093,26
03040071,Ruisseau Morpions,"Richelieu, Rivière",23,2002,2024,0.089,29
03030038,Rivière Chibouet,"Yamaska, Rivière",23,2002,2024,0.088,20
03030023,Rivière Yamaska,"Yamaska, Rivière",23,2002,2024,0.085,0
03040113,Rivière de la Roche,"Richelieu, Rivière",23,2002,2024,0.083,40
03110003,Rivière Saint-Louis,"Saint-Louis, Rivière",23,2002,2024,0.082,28
03030123,Rivière Yamaska,"Yamaska, Rivière",23,2002,2024,0.072,4
03030108,Rivière Yamaska Nord,"Yamaska, Rivière",23,2002,2024,0.07,26
05010035,Rivière Shawinigan,"Saint-Maurice, Rivière",23,2002,2024,0.065,31
03030026,Rivière Yamaska,"Yamaska, Rivière",23,2002,2024,0.063,16
05220006,Rivière Saint-Esprit,"L'Assomption, Rivière",23,2002,2024,0.061,38
02300001,Rivière Boyer,"Boyer, Rivière",23,2002,2024,0.06,29
06290013,Petite Décharge,"Saguenay, Rivière",23,2002,2024,0.059,49
05220005,Rivière de l'Achigan,"L'Assomption, Rivière",23,2002,2024,0.054,35
03030003,Rivière Noire,"Yamaska, Rivière",23,2002,2024,0.053,36
03090005,Rivière Châteauguay,"Châteauguay, Rivière",23,2002,2024,0.053,50
05030114,Rivière des Envies,"Batiscan, Rivière",23,2002,2024,0.05,52
05220004,Rivière l'Assomption,"L'Assomption, Rivière",23,2002,2024,0.05,48
06200001,Rivière Ticouapé,"Saguenay, Rivière",23,2002,2024,0.05,28
02340051,Bras d'Henri,"Chaudière, Rivière",23,2002,2024,0.049,36
02400005,Rivière Bécancour,"Bécancour, Rivière",23,2002,2024,0.046,12
03090003,Rivière Châteauguay,"Châteauguay, Rivière",23,2002,2024,0.042,67
05220003,Rivière l'Assomption,"L'Assomption, Rivière",23,2002,2024,0.04,54
02250005,Rivière du Loup,"Loup, Rivière du",23,2002,2024,0.038,63
00000079,Fleuve Saint-Laurent,,23,2002,2024,0.037,63
02E90001,Rivière Fouquette,"Fouquette, Rivière",23,2002,2024,0.037,36
04010008,Rivière du Nord,"Outaouais, Rivière des",23,2002,2024,0.036,59
02300002,Rivière Boyer Sud,"Boyer, Rivière",23,2002,2024,0.033,19
02300003,Rivière Boyer Nord,"Boyer, Rivière",23,2002,2024,0.033,22
02340034,Rivière Beaurivage,"Chaudière, Rivière",23,2002,2024,0.033,58
