no_bqma,hydronyme,description,type_station,type_suivi,annee,n_echant,iqbp_med,ptot_med_mgl,ntot_med_mgl,nox_med_mgl,chla_med_ugl,cf_med_ufc,latitude,longitude,bv_n1m,bv_n2m,zgiebv,zgiesl
02340050,Rivière Chaudière,"CHAUDIÈRE AU PONT-ROUTE 132 À SAINT-ROMUALD À 1,3 KM DE L'EMBOUCHURE",RR,6 mois,2000,6,0,0.041,0.95,0.31,4.95,6000,46.73636,-71.282359,"Chaudière, Rivière",,Chaudière,Québec
02260002,Rivière Kamouraska,"KAMOURASKA (AUX PERLES) AU PONT DE KAMOURASKA À 3,5 KM DE L'EMBOUCHURE",RR,6 mois,2001,7,26,0.038,2.1,1.51,7.08,280,47.551593,-69.843413,"Kamouraska, Rivière",,Kamouraska-L'Islet-du-Loup,Sud de l'estuaire moyen
02340050,Rivière Chaudière,"CHAUDIÈRE AU PONT-ROUTE 132 À SAINT-ROMUALD À 1,3 KM DE L'EMBOUCHURE",RR,6 mois,2001,12,6,0.036,1.08,0.25,4.73,5500,46.73636,-71.282359,"Chaudière, Rivière",,Chaudière,Québec
03040073,Ruisseau Ewing,RUISSEAU EWING AU PONT-ROUTE 202 À L'OUEST DE PIKE RIVER PRÈS DE L'EMBOUCHURE,RR,Autre,2001,17,40,0.049,2.07,1.46,2.12,215,45.119661,-73.078961,"Richelieu, Rivière","Brochets, Rivière aux",Baie Missisquoi,Station hors zone
03040075,Ruisseau au Castor,RUISSEAU AU CASTOR AU PONT DU CHEMIN DU MOULIN AU SUD DE PIKE RIVER PRÈS DE L'EMBOUCHURE,RR,Autre,2001,16,0,0.07,0.79,0.49,9.95,210,45.109622,-73.075568,"Richelieu, Rivière","Brochets, Rivière aux",Baie Missisquoi,Station hors zone
05040002,Rivière Sainte-Anne,SAINTE-ANNE AU PONT-ROUTE À SAINT-CASIMIR,AU,Autre,2001,3,69,0.023,0.31,0.19,2.38,58,46.655193,-72.139251,"Sainte-Anne, Rivière",,Sainte-Anne,Station hors zone
05040006,Rivière Blanche,"BLANCHE AU PONT DU RANG DE LA RIVIÈRE BLANCHE EST AU NORD-EST DE ST-CASIMIR; MÉTAUX : RIVE GAUCHE, 100 M EN AMONT",RR,8 mois,2001,8,46,0.075,0.94,0.7,2.88,475,46.673807,-72.13178,"Sainte-Anne, Rivière","Noire, Rivière",Sainte-Anne,Station hors zone
05040119,Rivière Charest,CHAREST AU PONT-ROUTE 354 AU NORD DE SAINTE-ANNE-DE-LA-PÉRADE,AU,Autre,2001,8,54,0.026,1.105,0.99,1.73,149,46.596113,-72.225273,"Sainte-Anne, Rivière","Charest, Rivière",Sainte-Anne,Estuaire fluvial
05040142,Ruisseau Gendron,RUISSEAU GENDRON AU PONT-ROUTE 159 PRÈS DE SON EMBOUCHURE,AU,Autre,2001,5,13,0.264,0.75,0.52,1.59,280,46.590334,-72.228179,"Sainte-Anne, Rivière","Charest, Rivière",Sainte-Anne,Estuaire fluvial
05040140,Rivière Blanche,BLANCHE AU PONT-ROUTE NADEAU PRÈS DE SAINT-THURIBE,AU,Autre,2001,4,32,0.094,1.14,0.95,4.82,1050,46.714506,-72.153781,"Sainte-Anne, Rivière","Noire, Rivière",Sainte-Anne,Station hors zone
