categorie,date,annee,mois,quart,pdq,localisation_disponible,access_date
Introduction,2015-01-01,2015,2015-01,jour,3,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2015-02-04,2015,2015-02,jour,44,TRUE,2026-06-21
Introduction,2015-03-11,2015,2015-03,soir,23,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2015-04-11,2015,2015-04,jour,23,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2015-05-12,2015,2015-05,soir,7,TRUE,2026-06-21
Vol de véhicule à moteur,2015-06-10,2015,2015-06,jour,48,TRUE,2026-06-21
Méfait,2015-07-12,2015,2015-07,jour,26,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2015-08-12,2015,2015-08,jour,5,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2015-09-10,2015,2015-09,soir,16,TRUE,2026-06-21
Vols qualifiés,2015-10-08,2015,2015-10,soir,30,FALSE,2026-06-21
Introduction,2015-11-05,2015,2015-11,soir,20,TRUE,2026-06-21
Introduction,2015-12-04,2015,2015-12,soir,27,TRUE,2026-06-21
Introduction,2016-01-02,2016,2016-01,jour,31,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2016-02-05,2016,2016-02,jour,26,TRUE,2026-06-21
Introduction,2016-03-15,2016,2016-03,soir,26,TRUE,2026-06-21
Introduction,2016-04-18,2016,2016-04,soir,26,TRUE,2026-06-21
Méfait,2016-05-20,2016,2016-05,soir,13,TRUE,2026-06-21
Méfait,2016-06-21,2016,2016-06,jour,12,TRUE,2026-06-21
Vol de véhicule à moteur,2016-07-20,2016,2016-07,jour,15,TRUE,2026-06-21
Introduction,2016-08-21,2016,2016-08,jour,44,TRUE,2026-06-21
Vol de véhicule à moteur,2016-09-19,2016,2016-09,nuit,13,TRUE,2026-06-21
Introduction,2016-10-19,2016,2016-10,soir,7,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2016-11-17,2016,2016-11,soir,42,TRUE,2026-06-21
Introduction,2016-12-19,2016,2016-12,jour,30,TRUE,2026-06-21
Introduction,2017-01-24,2017,2017-01,soir,42,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2017-03-01,2017,2017-03,nuit,38,FALSE,2026-06-21
Vol dans / sur véhicule à moteur,2017-04-05,2017,2017-04,jour,15,TRUE,2026-06-21
Vols qualifiés,2017-05-09,2017,2017-05,nuit,49,TRUE,2026-06-21
Méfait,2017-06-12,2017,2017-06,jour,23,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2017-07-13,2017,2017-07,jour,45,TRUE,2026-06-21
Méfait,2017-08-14,2017,2017-08,nuit,5,TRUE,2026-06-21
Vol de véhicule à moteur,2017-09-12,2017,2017-09,nuit,39,TRUE,2026-06-21
Introduction,2017-10-15,2017,2017-10,soir,21,TRUE,2026-06-21
Vols qualifiés,2017-11-13,2017,2017-11,soir,50,TRUE,2026-06-21
Méfait,2017-12-16,2017,2017-12,soir,22,TRUE,2026-06-21
Vol de véhicule à moteur,2018-01-30,2018,2018-01,nuit,9,TRUE,2026-06-21
Méfait,2018-03-10,2018,2018-03,jour,4,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2018-04-18,2018,2018-04,soir,23,TRUE,2026-06-21
Méfait,2018-05-28,2018,2018-05,jour,21,FALSE,2026-06-21
Vol dans / sur véhicule à moteur,2018-07-06,2018,2018-07,soir,15,TRUE,2026-06-21
Introduction,2018-08-11,2018,2018-08,jour,45,TRUE,2026-06-21
Méfait,2018-09-14,2018,2018-09,jour,15,FALSE,2026-06-21
Vols qualifiés,2018-10-19,2018,2018-10,soir,23,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2018-11-25,2018,2018-11,soir,21,FALSE,2026-06-21
Introduction,2019-01-08,2019,2019-01,jour,48,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2019-02-24,2019,2019-02,soir,20,FALSE,2026-06-21
Méfait,2019-04-07,2019,2019-04,jour,33,TRUE,2026-06-21
Méfait,2019-05-16,2019,2019-05,jour,13,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2019-06-23,2019,2019-06,jour,39,TRUE,2026-06-21
Méfait,2019-08-03,2019,2019-08,jour,23,TRUE,2026-06-21
Vol de véhicule à moteur,2019-09-11,2019,2019-09,jour,26,TRUE,2026-06-21
Méfait,2019-10-16,2019,2019-10,soir,15,TRUE,2026-06-21
Introduction,2019-11-21,2019,2019-11,soir,8,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2020-01-01,2020,2020-01,soir,21,FALSE,2026-06-21
Méfait,2020-02-12,2020,2020-02,soir,38,TRUE,2026-06-21
Méfait,2020-03-21,2020,2020-03,soir,23,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2020-05-17,2020,2020-05,nuit,45,TRUE,2026-06-21
Introduction,2020-07-02,2020,2020-07,jour,21,TRUE,2026-06-21
Méfait,2020-08-16,2020,2020-08,jour,31,TRUE,2026-06-21
Méfait,2020-09-23,2020,2020-09,jour,23,TRUE,2026-06-21
Méfait,2020-10-27,2020,2020-10,jour,48,TRUE,2026-06-21
Méfait,2020-12-05,2020,2020-12,jour,48,TRUE,2026-06-21
Introduction,2021-01-27,2021,2021-01,jour,3,TRUE,2026-06-21
Vol de véhicule à moteur,2021-03-26,2021,2021-03,jour,27,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2021-05-11,2021,2021-05,jour,26,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2021-06-21,2021,2021-06,soir,38,FALSE,2026-06-21
Introduction,2021-07-27,2021,2021-07,jour,15,TRUE,2026-06-21
Méfait,2021-08-31,2021,2021-08,jour,15,TRUE,2026-06-21
Introduction,2021-10-03,2021,2021-10,soir,38,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2021-11-05,2021,2021-11,nuit,26,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2021-12-09,2021,2021-12,nuit,21,TRUE,2026-06-21
Vol de véhicule à moteur,2022-01-21,2022,2022-01,soir,8,TRUE,2026-06-21
Vols qualifiés,2022-03-03,2022,2022-03,soir,15,TRUE,2026-06-21
Méfait,2022-04-08,2022,2022-04,jour,38,TRUE,2026-06-21
Méfait,2022-05-11,2022,2022-05,jour,50,TRUE,2026-06-21
Introduction,2022-06-12,2022,2022-06,soir,9,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2022-07-13,2022,2022-07,soir,20,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2022-08-15,2022,2022-08,soir,31,TRUE,2026-06-21
Méfait,2022-09-12,2022,2022-09,jour,39,TRUE,2026-06-21
Vol de véhicule à moteur,2022-10-10,2022,2022-10,jour,23,TRUE,2026-06-21
Vol de véhicule à moteur,2022-11-07,2022,2022-11,jour,45,TRUE,2026-06-21
Introduction,2022-12-12,2022,2022-12,jour,7,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2023-01-16,2023,2023-01,jour,21,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2023-02-19,2023,2023-02,jour,38,FALSE,2026-06-21
Vols qualifiés,2023-03-25,2023,2023-03,jour,21,FALSE,2026-06-21
Vol dans / sur véhicule à moteur,2023-04-26,2023,2023-04,soir,21,TRUE,2026-06-21
Vols qualifiés,2023-05-25,2023,2023-05,jour,44,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2023-06-26,2023,2023-06,jour,26,TRUE,2026-06-21
Introduction,2023-07-26,2023,2023-07,nuit,23,TRUE,2026-06-21
Vol de véhicule à moteur,2023-08-22,2023,2023-08,nuit,39,TRUE,2026-06-21
Introduction,2023-09-21,2023,2023-09,soir,26,TRUE,2026-06-21
Vols qualifiés,2023-10-20,2023,2023-10,nuit,22,FALSE,2026-06-21
Vol dans / sur véhicule à moteur,2023-11-20,2023,2023-11,soir,21,TRUE,2026-06-21
Méfait,2023-12-21,2023,2023-12,jour,39,TRUE,2026-06-21
Vols qualifiés,2024-01-26,2024,2024-01,jour,21,TRUE,2026-06-21
Introduction,2024-03-02,2024,2024-03,nuit,42,TRUE,2026-06-21
Vol dans / sur véhicule à moteur,2024-04-04,2024,2024-04,jour,44,TRUE,2026-06-21
Vol de véhicule à moteur,2024-05-08,2024,2024-05,nuit,27,TRUE,2026-06-21
Vol de véhicule à moteur,2024-06-08,2024,2024-06,jour,38,TRUE,2026-06-21
Méfait,2024-07-10,2024,2024-07,jour,10,FALSE,2026-06-21
Méfait,2024-08-11,2024,2024-08,jour,30,TRUE,2026-06-21
Vol de véhicule à moteur,2024-09-11,2024,2024-09,soir,10,TRUE,2026-06-21
Vol de véhicule à moteur,2024-10-12,2024,2024-10,soir,38,TRUE,2026-06-21
Vol de véhicule à moteur,2024-11-12,2024,2024-11,nuit,23,TRUE,2026-06-21
Vol de véhicule à moteur,2024-12-17,2024,2024-12,soir,20,TRUE,2026-06-21
Vol de véhicule à moteur,2025-01-26,2025,2025-01,soir,42,FALSE,2026-06-21
Introduction,2025-03-11,2025,2025-03,soir,7,TRUE,2026-06-21
Vol de véhicule à moteur,2025-04-14,2025,2025-04,soir,38,TRUE,2026-06-21
Vol de véhicule à moteur,2025-05-17,2025,2025-05,jour,7,TRUE,2026-06-21
Méfait,2025-06-19,2025,2025-06,jour,39,FALSE,2026-06-21
Vol dans / sur véhicule à moteur,2025-07-24,2025,2025-07,soir,21,TRUE,2026-06-21
Méfait,2025-08-28,2025,2025-08,jour,9,FALSE,2026-06-21
Introduction,2025-10-02,2025,2025-10,soir,30,TRUE,2026-06-21
Méfait,2025-11-06,2025,2025-11,jour,12,TRUE,2026-06-21
Vols qualifiés,2025-12-15,2025,2025-12,soir,31,TRUE,2026-06-21
Méfait,2026-01-29,2026,2026-01,nuit,42,TRUE,2026-06-21
Méfait,2026-03-14,2026,2026-03,soir,21,FALSE,2026-06-21
Introduction,2026-04-24,2026,2026-04,jour,38,TRUE,2026-06-21
Vol de véhicule à moteur,2026-05-28,2026,2026-05,jour,39,FALSE,2026-06-21
Vols qualifiés,2026-07-09,2026,2026-07,jour,45,TRUE,2026-06-21
