bibliotheque,region_administrative,population_desservie,categorie_bibliotheque,modalites_abonnement,visites_total,prets_total,usagers_inscrits_total,activites_total,depenses_fonctionnement_total
Amqui,01: Bas-Saint-Laurent,6129,Publique relevant directement d'une municipalité,Gratuite,NA,32871,1625,NA,197782.38
Matane,01: Bas-Saint-Laurent,16954,Publique relevant directement d'une municipalité,Gratuite,52306,82167,2380,170,809284.31
Mont-Joli,01: Bas-Saint-Laurent,7402,Publique relevant directement d'une municipalité,Gratuite,19217,48365,1656,99,508236
Rivière-du-Loup,01: Bas-Saint-Laurent,20472,Publique relevant directement d'une municipalité,Gratuite,112570,159184,8197,924,971743.8
Alma,02: Saguenay-Lac-Saint-Jean,30649,Publique relevant directement d'une municipalité,Gratuite,55024,153411,9732,450,1166488.45
Dolbeau-Mistassini,02: Saguenay-Lac-Saint-Jean,13717,Publique relevant directement d'une municipalité,Gratuite,21752,76923,2245,25,538498.29
Roberval,02: Saguenay-Lac-Saint-Jean,9887,Publique relevant directement d'une municipalité,Gratuite,12548,36480,943,90,599001.4
Saint-Félicien,02: Saguenay-Lac-Saint-Jean,10224,Publique relevant directement d'une municipalité,Gratuite,14242,43585,1296,60,298979.7
Baie-Saint-Paul,03: Capitale-Nationale,7600,Publique relevant directement d'une municipalité,Gratuite,21495,36748,1673,7,274125.13
Donnacona,03: Capitale-Nationale,7653,Publique relevant directement d'une municipalité,Gratuite,9490,29635,3107,39,219017.26
La Malbaie,03: Capitale-Nationale,8442,Publique relevant directement d'une municipalité,Gratuite,50119,54293,2340,231,453213.93
Lac-Beauport,03: Capitale-Nationale,8396,Publique relevant directement d'une municipalité,Gratuite,27620,52454,2278,8,327096.66
Québec,03: Capitale-Nationale,583336,Publique relevant directement d'une municipalité,Gratuite,3912319,3389902,203355,2189,23995138
Saint-Augustin-de-Desmaures,03: Capitale-Nationale,20590,Publique relevant directement d'une municipalité,Gratuite,56353,133258,4710,111,1106577.66
Sainte-Brigitte-de-Laval,03: Capitale-Nationale,8781,Publique relevant directement d'une municipalité,Gratuite,10057,22158,1400,4,128303.22
Shannon,03: Capitale-Nationale,6903,Publique relevant directement d'une municipalité,Gratuite,9752,21592,1600,16,251599.82
Stoneham-et-Tewkesbury,03: Capitale-Nationale,9947,Publique relevant directement d'une municipalité,Gratuite,19720,49284,2108,17,193160.01
La Tuque,04: Mauricie,11893,Publique relevant directement d'une municipalité,Gratuite,25170,34433,1366,53,436772.2
Louiseville,04: Mauricie,7565,Publique relevant directement d'une municipalité,Gratuite,12841,22782,666,36,204777.58
Shawinigan,04: Mauricie,51149,Publique relevant directement d'une municipalité,Gratuite,102102,197886,6841,375,1719490.26
Trois-Rivières,04: Mauricie,144472,Publique relevant directement d'une municipalité,Gratuite,1300000,1011769,46855,1658,6657450.8
Coaticook,05: Estrie,8893,Publique relevant d'une corporation distincte de la municipalité,Gratuite,21685,38181,2228,261,368370.84
Magog,05: Estrie,28790,Publique relevant directement d'une municipalité,Gratuite,387148,230962,9225,365,1618240
Sherbrooke,05: Estrie,181360,Publique relevant directement d'une municipalité,Gratuite,569931,962332,41484,916,5842582.62
Windsor,05: Estrie,9704,Publique relevant directement d'une municipalité,Gratuite,NA,127634,2722,33,434079
Baie-D'Urfé,06: Montréal,3710,Publique relevant d'une corporation distincte de la municipalité,Gratuite,18025,11666,1843,38,170199
Côte-Saint-Luc,06: Montréal,37833,Publique relevant directement d'une municipalité,Gratuite,322456,257599,9454,441,3879090.77
Dollard-des-Ormeaux,06: Montréal,50171,Publique relevant directement d'une municipalité,Gratuite,319271,289170,11164,519,4097761.39
Kirkland,06: Montréal,38854,Publique relevant directement d'une municipalité,Gratuite,131659,192058,7317,998,2299206.18
Montréal,06: Montréal,1895211,Publique relevant directement d'une municipalité,Gratuite,15064298,10830870,437258,29464,131577298
Montréal-Est,06: Montréal,4808,Publique relevant directement d'une municipalité,Gratuite,NA,26797,1204,140,634049.15
Pointe-Claire,06: Montréal,35429,Publique relevant directement d'une municipalité,Gratuite,188423,395301,18948,1883,3948998
Sainte-Anne-de-Bellevue,06: Montréal,6396,Publique relevant directement d'une municipalité,Gratuite,20487,23318,1557,82,392759.19
CRSBP de l'Outaouais inc.,07: Outaouais,55229,NA,NA,77709,137622,13216,2089,1100934
Cantley,07: Outaouais,12001,Publique relevant directement d'une municipalité,Gratuite,22677,42702,2758,25,291301.36
