id_quartier,nom_quartier,superficie_quartier_m2,perimetre_quartier_m,nombre_permis,nombre_permis_construction_batiment_principal,nombre_permis_renovation_agrandissement,nombre_permis_constructions_amenagements_accessoires,nombre_permis_lotissement,annee_min_permis
2,Cap-Rouge,12726112.15,19159.71,4206,215,676,725,62,2020
26,Chutes-Montmorency,9078835.08,13907.24,1478,37,413,402,56,2020
3,Cité-Universitaire,7953337.66,12535.04,1608,32,350,106,48,2020
5,Des Châtels,9119719.39,15875.99,1633,91,408,493,43,2020
6,Duberger—Les Saules,19416818.28,25640.23,2678,40,653,645,101,2020
21,Jésuites,4822793.69,9816.46,1404,25,376,426,40,2020
7,L'Aéroport,54637718.8,41350.76,1967,73,366,519,58,2020
8,Lac-Saint-Charles,38498015.84,37213.26,1863,44,453,567,70,2020
9,Lairet,3135722.72,7584.09,1058,14,533,94,47,2020
11,Loretteville,20248999.29,40245.8,2012,67,614,441,81,2020
12,Maizerets,4611181.5,12066.82,1073,25,461,65,26,2020
13,Montcalm,1749967.56,6229.63,1646,5,938,89,70,2020
14,Neufchatel Est—Lebourgneuf,22983547.71,22344.72,3779,215,799,1023,107,2020
15,Notre-Dame-des-Laurentides,36235748.52,29340.62,2414,217,637,746,98,2020
19,Orsainville,7632397.43,11932.18,1505,24,418,558,32,2020
16,Plateau,3558873.68,8403.63,1298,36,335,184,53,2020
18,Pointe-de-Sainte-Foy,4280196.15,13145.74,1038,21,161,124,33,2020
20,Quartier 4-3,11482891,15675.23,1274,30,248,469,51,2020
22,Quartier 4-5,3609395.97,8856.02,1157,21,373,289,35,2020
23,Quartier 4-6,2693688.05,7337.18,491,11,176,69,17,2020
25,Quartier 5-2,9177998.91,14044.27,2072,36,352,707,80,2020
1,Saint-Jean-Baptiste,679518.44,3780.16,1073,6,584,21,24,2020
17,Saint-Louis,6014085.07,13678.98,2170,37,461,241,103,2020
30,Saint-Roch,1533394.36,6443.04,1207,11,459,52,49,2020
29,Saint-Sacrement,1704353.31,6571.86,1128,11,577,69,57,2020
31,Saint-Sauveur,3964718.29,14966.89,2191,32,1190,81,49,2020
28,Saint-Émile,10511773.06,21180.88,2005,200,461,735,69,2020
24,Sainte-Thérèse-de-Lisieux,44696726.68,27807.09,3304,473,900,953,214,2020
32,Sillery,7578461.27,18725.23,3323,81,930,390,102,2020
33,Val-Bélair,74406815.73,44313.76,4856,517,1177,1424,245,2020
34,Vanier,6254988.91,10550.55,977,10,279,80,29,2020
27,Vieux-Bourg,6696164.97,11797.67,2072,81,614,417,92,2020
10,Vieux-Limoilou,2436574.72,8744.68,1773,17,1096,68,37,2020
35,Vieux-Moulin,9248150.87,18256.74,1097,19,339,173,33,2020
4,Vieux-Québec—Cap-Blanc—Colline parlementaire,4293772.7,13796.74,2113,4,896,96,40,2020
