source_resource,resource_label,network_category,unit_kind,source_row,date_maj_source,code_organisme,code_immeuble,code_css,nom
collegial,Établissements collégiaux,Collégial,Établissement,1,NA,020510,NA,NA,Conservatoire de musique de Rimouski
collegial,Établissements collégiaux,Collégial,Établissement,119,NA,693703,NA,NA,Institut Trebas Québec inc.
collegial,Établissements collégiaux,Collégial,Établissement,237,NA,915090,NA,NA,CÉRSÉ - Centre d'études en responsabilité sociale et écocitoyenneté
gouvernemental,Établissements gouvernementaux,Gouvernemental,Établissement,25,NA,036600,NA,NA,Kateri School
prive_etablissement,Établissements privés,Privé,Établissement,104,NA,244500,NA,NA,École Marie-Clarac
prive_etablissement,Établissements privés,Privé,Établissement,222,NA,605500,NA,NA,École Montessori Magog
prive_installation,Installations privées,Privé,Installation,89,NA,127501,NA,NA,"Collège Notre-Dame-de-l'Assomption, campus français"
prive_installation,Installations privées,Privé,Installation,207,NA,349501,NA,NA,Externat Mont-Jésus-Marie
prive_installation,Installations privées,Privé,Installation,325,NA,625502,NA,NA,École Trilingue Vision St-Jean
public_ecole,Écoles publiques,Public,Lien école-immeuble,84,NA,712002,712039,712000,École de l'Estran
public_ecole,Écoles publiques,Public,Lien école-immeuble,202,NA,714003,714084,714000,École des Vieux-Moulins et Saint-Modeste
public_ecole,Écoles publiques,Public,Lien école-immeuble,320,NA,721085,721069,721000,École secondaire des Grandes-Rivières
public_ecole,Écoles publiques,Public,Lien école-immeuble,438,NA,722461,723073,722000,Centre de formation professionnelle Alma
public_ecole,Écoles publiques,Public,Lien école-immeuble,556,NA,731003,731018,731000,École Les Marées montantes
public_ecole,Écoles publiques,Public,Lien école-immeuble,674,NA,732476,732075,732000,École hôtelière de la Capitale
public_ecole,Écoles publiques,Public,Lien école-immeuble,792,NA,734065,734065,734000,École Le Sommet
public_ecole,Écoles publiques,Public,Lien école-immeuble,910,NA,741155,741046,741000,École intégrée des Forges
public_ecole,Écoles publiques,Public,Lien école-immeuble,1028,NA,742352,742121,742000,Centre d'éducation des adultes du Saint-Maurice
public_ecole,Écoles publiques,Public,Lien école-immeuble,1146,NA,742461,742063,742000,École forestière de La Tuque - Formation professionnelle
public_ecole,Écoles publiques,Public,Lien école-immeuble,1264,NA,752021,752135,752000,École Notre-Dame-du-Rosaire
