creation_date_time,incident_type,description_groupe,caserne,nom_ville,nom_arrond,division,nombre_unites
2025-01-01T00:02:31Z,Appel de Cie de détection,Alarmes-incendies,64,Montréal,Lachine,2,3
2025-01-05T19:32:54Z,Premier répondant,1-REPOND,73,Montréal,Saint-Laurent,3,1
2025-01-10T11:41:06Z,Premier répondant,1-REPOND,38,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2025-01-15T01:50:29Z,Premier répondant,1-REPOND,13,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-01-19T18:17:21Z,Premier répondant,1-REPOND,49,Montréal,Ahuntsic-Cartierville,3,1
2025-01-24T09:55:01Z,Premier répondant,1-REPOND,47,Montréal,Rosemont-La Petite-Patrie,5,1
2025-01-28T10:52:41Z,Premier répondant,1-REPOND,5,Montréal,Ville-Marie,6,1
2025-02-01T11:27:10Z,Premier répondant,1-REPOND,41,Montréal,Villeray-Saint-Michel-Parc-Extension,5,1
2025-02-05T11:55:10Z,Aliments surchauffés,SANS FEU,16,Montréal,Le Plateau-Mont-Royal,6,2
2025-02-09T09:23:07Z,Premier répondant,1-REPOND,66,Montréal,Verdun,2,1
2025-02-13T17:27:03Z,Premier répondant,1-REPOND,74,Mont-Royal,Indéterminé,3,1
2025-02-17T16:32:26Z,Appel de Cie de détection,Alarmes-incendies,52,Baie-d'Urfé,Indéterminé,1,4
2025-02-21T14:17:40Z,Premier répondant,1-REPOND,49,Montréal,Ahuntsic-Cartierville,3,1
2025-02-25T19:02:33Z,Premier répondant,1-REPOND,49,Montréal,Ahuntsic-Cartierville,3,1
2025-03-02T05:50:37Z,Premier répondant,1-REPOND,39,Montréal,Mercier-Hochelaga-Maisonneuve,4,1
2025-03-06T18:50:50Z,Premier répondant,1-REPOND,18,Montréal,Montréal-Nord,4,1
2025-03-11T20:32:00Z,Déchets en feu,AUTREFEU,37,Montréal,Villeray-Saint-Michel-Parc-Extension,3,1
2025-03-17T03:04:28Z,Premier répondant,1-REPOND,57,Montréal,Pierrefonds-Roxboro,1,1
2025-03-22T08:35:44Z,Premier répondant,1-REPOND,67,Montréal,Verdun,2,1
2025-03-27T14:31:06Z,Ac.véh./1R/s.v./ext/29B/D,1-REPOND,9,Montréal,Villeray-Saint-Michel-Parc-Extension,4,2
2025-04-01T19:44:57Z,Aliments surchauffés,SANS FEU,75,Montréal,Outremont,5,3
2025-04-06T18:02:49Z,Premier répondant,1-REPOND,41,Montréal,Villeray-Saint-Michel-Parc-Extension,5,1
2025-04-11T17:12:52Z,Aliments surchauffés,SANS FEU,27,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,3
2025-04-16T18:37:45Z,Premier répondant,1-REPOND,47,Montréal,Rosemont-La Petite-Patrie,5,1
2025-04-21T20:35:13Z,Premier répondant,1-REPOND,37,Montréal,Villeray-Saint-Michel-Parc-Extension,3,1
2025-04-26T17:52:03Z,Premier répondant,1-REPOND,32,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2025-04-30T17:18:16Z,Assistance serv. muni.,SANS FEU,19,Montréal,Ville-Marie,6,1
2025-05-05T03:00:26Z,Premier répondant,1-REPOND,72,Montréal,Saint-Laurent,3,1
2025-05-09T21:55:06Z,Premier répondant,1-REPOND,30,Montréal,Le Plateau-Mont-Royal,5,1
2025-05-14T12:16:44Z,Premier répondant,1-REPOND,65,Montréal,LaSalle,2,1
2025-05-18T08:44:38Z,10-22 sans feu,SANS FEU,30,Montréal,Le Plateau-Mont-Royal,6,6
2025-05-23T03:25:22Z,Appel de Cie de détection,Alarmes-incendies,19,Montréal,Ville-Marie,6,5
2025-05-27T20:19:15Z,Premier répondant,1-REPOND,41,Montréal,Villeray-Saint-Michel-Parc-Extension,5,1
2025-06-01T12:04:01Z,Problèmes électriques,SANS FEU,33,Montréal,Le Sud-Ouest,2,1
2025-06-05T16:00:55Z,Alarme vérification,Alarmes-incendies,75,Montréal,Outremont,5,2
2025-06-09T14:47:05Z,Premier répondant,1-REPOND,40,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-06-13T23:07:59Z,Premier répondant,1-REPOND,73,Montréal,Saint-Laurent,3,1
2025-06-18T09:17:08Z,Premier répondant,1-REPOND,50,Montréal,Rosemont-La Petite-Patrie,5,1
2025-06-22T08:07:01Z,Appel Cie détection CO F7/CO,SANS FEU,30,Montréal,Le Plateau-Mont-Royal,3,5
2025-06-26T08:35:14Z,Premier répondant,1-REPOND,40,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-06-30T19:52:36Z,Premier répondant,1-REPOND,35,Montréal,Ahuntsic-Cartierville,3,1
2025-07-05T01:37:13Z,Premier répondant,1-REPOND,15,Montréal,Le Sud-Ouest,2,1
2025-07-09T14:18:54Z,Premier répondant,1-REPOND,32,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2025-07-13T14:05:37Z,10-22 sans feu,SANS FEU,41,Montréal,Villeray-Saint-Michel-Parc-Extension,5,6
2025-07-17T00:48:25Z,Problèmes électriques,SANS FEU,27,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2025-07-21T12:34:09Z,Acc. sans vict. sfeu - pont,SANS FEU,19,Montréal,Ville-Marie,6,2
2025-07-26T00:41:42Z,Premier répondant,1-REPOND,19,Montréal,Ville-Marie,6,1
2025-07-30T11:11:58Z,Premier répondant,1-REPOND,18,Montréal,Montréal-Nord,4,1
2025-08-03T23:22:22Z,Sauvetage en hauteur / 10-22,SANS FEU,73,Montréal,Saint-Laurent,3,2
2025-08-08T15:22:14Z,Déchets en feu,AUTREFEU,49,Montréal,Ahuntsic-Cartierville,3,1
2025-08-12T16:08:51Z,Premier répondant,1-REPOND,57,Montréal,Pierrefonds-Roxboro,1,1
2025-08-16T17:33:10Z,Premier répondant,1-REPOND,14,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2025-08-21T13:19:24Z,Premier répondant,1-REPOND,57,Montréal,Pierrefonds-Roxboro,1,1
2025-08-25T18:41:03Z,Aliments surchauffés,SANS FEU,42,Montréal,Ahuntsic-Cartierville,3,4
2025-08-30T12:22:15Z,Odeur suspecte - gaz,SANS FEU,55,Pointe-Claire,Indéterminé,1,2
2025-09-03T18:03:30Z,Premier répondant,1-REPOND,17,Montréal,Montréal-Nord,4,1
2025-09-07T19:58:40Z,Premier répondant,1-REPOND,75,Montréal,Outremont,3,2
2025-09-12T04:46:56Z,Ac.véh./1R/s.v./V.R./29B/D,1-REPOND,76,Westmount,Indéterminé,2,4
2025-09-16T13:50:28Z,Ac.véh./1R/s.v./ext/29B/D,1-REPOND,46,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,2,1
2025-09-20T19:31:02Z,Premier répondant,1-REPOND,18,Montréal,Montréal-Nord,4,1
2025-09-25T07:53:41Z,Ac.véh./1R/s.v./V.R./29B/D,1-REPOND,64,Montréal,Lachine,2,3
2025-09-29T16:22:50Z,Premier répondant,1-REPOND,39,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-10-03T15:28:46Z,Premier répondant,1-REPOND,34,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2025-10-07T10:20:55Z,10-22 sans feu,SANS FEU,27,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,7
2025-10-11T18:46:36Z,Déchets en feu,AUTREFEU,13,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-10-16T13:30:49Z,Premier répondant,1-REPOND,19,Montréal,Ville-Marie,6,1
2025-10-20T15:22:52Z,Acc. sans victime sfeu - ext.,SANS FEU,38,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,2
2025-10-25T01:08:02Z,Appel Cie détection CO F7/CO,SANS FEU,4,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,2
2025-10-29T19:16:55Z,Alarme privé ou locale,Alarmes-incendies,67,Montréal,Verdun,2,2
2025-11-02T19:50:00Z,Premier répondant,1-REPOND,20,Montréal,Ville-Marie,6,2
2025-11-07T14:25:14Z,Premier répondant,1-REPOND,28,Montréal,Anjou,4,1
2025-11-11T10:32:45Z,Structure dangereuse,SANS FEU,45,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-11-15T18:48:29Z,Appel de Cie de détection,Alarmes-incendies,74,Mont-Royal,Indéterminé,5,3
2025-11-20T12:10:14Z,Premier répondant,1-REPOND,41,Montréal,Villeray-Saint-Michel-Parc-Extension,5,1
2025-11-25T06:41:00Z,Ac.véh./1R/s.v./V.R./29B/D,1-REPOND,64,Montréal,Lachine,2,3
2025-11-29T17:02:35Z,Aide à un citoyen,SANS FEU,10,Montréal,Ville-Marie,6,1
2025-12-03T23:38:27Z,Déchets en feu,AUTREFEU,3,Montréal,Le Sud-Ouest,2,1
2025-12-08T08:19:25Z,Appel de Cie de détection,Alarmes-incendies,30,Montréal,Le Plateau-Mont-Royal,6,2
2025-12-12T12:44:54Z,Premier répondant,1-REPOND,40,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-12-17T11:54:59Z,Premier répondant,1-REPOND,25,Montréal,Ville-Marie,6,1
2025-12-22T06:11:36Z,Premier répondant,1-REPOND,56,Montréal,L'Île-Bizard-Sainte-Geneviève,1,1
2025-12-27T14:51:52Z,Appel de Cie de détection,Alarmes-incendies,9,Montréal,Villeray-Saint-Michel-Parc-Extension,4,4
2026-01-01T09:26:46Z,Premier répondant,1-REPOND,30,Montréal,Le Plateau-Mont-Royal,6,1
2026-01-06T07:54:20Z,Premier répondant,1-REPOND,5,Montréal,Ville-Marie,6,1
2026-01-11T10:42:24Z,Premier répondant,1-REPOND,14,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2026-01-17T00:53:20Z,Premier répondant,1-REPOND,21,Montréal,Saint-Léonard,4,1
2026-01-22T22:40:41Z,Premier répondant,1-REPOND,51,Sainte-Anne-de-Bellevue,Indéterminé,1,1
2026-01-27T09:17:45Z,Premier répondant,1-REPOND,56,Montréal,L'Île-Bizard-Sainte-Geneviève,1,1
2026-02-01T10:10:31Z,Premier répondant,1-REPOND,4,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2026-02-07T00:33:43Z,Ac.véh./1R/s.v./ext/29B/D,1-REPOND,21,Montréal,Saint-Léonard,4,2
2026-02-12T11:58:27Z,Appel de Cie de détection,Alarmes-incendies,21,Montréal,Saint-Léonard,4,2
2026-02-18T09:46:14Z,Appel de Cie de détection,Alarmes-incendies,50,Montréal,Rosemont-La Petite-Patrie,5,2
2026-02-24T15:03:38Z,Premier répondant,1-REPOND,55,Pointe-Claire,Indéterminé,1,1
2026-03-02T03:14:47Z,Appel de Cie de détection,Alarmes-incendies,19,Montréal,Ville-Marie,6,2
2026-03-08T05:12:59Z,Ac.véh./1R/s.v./V.R./29B/D,1-REPOND,23,Montréal,Le Sud-Ouest,2,2
2026-03-13T10:47:43Z,Appel de Cie de détection,Alarmes-incendies,23,Montréal,Le Sud-Ouest,2,1
2026-03-18T10:35:25Z,Premier répondant,1-REPOND,38,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2026-03-24T07:36:58Z,Premier répondant,1-REPOND,27,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2026-03-30T02:05:58Z,Premier répondant,1-REPOND,38,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2026-04-04T20:00:24Z,Premier répondant,1-REPOND,29,Montréal,Rosemont-La Petite-Patrie,5,1
2026-04-10T14:42:17Z,Ac.véh./1R/s.v./ext/29B/D,1-REPOND,71,Montréal,Saint-Laurent,3,2
2026-04-16T11:27:51Z,Premier répondant,1-REPOND,4,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2026-04-21T03:10:32Z,Déchets en feu,AUTREFEU,26,Montréal,Le Plateau-Mont-Royal,5,7
2026-04-26T05:25:53Z,Premier répondant,1-REPOND,40,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2026-04-30T19:26:06Z,Premier répondant,1-REPOND,37,Montréal,Villeray-Saint-Michel-Parc-Extension,5,1
2026-05-05T19:13:37Z,Premier répondant,1-REPOND,13,Montréal,Mercier-Hochelaga-Maisonneuve,5,2
2026-05-11T00:47:04Z,Aliments surchauffés,SANS FEU,18,Montréal,Montréal-Nord,4,1
2026-05-16T15:33:37Z,Premier répondant,1-REPOND,10,Montréal,Ville-Marie,6,2
2026-05-21T17:18:07Z,Premier répondant,1-REPOND,64,Montréal,Lachine,2,1
2026-05-26T17:43:35Z,Avertisseur de CO,SANS FEU,35,Montréal,Ahuntsic-Cartierville,3,2
2026-05-31T13:15:22Z,Premier répondant,1-REPOND,64,Montréal,Lachine,2,1
2026-06-04T22:21:13Z,Inondation,SANS FEU,29,Montréal,Rosemont-La Petite-Patrie,5,1
2026-06-09T13:08:19Z,Feu de champ *,AUTREFEU,46,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,2,1
2026-06-13T15:45:53Z,Surchauffe - véhicule,SANS FEU,42,Montréal,Ahuntsic-Cartierville,3,2
2026-06-18T13:28:19Z,Premier répondant,1-REPOND,30,Montréal,Le Plateau-Mont-Royal,6,1
2026-06-22T14:39:32Z,Premier répondant,1-REPOND,67,Montréal,Verdun,2,1
2026-06-27T11:45:56Z,Premier répondant,1-REPOND,53,Beaconsfield,Indéterminé,1,1
2026-07-01T18:19:39Z,10-22 sans feu,SANS FEU,20,Montréal,Ville-Marie,6,6
2026-07-05T16:27:35Z,Premier répondant,1-REPOND,42,Montréal,Ahuntsic-Cartierville,3,1
NA,Premier répondant,1-REPOND,48,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
