date,station_id,station_name,contaminant,n_heures_valides,moyenne,mediane,p95,maximum,source_year
2025-01-01,10200,Radisson,PM2.5-T640,24,0.22,0.175,0.43,0.514,2025
2025-01-04,10200,Radisson,PM2.5-T640,24,5.034,4.628,12.77,13.629,2025
2025-01-07,10200,Radisson,PM2.5-T640,24,2.515,2.372,4.014,6.435,2025
2025-01-10,10200,Radisson,PM2.5-T640,24,0.671,0.682,0.851,0.885,2025
2025-01-13,10200,Radisson,PM2.5-T640,24,2.211,2.339,4.198,4.532,2025
2025-01-16,10200,Radisson,PM2.5-T640,24,0.924,0.825,1.728,1.952,2025
2025-01-19,10200,Radisson,PM2.5-T640,24,3.985,3.814,5.38,5.52,2025
2025-01-22,10200,Radisson,PM2.5-T640,24,1.436,1.395,1.852,1.878,2025
2025-01-25,10200,Radisson,PM2.5-T640,24,0.906,0.726,1.509,4.181,2025
2025-01-29,10200,Radisson,PM2.5-T640,24,2.881,2.786,3.399,3.683,2025
2025-02-01,10200,Radisson,PM2.5-T640,24,1.834,1.738,3.208,3.308,2025
2025-02-04,10200,Radisson,PM2.5-T640,24,4.366,4.165,7.489,8.243,2025
2025-02-07,10200,Radisson,PM2.5-T640,24,4.648,2.707,10.919,11.316,2025
2025-02-10,10200,Radisson,PM2.5-T640,24,4.866,4.877,5.657,6.317,2025
2025-02-13,10200,Radisson,PM2.5-T640,24,3.35,3.168,4.158,4.253,2025
2025-02-16,10200,Radisson,PM2.5-T640,24,2.696,2.725,3.046,3.268,2025
2025-02-19,10200,Radisson,PM2.5-T640,24,1.707,1.702,2.288,2.385,2025
2025-02-22,10200,Radisson,PM2.5-T640,24,1.483,0.872,3.538,3.88,2025
2025-02-25,10200,Radisson,PM2.5-T640,24,4.26,3.599,6.082,6.165,2025
2025-02-28,10200,Radisson,PM2.5-T640,24,3.466,3.498,3.785,3.807,2025
2025-03-03,10200,Radisson,PM2.5-T640,24,1.935,1.929,2.386,2.617,2025
2025-03-06,10200,Radisson,PM2.5-T640,24,0.971,0.82,2.159,2.216,2025
2025-03-09,10200,Radisson,PM2.5-T640,24,0.715,0.712,0.904,0.914,2025
2025-03-12,10200,Radisson,PM2.5-T640,24,0.921,0.943,1.113,1.118,2025
2025-03-15,10200,Radisson,PM2.5-T640,24,2.126,1.585,4.597,5.724,2025
2025-03-18,10200,Radisson,PM2.5-T640,24,1.22,1.183,1.464,1.522,2025
2025-03-22,10200,Radisson,PM2.5-T640,24,3.423,3.448,4.31,4.447,2025
2025-03-25,10200,Radisson,PM2.5-T640,24,2.573,2.528,3.65,3.784,2025
2025-03-28,10200,Radisson,PM2.5-T640,24,2.99,2.878,3.409,3.428,2025
2025-03-31,10200,Radisson,PM2.5-T640,24,2.224,2.211,2.445,2.539,2025
2025-04-03,10200,Radisson,PM2.5-T640,24,2.067,2.011,2.479,2.53,2025
2025-04-06,10200,Radisson,PM2.5-T640,24,2.028,1.922,2.715,2.885,2025
2025-04-09,10200,Radisson,PM2.5-T640,24,2.037,1.93,2.831,2.891,2025
2025-04-12,10200,Radisson,PM2.5-T640,24,2.614,2.736,2.869,2.873,2025
2025-04-15,10200,Radisson,PM2.5-T640,24,3.104,2.866,4.213,4.231,2025
2025-04-18,10200,Radisson,PM2.5-T640,24,1.472,1.516,2.211,2.251,2025
2025-04-21,10200,Radisson,PM2.5-T640,24,1.25,1.227,1.515,1.582,2025
2025-04-24,10200,Radisson,PM2.5-T640,24,1.115,1.098,1.277,1.285,2025
2025-04-27,10200,Radisson,PM2.5-T640,24,2.337,2.174,2.717,2.861,2025
2025-04-30,10200,Radisson,PM2.5-T640,24,1.605,1.677,2.022,2.101,2025
2025-05-03,10200,Radisson,PM2.5-T640,24,2.396,2.607,2.759,2.92,2025
2025-05-06,10200,Radisson,PM2.5-T640,24,2.345,2.628,2.735,2.845,2025
