station_id,station_name,region_code,region_administrative,municipalite,type_milieu,date_ouverture,date_fermeture,annee_ouverture,annee_fermeture
1810,Auclair,1,Bas-Saint-Laurent,Auclair,Forêt,1989-11-06,NA,1989,NA
1830,Marguerite,1,Bas-Saint-Laurent,Sainte-Marguerite-Marie,Forêt,1991-03-01,1997-06-12,1991,1997
2610,Rés. F. Ashuapmushuan - Pemonca,2,Saguenay-Lac-Saint-Jean,La Doré,Forêt,1990-10-01,NA,1990,NA
2001,Saguenay - Hôtel de ville,2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,1975-01-13,1982-09-20,1975,1982
2004,Saguenay - Saint-Jean-Eudes,2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,1975-01-13,1985-06-30,1975,1985
2008,Saguenay - Pont Arnaud,2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,1975-05-09,1993-06-12,1975,1993
2012,Saguenay - Morrisson,2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,1977-04-19,1983-07-29,1977,1983
2020,Saguenay - Racine,2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,1978-01-05,2001-05-07,1978,2001
2022,Saguenay - UQAC,2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,2002-09-24,NA,2002,NA
2201,Saguenay - Sainte-Cécile (1),2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,1982-01-07,1988-05-21,1982,1988
2205,Saguenay - du Port,2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,1986-11-04,1993-07-30,1986,1993
2207,Saguenay - Usine de filtration,2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,1993-08-05,1997-10-25,1993,1997
2621,Saguenay - Père Honorat,2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,1990-02-16,2013-10-07,1990,2013
2623,Saguenay - Saint-Henri,2,Saguenay-Lac-Saint-Jean,Saguenay,Urbain,1998-02-11,2000-07-20,1998,2000
3202,Deschambault-ALCOA,3,Capitale-Nationale,Deschambault-Grondines,Agricole,2004-06-11,2010-10-26,2004,2010
3713,Forêt Montmorency,3,Capitale-Nationale,Lac-Jacques-Cartier,Forêt,1988-05-01,1996-12-31,1988,1996
3003,Québec - Saint-Roch,3,Capitale-Nationale,Québec,Urbain,1975-01-01,1981-03-15,1975,1981
3005,Québec - Bardy,3,Capitale-Nationale,Québec,Urbain,1975-01-01,1980-11-25,1975,1980
3007,Québec - Dollard,3,Capitale-Nationale,Québec,Urbain,1975-01-01,1993-04-19,1975,1993
3011,Québec - Bibl. Monique-Corriveau,3,Capitale-Nationale,Québec,Urbain,2014-01-10,2025-07-12,2014,2025
3013,Québec - Port (B.P),3,Capitale-Nationale,Québec,Urbain,1994-01-02,1994-12-28,1994,1994
3015,Québec - Henri-Bourassa,3,Capitale-Nationale,Québec,Urbain,1976-07-05,1995-04-03,1976,1995
3017,Québec - Gomin,3,Capitale-Nationale,Québec,Urbain,1979-12-01,1998-08-17,1979,1998
3020,Québec - Parc Victorin-Beaucage,3,Capitale-Nationale,Québec,Urbain,1986-01-02,NA,1986,NA
3023,Québec - Saint-Ange,3,Capitale-Nationale,Québec,Urbain,1991-01-03,2005-10-11,1991,2005
3030,Québec - La Canardière,3,Capitale-Nationale,Québec,Urbain,1992-01-07,1992-12-20,1992,1992
3033,Québec - Place Jaques-Cartier,3,Capitale-Nationale,Québec,Urbain,1992-01-07,1992-12-20,1992,1992
3035,"Québec - Port, Édifice 85",3,Capitale-Nationale,Québec,Urbain,1992-01-07,1992-12-20,1992,1992
3037,"Québec - Port, Édifice 5208",3,Capitale-Nationale,Québec,Urbain,1992-01-07,1992-12-20,1992,1992
3042,Québec - École Montmorency,3,Capitale-Nationale,Québec,Urbain,1977-01-12,1983-12-26,1977,1983
3055,Québec - Dorchester,3,Capitale-Nationale,Québec,Urbain,1975-01-01,1983-10-20,1975,1983
3090,Québec - Presbytère,3,Capitale-Nationale,Québec,Urbain,1979-01-03,1983-12-26,1979,1983
3093,Québec - Vitré,3,Capitale-Nationale,Québec,Urbain,1981-03-03,2025-07-12,1981,2025
3097,Québec - CLSC Basse-Ville,3,Capitale-Nationale,Québec,Urbain,2017-12-19,2019-09-30,2017,2019
3701,Sainte-Catherine-de-la-Jacques-Cartier,3,Capitale-Nationale,Sainte-Catherine-de-la-Jacques-Cartier,Agricole,1995-04-10,2018-04-12,1995,2018
4402,La Tuque - Du parc roulotte,4,Mauricie,La Tuque,Urbain,1987-03-04,1989-02-06,1987,1989
4418,La Tuque - Saint-Michel,4,Mauricie,La Tuque,Urbain,1987-03-04,2001-05-31,1987,2001
4120,Shawinigan - Garage municipal,4,Mauricie,Shawinigan,Urbain,1975-01-04,1982-12-09,1975,1982
4123,Shawinigan - Stade municipal,4,Mauricie,Shawinigan,Urbain,1975-01-04,2002-05-14,1975,2002
4126,Shawinigan - Saint-Joseph,4,Mauricie,Shawinigan,Urbain,1986-01-02,2015-06-02,1986,2015
4131,Shawinigan - Immaculée-Conception,4,Mauricie,Shawinigan,Urbain,1985-04-01,1995-04-09,1985,1995
4133,Shawinigan - Caserne pompier,4,Mauricie,Shawinigan,Urbain,1985-04-19,1995-04-09,1985,1995
4010,Trois-Rivières - Saint-Quentin,4,Mauricie,Trois-Rivières,Urbain,1975-01-04,1984-08-16,1975,1984
