id_unique,nature,activite,type_lieu_intervention,arrondissement,arrondissement_geo,date_creation,annee_creation,mois_creation,provenance_originale
22-5,Requete,Nid-de-poule,Adresse,Rosemont - La Petite-Patrie,Rosemont-La Petite-Patrie,2022-01-01T07:52:06Z,2022,2022-01-01T00:00:00Z,Internet
22-13330,Requete,Dépôt illégal - Déchets,Adresse,Côte-des-Neiges - Notre-Dame-de-Grâce,Côte-des-Neiges-Notre-Dame-de-Grâce,2022-01-20T14:10:03Z,2022,2022-01-01T00:00:00Z,Mobile
22-27933,Requete,Entrée d'eau en plomb-Autre demande,Adresse,Le Sud-Ouest,Le Sud-Ouest,2022-02-08T09:15:40Z,2022,2022-02-01T00:00:00Z,Téléphone
22-41748,Requete,Trottoir glissant,Adresse,Ahuntsic - Cartierville,Ahuntsic-Cartierville,2022-02-23T14:01:37Z,2022,2022-02-01T00:00:00Z,Téléphone
22-55790,Requete,Voirie - Divers,Adresse,Saint-Léonard,Saint-Léonard,2022-03-08T11:53:58Z,2022,2022-03-01T00:00:00Z,Téléphone
22-70041,Requete,Pavage - Réparation,Adresse,Anjou,Anjou,2022-03-25T15:42:41Z,2022,2022-03-01T00:00:00Z,Téléphone
22-83324,Requete,Dépôt illégal - Déchets,Intersection,Le Sud-Ouest,Le Sud-Ouest,2022-04-11T14:43:54Z,2022,2022-04-01T00:00:00Z,Téléphone
22-97546,Requete,Dépôt illégal - Déchets,Adresse,Ville-Marie,Ville-Marie,2022-04-25T16:38:23Z,2022,2022-04-01T00:00:00Z,Téléphone
22-111710,Requete,Mobilier urbain,Adresse,Ville-Marie,Ville-Marie,2022-05-06T14:23:43Z,2022,2022-05-01T00:00:00Z,Téléphone
22-125834,Requete,"*Bac de recyclage Endommagé, perdu, volé",Adresse,Saint-Laurent,Saint-Laurent,2022-05-18T13:19:56Z,2022,2022-05-01T00:00:00Z,Téléphone
22-139580,Requete,Dépôt illégal - Déchets,Adresse,Villeray-Saint-Michel - Parc-Extension,Villeray-Saint-Michel-Parc-Extension,2022-05-30T21:05:07Z,2022,2022-05-01T00:00:00Z,Mobile
