date,debit_m3_s,code_source
1969-05-10,71.6,
1970-05-03,55.8,E
1971-05-05,45.9,
1972-08-29,53.8,
1973-04-24,60.9,J
1974-05-02,74.2,E
1975-06-15,46.2,
1976-04-04,69.7,
1977-04-23,72.5,
1978-05-11,62.5,
1979-04-29,74.9,
1980-04-16,65.3,
1981-02-23,65.5,
1982-04-28,54.6,
1983-05-02,73.6,
1984-04-18,56.8,
1985-04-28,63.5,
1986-04-22,51.9,
1987-04-01,93.5,
1988-04-18,50.3,E
1989-05-07,82,
1990-04-29,65.6,
1991-04-11,59.7,
1992-04-24,59.7,
1993-04-18,61.0,
1994-04-18,65.1,
1995-04-23,48.2,
1996-04-22,74.6,M
1997-05-03,71.8,
1998-04-19,62.0,
1999-10-24,43.3,
2000-04-10,43.5,
2001-04-25,46.0,
2002-04-18,68.2,E
2003-11-21,58.7,
2004-04-21,55.9,
2005-09-27,77.2,
2006-04-16,55.9,
2007-04-25,63.0,
2008-04-30,80,P
2009-04-07,52.9,P
2010-10-02,47.2,P
