id_caracteristique,libelle_statistique_canada
1,"Population, 2021"
58,Total - État matrimonial pour la population totale âgée de 15 ans et plus - Données intégrales (100 %)
63,      Vivant en union libre - Séparé
64,      Vivant en union libre - Divorcé
65,      Vivant en union libre - Veuf (veuve)
68,    Non marié et ne vivant pas en union libre - Séparé
69,    Non marié et ne vivant pas en union libre - Divorcé
70,    Non marié et ne vivant pas en union libre - Veuf (veuve)
78,Total - Familles de recensement dans les ménages privés - Données intégrales (100 %)
86,  Total des familles monoparentales
89,Total - Personnes dans les ménages privés - Données intégrales (100 %)
97,    Vivant seule
126,Total - Statistiques du revenu en 2020 pour la population âgée de 15 ans et plus dans les ménages privés - Données-échantillon (25 %)
127,  Nombre de bénéficiaires d'un revenu total âgés de 15 ans et plus dans les ménages privés en 2020 - Données-échantillon (25 %)
128,    Revenu total moyen en 2020 parmi les bénéficiaires ($)
1998,"Total - Plus haut certificat, diplôme ou grade pour la population âgée de 15 ans et plus, dans les ménages privés - Données-échantillon (25 %)"
1999,"  Aucun certificat, diplôme ou grade"
2229,Taux d'emploi
