code_sdr,nom_sdr,idugd,niveau_geo,qualite_geo,c1,symbole_c1,c58,symbole_c58,c63,symbole_c63,c64,symbole_c64,c65,symbole_c65,c68,symbole_c68,c69,symbole_c69,c70,symbole_c70,c78,symbole_c78,c86,symbole_c86,c89,symbole_c89,c97,symbole_c97,c126,symbole_c126,c127,symbole_c127,c128,symbole_c128,c1998,symbole_c1998,c1999,symbole_c1999,c2229,symbole_c2229
2401023,"Les Îles-de-la-Madeleine, Municipalité (MÉ)",2021A00052401023,Subdivision de recensement,00000,12190,,10835,,40,,345,,120,,95,,445,,720,,3755,,430,,11990,,1775,,10555,,10465,,48240,,10555,,3050,,53.6,
2401042,"Grosse-Île, Municipalité (MÉ)",2021A00052401042,Subdivision de recensement,00000,464,,405,,0,,10,,5,,10,,30,,25,,140,,25,,465,,80,,485,,485,,57600,,485,,190,,49.5,
2402005,"Percé, Ville (V)",2021A00052402005,Subdivision de recensement,00000,3095,,2795,,5,,75,,20,,40,,185,,275,,875,,175,,3055,,630,,2715,,2680,,40560,,2715,,1015,,40.1,
2402010,"Sainte-Thérèse-de-Gaspé, Municipalité (MÉ)",2021A00052402010,Subdivision de recensement,00000,979,,870,,0,,15,,0,,10,,45,,65,,310,,70,,975,,150,,870,,865,,45300,,870,,310,,55.7,
2402015,"Grande-Rivière, Ville (V)",2021A00052402015,Subdivision de recensement,00000,3384,,3015,,10,,75,,20,,45,,185,,270,,990,,245,,3380,,610,,3050,,3000,,39680,,3050,,1150,,44.4,
2402028,"Chandler, Ville (V)",2021A00052402028,Subdivision de recensement,00000,7490,,6680,,10,,140,,55,,80,,415,,625,,2235,,550,,7375,,1260,,6545,,6445,,42000,,6545,,2125,,47,
2402047,"Port-Daniel--Gascons, Municipalité (MÉ)",2021A00052402047,Subdivision de recensement,00000,2271,,2020,,5,,45,,15,,15,,120,,195,,655,,140,,2260,,390,,2030,,2005,,39840,,2030,,805,,43.3,
2402902,"Mont-Alexandre, Non organisé (NO)",2021A00052402902,Subdivision de recensement,09999,0,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2403005,"Gaspé, Ville (V)",2021A00052403005,Subdivision de recensement,00000,15063,,12940,,25,,405,,50,,165,,665,,945,,4390,,640,,14650,,2235,,12525,,12335,,47040,,12525,,2865,,52.7,
2403010,"Cloridorme, Canton (municipalité de) (CT)",2021A00052403010,Subdivision de recensement,00000,607,,560,,0,,25,,5,,5,,30,,50,,205,,25,,605,,105,,555,,550,,36600,,560,,220,,43.8,
2403015,"Petite-Vallée, Municipalité (MÉ)",2021A00052403015,Subdivision de recensement,00909,157,,150,,0,,10,,0,,0,,10,,10,,45,,5,,155,,35,,145,,,x,,x,145,,35,,34.5,
2403020,"Grande-Vallée, Municipalité (MÉ)",2021A00052403020,Subdivision de recensement,00000,1077,,965,,0,,30,,10,,20,,45,,95,,335,,35,,1060,,200,,970,,970,,40600,,970,,310,,45.4,
2403025,"Murdochville, Ville (V)",2021A00052403025,Subdivision de recensement,00000,643,,555,,0,,15,,0,,5,,30,,55,,175,,25,,640,,140,,555,,550,,41000,,555,,150,,51.4,
2403902,"Rivière-Saint-Jean, Non organisé (NO)",2021A00052403902,Subdivision de recensement,09999,0,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2403904,"Collines-du-Basque, Non organisé (NO)",2021A00052403904,Subdivision de recensement,09999,0,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2404005,"Sainte-Madeleine-de-la-Rivière-Madeleine, Municipalité (MÉ)",2021A00052404005,Subdivision de recensement,00010,289,,280,,0,,20,,5,,5,,10,,30,,95,,10,,290,,65,,260,,255,,35200,,260,,50,,25,
2404010,"Saint-Maxime-du-Mont-Louis, Municipalité (MÉ)",2021A00052404010,Subdivision de recensement,00000,1047,,935,,0,,35,,10,,5,,45,,75,,310,,40,,1020,,185,,890,,890,,34000,,895,,315,,34.6,
2404015,"Mont-Saint-Pierre, Village (VL)",2021A00052404015,Subdivision de recensement,00909,186,,175,,0,,10,,5,,0,,5,,20,,60,,5,,185,,40,,175,,,x,,x,170,,60,,50,
2404020,"Rivière-à-Claude, Municipalité (MÉ)",2021A00052404020,Subdivision de recensement,00909,141,,130,,0,,5,,0,,0,,15,,10,,40,,5,,145,,30,,125,,,x,,x,125,,55,,8,
2404025,"Marsoui, Village (VL)",2021A00052404025,Subdivision de recensement,00000,289,,270,,0,,10,,0,,0,,20,,20,,90,,15,,285,,50,,265,,250,,34400,,260,,105,,34.6,
2404030,"La Martre, Municipalité (MÉ)",2021A00052404030,Subdivision de recensement,00909,194,,170,,0,,20,,0,,0,,15,,10,,60,,5,,190,,20,,165,,,x,,x,165,,45,,54.5,
2404037,"Sainte-Anne-des-Monts, Ville (V)",2021A00052404037,Subdivision de recensement,00000,6121,,5345,,15,,165,,20,,60,,395,,420,,1735,,310,,6010,,1210,,5235,,5135,,40880,,5230,,1680,,43.1,
2404047,"Cap-Chat, Ville (V)",2021A00052404047,Subdivision de recensement,00000,2516,,2250,,5,,150,,20,,30,,190,,195,,725,,105,,2435,,465,,2190,,2145,,36680,,2190,,670,,36.3,
2404902,"Mont-Albert, Non organisé (NO)",2021A00052404902,Subdivision de recensement,00909,167,,155,,0,,10,,0,,0,,10,,10,,50,,5,,165,,35,,165,,,x,,x,165,,60,,45.5,
